district,village,date,lat,long,N,P,K,B,Fe,Zn,Cu,S,OC,pH,Mn,EC
AHMEDNAGAR,Amdapur,"12/18/23, 12:00 AM",19.146016666666664,77.331795,217.0,6.58,518.07,1.05,5.48,1.48,1.84,4.77,0.72,7.42,16.92,0.39
CHANDRAPUR,Chak Talodhi,"12/21/23, 12:00 AM",19.653207873925567,79.70465577207506,136.0,14.9,259.0,0.66,6.45,0.99,0.56,7.9,0.37,8.3,3.69,0.829
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7612767,79.6672866,286.0,15.6,352.0,0.91,5.99,0.68,2.11,10.33,0.42,8.1,2.88,0.896
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,159.0,15.2,387.0,1.22,5.99,1.88,1.22,10.33,0.33,8.1,3.44,0.587
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,345.0,15.6,325.0,0.99,7.33,1.66,1.21,5.99,0.32,7.3,2.88,0.522
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,153.0,12.4,286.0,0.97,6.44,0.64,1.99,5.66,0.21,7.0,3.55,0.654
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7486246,79.6977404,263.0,15.6,363.0,0.65,5.55,0.68,0.65,4.63,0.31,7.4,2.66,0.658
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6618802,79.6531928,153.0,14.3,236.0,0.52,4.63,0.62,0.56,1.66,0.23,7.2,2.33,0.652
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,296.0,15.6,356.0,0.66,5.99,1.55,1.88,4.66,0.41,7.2,3.55,0.624
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,146.0,12.5,286.0,1.66,6.44,1.55,2.55,9.33,0.21,7.2,2.99,0.555
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7595409,79.6577538,258.0,14.3,356.0,0.64,4.66,0.69,0.98,4.55,0.32,7.1,2.66,0.569
CHANDRAPUR,Chak Borgaon,"12/27/23, 12:00 AM",19.7387834,79.6928307,396.0,12.9,282.0,1.99,6.88,1.55,1.12,9.22,0.45,7.3,4.66,0.62
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7211019,79.6858164,246.0,11.2,286.0,0.96,4.96,1.65,2.66,4.53,0.31,8.3,3.44,0.645
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,286.0,12.6,356.0,0.65,5.66,0.95,1.66,4.66,0.31,7.9,2.55,0.645
CHANDRAPUR,Chak Borgaon,"12/27/23, 12:00 AM",19.7171343,79.6869191,210.0,14.3,256.0,0.96,6.99,0.95,1.55,9.22,0.35,7.3,3.66,0.666
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6651567,79.6532933,263.0,12.3,285.0,0.96,6.22,0.54,2.33,6.55,0.23,8.1,2.66,0.623
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7486246,79.6977404,256.0,12.3,325.0,0.68,6.99,1.65,0.52,5.63,0.23,6.9,4.33,0.856
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6651567,79.6532933,256.0,8.9,365.0,0.88,4.99,0.99,1.88,4.88,0.33,8.4,2.99,0.642
CHANDRAPUR,Chak Borgaon,"12/27/23, 12:00 AM",19.7387834,79.6928307,263.0,15.6,289.0,1.66,5.55,1.88,2.66,3.66,0.35,8.3,3.88,0.645
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,296.0,14.3,356.0,0.89,8.66,1.55,2.55,4.99,0.32,7.8,2.66,0.856
CHANDRAPUR,Hingnala,"12/22/23, 12:00 AM",19.91846464,79.26381457,222.03,13.79,305.0,0.63,4.96,0.47,0.85,10.79,0.31,7.2,4.2,0.596
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,263.0,13.9,299.0,1.88,6.22,1.11,2.33,11.33,0.35,6.8,3.44,0.621
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,189.0,12.3,287.0,0.97,5.88,0.99,0.97,9.88,0.35,7.3,2.77,0.489
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7612769,79.6672866,248.0,15.3,359.0,0.69,5.66,0.96,0.89,8.99,0.21,7.3,2.33,0.563
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7387834,79.6928307,154.0,14.2,285.0,0.99,2.63,0.65,1.22,1.96,0.22,7.2,2.88,0.623
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7706283,79.6651211,253.0,16.3,355.0,0.65,6.21,0.63,0.96,3.98,0.31,7.3,2.98,0.854
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7706283,79.6651211,145.0,12.3,259.0,0.54,6.44,0.38,0.51,5.63,0.25,8.3,2.96,0.623
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7486246,79.6977404,189.0,16.3,345.0,0.92,5.63,0.64,0.51,2.66,0.26,8.2,2.89,0.963
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6664433,79.6480683,156.0,15.3,286.0,0.56,8.66,0.62,1.66,6.55,0.21,7.2,2.66,0.365
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,256.0,12.3,356.0,0.85,5.99,0.96,0.86,5.96,0.21,7.2,2.88,0.963
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,289.0,11.6,356.0,0.99,8.22,0.92,2.66,10.66,0.36,7.3,3.44,0.856
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,256.0,11.3,278.0,1.99,4.96,1.22,0.98,10.33,0.33,7.2,3.88,0.869
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7817178,79.6598588,255.0,14.3,283.0,0.64,5.96,0.95,0.85,4.66,0.23,7.6,3.96,0.523
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,285.0,12.3,287.0,0.65,4.56,0.96,1.22,5.22,0.35,7.4,2.55,0.856
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,189.0,11.3,296.0,1.66,5.23,0.62,0.62,8.66,0.35,8.1,4.33,0.621
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,286.0,14.3,386.0,0.96,6.99,2.55,1.44,9.88,0.31,8.2,3.88,0.654
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7564117,79.6798538,223.0,12.6,356.0,0.64,5.32,1.63,1.66,1.66,0.22,7.3,2.33,0.623
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7486246,79.6977404,243.0,11.6,285.0,1.33,5.96,1.65,1.56,6.55,0.32,8.3,3.22,0.563
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7826568,79.663367,196.0,11.3,345.0,0.56,6.23,0.87,1.22,6.22,0.21,7.1,2.66,0.652
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7486246,79.6977404,235.0,12.5,289.0,0.92,4.86,0.62,0.64,3.65,0.25,7.2,2.96,0.536
CHANDRAPUR,Chak Borgaon,"12/27/23, 12:00 AM",19.7387834,79.6928307,156.0,15.3,352.0,1.66,8.66,1.45,2.55,5.66,0.35,8.2,3.99,0.645
CHANDRAPUR,Panora,"12/23/23, 12:00 AM",19.6545776,79.7948263,254.0,15.8,285.0,0.58,5.88,0.93,0.58,5.44,0.25,7.2,2.88,0.752
CHANDRAPUR,Chak Talodhi,"12/21/23, 12:00 AM",19.6515238,79.728595,215.0,13.5,325.0,0.56,6.89,0.77,0.56,4.86,0.25,7.4,4.96,0.639
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,289.0,12.5,356.0,0.87,5.55,0.68,0.64,6.99,0.38,7.5,2.55,0.666
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,289.0,16.3,385.0,1.99,8.66,0.68,0.85,6.88,0.35,7.1,2.99,0.652
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6626964,79.6545962,281.0,15.6,358.0,0.65,8.55,1.55,1.55,4.55,0.31,7.9,2.99,0.654
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6664433,79.6480683,256.0,12.3,286.0,0.65,8.66,0.62,2.55,1.56,0.22,7.3,3.55,0.689
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6664433,79.6480683,156.0,12.3,289.0,0.86,8.66,0.98,1.52,6.88,0.21,7.3,3.55,0.621
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,286.0,12.5,284.0,0.96,9.55,0.45,2.66,6.55,0.33,7.1,3.66,0.845
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,245.0,12.3,363.0,0.52,6.88,0.61,0.61,5.99,0.31,7.9,2.55,0.652
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6618802,79.6531928,356.0,16.9,386.0,0.89,4.96,0.94,0.65,5.66,0.31,6.8,2.99,0.854
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6639634,79.6510876,286.0,15.3,358.0,0.64,6.25,0.94,0.94,5.99,0.31,6.9,2.88,0.578
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,148.0,11.3,248.0,1.66,5.44,0.91,1.66,10.66,0.22,8.3,3.55,0.654
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7820446,79.6591571,256.0,15.3,345.0,1.63,5.63,1.55,1.55,4.66,0.23,7.2,3.66,0.632
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7817178,79.6598588,256.0,15.3,356.0,0.52,6.33,0.92,1.32,2.63,0.39,7.3,3.52,0.563
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7486246,79.6977404,198.0,15.0,286.0,0.68,5.23,0.52,0.84,4.55,0.35,7.5,2.96,0.623
CHANDRAPUR,Chak Borgaon,"12/27/23, 12:00 AM",19.7387834,79.6928307,185.0,12.6,345.0,1.22,5.55,1.56,1.54,5.99,0.25,8.2,3.65,0.621
CHANDRAPUR,Chak Talodhi,"12/21/23, 12:00 AM",19.653207873925567,79.70465577207506,247.0,12.8,385.0,0.58,5.69,0.65,0.85,2.56,0.22,7.1,3.85,0.745
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6651567,79.6532933,286.0,9.8,286.0,1.55,4.99,1.62,1.66,4.99,0.21,8.3,2.52,0.621
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,286.0,12.3,356.0,1.98,8.66,1.65,1.66,5.66,0.38,7.9,3.88,0.963
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6618802,79.6531928,254.0,14.3,342.0,0.91,6.12,0.75,0.54,2.66,0.22,7.8,3.45,0.365
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,256.0,15.3,386.0,0.95,6.77,0.54,0.61,5.89,0.31,7.3,2.88,0.456
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6618802,79.6531928,186.0,11.3,286.0,0.53,4.96,0.85,0.86,4.66,0.23,7.3,2.66,0.563
CHANDRAPUR,Borgaon,"12/27/23, 12:00 AM",19.7379985,79.6538945,263.0,10.3,281.0,0.65,5.11,0.96,1.11,9.11,0.31,7.2,3.55,0.655
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6664433,79.6480683,256.0,7.9,281.0,0.55,4.99,0.95,1.56,5.55,0.21,6.9,3.22,0.758
CHANDRAPUR,Chak Dubarpeth,"12/23/23, 12:00 AM",19.6629015,79.6517894,286.0,14.6,356.0,0.62,5.33,0.62,0.96,4.23,0.21,8.4,4.22,0.952
CHANDRAPUR,Chak Borgaon,"12/23/23, 12:00 AM",19.7486246,79.6977404,152.0,12.3,263.0,0.65,4.56,0.98,0.65,2.56,0.25,7.3,2.66,0.563
DHARASHIV,Achaler,"11/10/23, 12:00 AM",18.0848216,76.1662372,153.0,3.95,415.51,0.56,6.79,0.45,2.76,2.23,0.35,7.69,4.24,0.29
DHARASHIV,Achaler,"11/29/23, 12:00 AM",18.5168281,75.4204517,167.0,10.31,436.66,0.44,4.38,0.37,1.94,2.47,0.44,7.47,4.24,0.12
DHARASHIV,Ainapurwadi,"12/5/23, 12:00 AM",18.4138511,75.3677276,149.0,9.21,192.42,0.51,1.92,0.48,1.72,2.14,0.15,7.12,5.82,0.59
DHARASHIV,Achaler,"12/5/23, 12:00 AM",18.4121522,75.3787495,181.0,8.55,324.58,0.74,2.18,0.38,3.07,2.5,0.4,7.99,6.19,0.45
DHARASHIV,Achaler,"11/28/23, 12:00 AM",18.2294391,75.5554478,201.0,5.7,196.65,0.69,6.38,0.15,2.43,1.75,0.48,7.34,0.95,0.49
DHARASHIV,Achaler,"12/4/23, 12:00 AM",18.50731614,75.41620457,164.0,5.26,361.59,0.79,1.76,0.58,2.05,2.17,0.47,7.26,2.58,0.19
DHARASHIV,Rajegaon,"12/4/23, 12:00 AM",18.002276666666667,76.49779,159.0,7.68,388.02,0.36,2.99,0.54,2.53,2.6,0.28,7.16,9.57,0.28
DHARASHIV,Achaler,"12/6/23, 12:00 AM",18.4150118,75.3727837,164.0,3.51,230.49,0.49,2.09,0.4,1.95,2.35,0.3,7.45,5.61,0.41
DHARASHIV,Adsulwadi,"12/4/23, 12:00 AM",18.5092224,75.4141559,172.0,5.48,172.34,0.36,2.68,1.07,1.85,2.38,0.25,7.59,4.7,0.16
DHARASHIV,Rajegaon,"12/4/23, 12:00 AM",18.020676666666667,76.543435,142.0,5.26,358.42,0.64,2.4,0.46,1.93,2.26,0.6,7.44,7.01,0.19
DHARASHIV,Ainapurwadi,"11/9/23, 12:00 AM",18.2395,75.4750716,154.0,8.11,341.5,0.44,4.4,0.44,2.27,2.44,0.35,7.62,5.71,0.22
DHARASHIV,Aliyabadwadi,"11/23/23, 12:00 AM",17.97150752,75.95930369,151.0,3.95,340.44,0.62,1.89,0.31,1.84,2.08,0.2,7.49,3.74,0.23
DHARASHIV,Achaler,"11/20/23, 12:00 AM",18.232715,76.25442833333334,152.0,8.11,684.06,0.56,2.67,0.46,3.04,2.38,0.42,7.66,8.02,0.31
DHARASHIV,Achaler,"11/20/23, 12:00 AM",18.23470166666667,76.256055,154.0,6.36,361.59,0.46,2.2,0.44,2.32,2.44,0.14,7.33,6.37,0.34
DHARASHIV,Waruda,"11/7/23, 12:00 AM",18.2728222,76.0901323,193.0,7.02,647.06,0.49,4.73,0.52,2.72,1.87,0.45,7.44,5.74,0.31
DHARASHIV,Rajegaon,"12/4/23, 12:00 AM",18.020676666666667,76.54351333333334,143.0,5.92,480.01,0.49,2.16,0.5,1.57,2.29,0.13,7.42,6.99,0.26
DHARASHIV,Achaler,"11/10/23, 12:00 AM",18.0848216,76.1662372,166.0,6.14,418.68,0.54,4.03,0.42,1.88,2.17,0.41,7.51,4.51,0.22
DHARASHIV,Achaler,"12/6/23, 12:00 AM",18.4183247,75.377376,176.0,3.07,287.58,0.36,2.35,0.59,1.86,2.5,0.41,7.09,6.88,0.48
DHARASHIV,Aliyabadwadi,"11/23/23, 12:00 AM",17.96873655,75.93009003,147.0,10.75,651.28,0.38,2.02,0.59,1.81,1.99,0.25,7.92,6.67,0.28
DHARASHIV,Rajegaon,"12/4/23, 12:00 AM",18.002326666666665,76.49782499999999,152.0,5.92,352.07,0.38,3.13,0.44,1.19,2.57,0.35,7.18,2.4,0.32
DHARASHIV,Waruda,"11/8/23, 12:00 AM",18.291866,76.082882,189.0,3.29,341.5,0.69,2.21,0.29,1.53,1.93,0.43,7.19,6.71,0.35
DHARASHIV,Waruda,"11/8/23, 12:00 AM",18.2555036,76.0814319,186.0,5.26,470.49,0.51,1.94,0.42,2.84,2.47,0.24,7.94,6.58,0.35
