district,village,date,lat,long,N,P,K,B,Fe,Zn,Cu,S,OC,pH,Mn,EC
ALMORA,Chauna,"12/21/23, 12:00 AM",29.9127818,78.1291832,0.0,9.0,551.0,0.85,12.17,4.08,0.83,15.9,0.77,7.15,3.22,0.05
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6437005,79.5872079,0.0,4.5,556.0,1.02,7.83,5.51,1.89,15.68,0.35,7.15,0.53,0.047
ALMORA,Ghaneli,"12/11/23, 12:00 AM",29.6379573,79.6279277,0.0,4.5,533.0,1.02,9.16,3.72,0.19,10.8,0.81,6.3,5.1,0.073
ALMORA,Ghaneli,"12/11/23, 12:00 AM",29.6379573,79.6279277,0.0,4.5,421.0,0.76,20.39,2.185,0.526,7.95,0.38,7.02,1.796,0.036
ALMORA,Ghaneli,"12/11/23, 12:00 AM",29.640598,79.6114314,0.0,13.5,520.0,2.74,18.39,6.22,0.95,14.35,0.87,6.3,1.3,0.005
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,9.0,390.0,2.07,15.4,1.6,0.68,14.1,0.86,6.6,1.3,0.103
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,13.5,269.0,1.28,18.92,2.66,0.76,6.55,0.29,6.5,2.21,0.04
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,4.5,206.0,2.7,15.51,1.89,0.49,13.8,0.84,7.0,0.62,0.062
ALMORA,Dhamas,"12/12/23, 12:00 AM",29.5858227,79.6391575,0.0,4.5,520.0,1.28,8.3,4.14,0.816,7.35,0.68,6.81,0.582,0.0013
ALMORA,Dhamas,"12/12/23, 12:00 AM",29.6042102,79.5678947,0.0,4.5,542.0,1.38,16.23,3.59,2.2,9.45,0.97,6.4,2.09,0.104
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6437005,79.5872079,0.0,4.5,551.0,0.96,8.93,4.38,1.57,10.5,0.77,6.8,0.96,0.108
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6437005,79.5872079,0.0,9.0,556.0,0.89,13.19,4.11,1.29,18.34,0.84,6.6,1.14,0.101
ALMORA,Ghaneli,"12/11/23, 12:00 AM",29.640598,79.6114314,0.0,18.0,497.0,0.82,8.5,4.33,1.43,12.9,0.68,6.6,3.98,0.058
ALMORA,Ghaneli,"12/11/23, 12:00 AM",29.640598,79.6114314,0.0,4.5,528.0,2.57,17.64,4.401,0.826,6.6,0.74,7.25,1.092,0.071
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,9.0,255.0,2.37,16.3,3.97,0.11,3.6,0.68,6.5,0.77,0.017
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,18.0,385.0,2.34,4.95,0.49,0.58,5.4,0.99,6.94,1.33,0.013
ALMORA,Chausali,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,9.0,148.0,1.28,11.3,0.78,0.48,13.45,0.99,6.52,6.5,0.011
ALMORA,Chausali,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,4.5,390.0,1.25,9.083,1.53,0.36,10.8,0.71,7.03,1.324,0.058
ALMORA,Dhamas,"12/12/23, 12:00 AM",29.5858227,79.6391575,0.0,4.5,542.0,1.42,14.9,0.53,0.93,12.45,0.95,6.04675,0.96,0.008
ALMORA,Dhamas,"12/12/23, 12:00 AM",29.5858227,79.6391575,0.0,4.5,318.0,2.44,9.36,3.81,1.53,7.35,0.69,6.47,3.25,0.091
ALMORA,Dhamas,"12/12/23, 12:00 AM",29.6042102,79.5678947,0.0,18.0,560.0,1.02,9.56,3.59,0.75,7.35,0.81,6.11,6.45,0.144
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6467847,79.5854524,0.0,9.0,358.0,1.75,16.78,4.36,1.88,10.51,0.47,7.46,2.93,0.054
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6467847,79.5854524,0.0,9.0,551.0,0.85,9.66,4.93,1.65,11.9,0.78,6.85,0.96,0.098
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6437005,79.5872079,0.0,9.0,542.0,0.89,3.4,4.26,2.8,10.36,0.84,7.2,1.64,0.152
ALMORA,Ghaneli,"12/11/23, 12:00 AM",29.640598,79.6114314,0.0,18.0,506.0,1.38,13.18,4.17,0.332,12.9,0.41,6.27,0.553,0.067
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,4.5,305.0,1.71,21.1,1.49,0.36,8.55,0.84,6.3,0.93,0.077
ALMORA,Chausali,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,18.0,327.0,1.28,9.26,3.96,0.31,10.8,0.75,6.76,3.44,0.063
ALMORA,Chausali,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,4.5,412.0,1.05,11.09,0.4,0.56,12.3,0.89,6.88,2.4,0.061
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6655128,79.5822922,0.0,13.5,358.0,0.39,9.12,4.53,0.75,10.64,0.39,7.5,3.26,0.032
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6655128,79.5822922,0.0,9.0,475.0,0.92,13.55,3.22,0.63,11.2,0.42,7.19,1.22,0.058
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6691181,79.5780786,0.0,13.5,533.0,2.24,10.84,4.41,0.94,11.06,0.38,7.15,1.27,0.004
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6437005,79.5872079,0.0,9.0,560.0,1.28,21.17,6.34,1.58,9.94,0.93,7.4,3.4,0.167
ALMORA,Chausali,"12/12/23, 12:00 AM",29.539464,79.5510362,0.0,13.5,542.0,2.07,11.2,3.95,1.28,14.4,0.27,6.92,1.25,0.01
ALMORA,Chausali,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,13.5,233.0,3.26,12.11,6.54,1.66,8.85,0.09,7.11,3.75,0.134
ALMORA,Chausali,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,9.5,251.0,2.74,13.34,1.88,0.88,7.95,0.74,6.81,0.775,0.04
ALMORA,Dhamas,"12/11/23, 12:00 AM",29.6042102,79.5678947,0.0,4.5,542.0,1.38,16.23,3.59,2.2,9.45,0.97,6.4,2.09,0.104
ALMORA,Dhamas,"12/11/23, 12:00 AM",29.6042102,79.5678947,0.0,4.5,542.0,1.42,14.9,0.53,0.93,12.45,0.95,6.75,0.96,0.0008
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6691181,79.5780786,0.0,4.5,430.0,0.33,7.18,4.01,0.68,11.62,0.38,7.1,0.93,0.082
ALMORA,Chauna,"12/21/23, 12:00 AM",29.9127818,78.1291832,0.0,9.0,466.0,0.59,6.39,3.86,0.51,16.1,0.42,7.06,1.32,0.07
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6655128,79.5822922,0.0,4.5,439.0,0.46,5.66,3.92,0.4,11.2,0.84,7.04,0.86,0.048
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6691181,79.5780786,0.0,4.5,435.0,0.56,13.55,4.28,0.36,9.24,0.42,7.4,2.56,0.078
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6691181,79.5780786,0.0,13.5,515.0,2.04,16.13,5.93,0.5,11.34,0.78,7.0,1.98,0.073
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,4.5,300.0,1.02,16.78,1.35,0.83,4.35,0.48,6.15,2.38,0.042
ALMORA,Dhamas,"12/12/23, 12:00 AM",29.5858227,79.6391575,0.0,4.5,556.0,2.21,4.93,5.52,0.58,6.15,0.99,6.9,2.23,0.0017
ALMORA,Chausali,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,4.5,246.0,2.37,1.12,0.87,0.86,13.35,0.23,7.0,1.22,0.01
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,4.5,269.0,1.05,18.57,1.25,1.58,10.95,0.98,6.55,1.68,0.073
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6655128,79.5822922,0.0,18.0,497.0,0.29,5.76,3.51,0.39,12.46,0.81,7.33,1.05,0.025
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,18.0,592.0,0.87,2.21,7.36,0.19,10.8,0.99,7.0,2.22,0.0089
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6691181,79.5780786,0.0,9.0,524.0,0.85,7.5,4.82,2.28,7.7,0.23,7.0,2.92,0.045
ALMORA,Dhamas,"12/12/23, 12:00 AM",29.6042102,79.5678947,0.0,4.5,430.0,1.02,8.98,4.18,1.49,6.15,0.69,6.5,0.832,0.05
ALMORA,Chausali,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,18.0,188.0,1.78,12.81,2.76,1.59,7.95,0.66,7.25,1.92,0.019
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,13.5,193.0,1.61,19.07,0.6,0.28,11.1,0.84,6.03,1.92,0.004
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,4.5,358.0,3.13,4.51,2.12,0.39,6.3,0.68,7.0,0.505,0.036
ALMORA,Ghaneli,"12/11/23, 12:00 AM",29.6379573,79.6279277,0.0,18.0,439.0,1.25,12.23,3.26,1.68,11.85,0.97,6.5,3.2,0.108
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6691181,79.5780786,0.0,13.5,542.0,1.28,4.92,1.67,0.68,11.06,0.74,7.0,2.08,0.039
ALMORA,Chauna,"12/21/23, 12:00 AM",29.9127818,78.1291832,0.0,4.5,571.0,1.78,12.4,4.31,0.97,14.14,0.23,6.85,1.77,0.06
ALMORA,Dhamas,"12/12/23, 12:00 AM",29.6042102,79.5678947,0.0,9.0,547.0,1.91,8.71,6.22,1.4,12.9,0.99,6.95,1.02,0.0015
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6467847,79.5854524,0.0,13.5,560.0,0.96,8.16,2.94,2.31,7.98,0.5,6.71,6.29,0.122
ALMORA,Lat,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,9.0,417.0,1.61,18.42,0.8,0.83,9.45,0.68,6.42,2.95,0.013
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6691181,79.5780786,0.0,9.0,542.0,0.62,8.4,2.37,0.2,11.34,0.08,6.96,1.86,0.046
ALMORA,Ghaneli,"12/11/23, 12:00 AM",29.6379573,79.6279277,0.0,13.5,448.0,1.38,6.56,4.12,0.95,4.65,0.65,6.3,2.09,0.0018
ALMORA,Chauna,"12/21/23, 12:00 AM",29.9127818,78.1291832,0.0,9.0,466.0,0.95,16.2,5.44,0.82,12.88,0.99,7.22,0.87,0.048
ALMORA,Chausali,"12/12/23, 12:00 AM",29.23571788,79.49845052,0.0,18.0,175.0,1.02,2.65,0.95,0.29,12.9,0.81,6.78,1.76,0.043
ALMORA,Chauna,"12/21/23, 12:00 AM",29.6655128,79.5822922,0.0,9.0,524.0,1.18,18.17,3.1,0.78,11.9,0.81,7.1,2.15,0.051
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6437005,79.5872079,0.0,4.5,354.0,1.58,8.16,5.31,0.92,11.62,0.98,7.22,1.28,0.149
ALMORA,Kayala,"12/21/23, 12:00 AM",29.6467847,79.5854524,0.0,4.5,538.0,1.02,15.18,4.03,2.03,12.88,0.93,6.7,1.97,0.088
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8746235,79.6521402,0.0,27.0,798.56,1.09,5.42,1.24,0.38,14.14,0.99,7.4,3.4,0.31
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.90159,79.66002333333333,0.0,18.0,142.24,1.19,7.2,1.72,0.58,15.83,0.84,6.63,4.7,0.2
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8888725,79.6559996,0.0,13.5,187.04,0.93,10.46,0.9,0.84,10.48,0.45,6.42,5.42,0.18
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8888725,79.6559996,0.0,18.0,232.96,1.01,9.96,0.96,0.82,26.31,0.3,6.48,5.7,0.16
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.9030696,79.6230142,0.0,22.5,271.04,1.3,7.46,0.84,0.6,12.93,0.45,6.77,4.82,0.25
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8995174,79.659508,0.0,22.5,275.52,1.19,9.26,0.84,0.66,16.94,0.51,6.81,7.72,0.27
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8995174,79.659508,0.0,27.0,781.76,1.04,6.16,1.16,0.48,17.84,0.84,7.35,3.08,0.4
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8999564,79.6598148,0.0,22.5,276.64,1.27,7.72,0.9,0.58,14.04,0.18,6.78,4.76,0.25
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8870018,79.6549471,0.0,9.0,138.88,1.09,11.38,0.68,0.94,15.16,0.3,6.2,5.84,0.18
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8888725,79.6559996,0.0,13.5,184.8,0.96,10.52,0.86,0.8,10.7,0.27,6.42,9.3,0.18
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8967935,79.6567013,0.0,13.5,190.4,0.98,9.78,0.86,0.86,11.81,0.79,6.39,5.84,0.19
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.898991666666667,79.66031833333334,0.0,18.0,141.12,1.24,7.08,1.8,0.62,15.16,0.79,6.65,4.74,0.2
BAGESHWAR,Malla Doba,"12/26/23, 12:00 AM",29.8557127,79.6253312,0.0,13.5,827.68,1.48,7.46,0.88,0.58,16.94,0.94,6.79,4.4,0.32
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8955571,79.6591571,0.0,45.0,582.4,1.06,4.64,1.48,0.269,18.06,0.93,7.7,2.8,0.31
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.9205007,79.6626654,0.0,22.5,276.64,1.17,7.62,0.86,0.56,16.94,0.48,6.8,4.9,0.28
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8999548,79.6598246,0.0,36.0,953.12,1.01,5.24,1.08,0.32,11.59,0.51,7.46,3.32,0.29
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8994344,79.6584555,0.0,36.0,854.56,0.96,5.1,1.2,0.32,12.48,1.0,7.5,3.24,0.32
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8888725,79.6559996,0.0,9.0,228.48,1.19,10.5,0.74,0.88,22.42,0.21,6.28,6.02,0.17
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8999564,79.6598148,0.0,27.0,853.44,1.11,5.22,1.52,0.32,10.25,0.52,7.6,2.82,0.41
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.8820238,79.6552979,0.0,13.5,179.2,1.32,9.74,1.1,0.76,20.07,0.51,6.48,5.32,0.19
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.9187112,79.6581046,0.0,22.5,277.76,1.24,7.54,0.9,0.54,17.17,0.45,6.82,4.8,0.27
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.90163166666667,79.66003166666665,0.0,18.0,140.0,1.19,7.16,1.66,0.6,10.04,0.85,6.65,4.82,0.2
BAGESHWAR,Jaisar,"12/26/23, 12:00 AM",29.898723333333336,79.66021,0.0,18.0,182.56,1.11,7.52,1.62,0.6,14.71,0.85,6.76,4.62,0.2
CHAMPAWAT,Phagpur,"12/21/23, 12:00 AM",29.013955000000003,80.08909166666668,0.0,18.0,408.8,0.45,7.82,0.72,0.64,14.74,0.86,6.09,5.64,0.137
CHAMPAWAT,Nakot,"12/21/23, 12:00 AM",29.409882,80.1583832,0.0,40.5,229.6,0.36,10.58,1.32,0.48,12.19,0.81,6.01,6.48,0.137
CHAMPAWAT,Man Dunga,"12/16/23, 12:00 AM",29.3697918,80.1747771,0.0,36.0,136.64,0.68,9.26,0.7,0.38,13.23,0.73,5.25,6.3,0.135
