system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,4.51,0.075635135,0.45,0.3,17.19,0.09325676,80.64,12.38,272.2,0.3208946,0.26,17.03,0.0904027,5.72,0.27516487,0.16100541,-1.7093390212072253,0.69,225.5986,287,302,"3/1/24, 12:00 AM",SOUTH ANDAMANS,65,2024-12-31,6.9,14.841485,426,415,287,282,2.6492937,2024-01-01,30.13857142857142,Hobdipur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.63997640045922,11.672484223028034]}"
1_0,2.07,0.056186844,0.12,0.7,42.31,0.08157632,100.8,16.32,356.25,0.33222106,0.24,9.29,0.08189737,4.06,0.27301842,0.15782894,-0.6207508888736762,0.98,277.96378,292,308,"2/27/24, 12:00 AM",SOUTH ANDAMANS,28,2024-12-31,6.8,14.841485,448,439,260,252,13.152814,2024-01-01,30.220866666666666,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64159336797064,11.685958952289827]}"
6_0,3.29,0.090768754,0.56,0.3,35.17,0.104375,120.96,10.55,225.79,0.26036873,0.24,10.84,0.0934375,3.5,0.193125,0.122725,-0.20275339612960416,0.68,161.2076,273,285,"6/2/24, 12:00 AM",SOUTH ANDAMANS,26,2024-12-31,6.57,14.617974,424,416,303,300,2.9365792,2024-01-01,30.113388888888885,Hashmatabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64240185172635,11.597025739161994]}"
8_0,3.29,0.043860525,0.53,0.9,30.52,0.059573684,85.12,3.69,277.22,0.3004,0.22,12.38,0.043957897,2.39,0.18420526,0.09539737,-2.4025400495692644,0.17,314.4004,287,298,"2/26/24, 12:00 AM",SOUTH ANDAMANS,36,2024-12-31,6.3,14.841485,444,439,270,264,5.287401,2024-01-01,30.19875,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.63835943294781,11.682186028096524]}"
9_0,0.85,0.06622973,0.33,0.5,21.87,0.08708108,64.96,6.98,205.72,0.33234325,0.27,9.29,0.078532435,4.06,0.24865405,0.14214325,-2.217949624768096,0.26,341.20282,287,302,"3/1/24, 12:00 AM",SOUTH ANDAMANS,58,2024-12-31,6.8,14.841485,426,415,287,282,8.749068,2024-01-01,30.13857142857142,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.63943741128875,11.673023212198505]}"
10_0,4.51,0.056186844,0.17,0.6,29.34,0.08157632,71.68,12.68,234.57,0.33222106,0.36,7.74,0.08189737,1.28,0.27301842,0.15782894,-0.6207508888736762,0.38,277.96378,292,308,"2/29/24, 12:00 AM",SOUTH ANDAMANS,28,2024-12-31,6.8,14.841485,448,439,260,252,13.152814,2024-01-01,30.220866666666666,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64159336797064,11.685958952289827]}"
11_0,2.07,0.090768754,0.52,0.3,36.66,0.104375,107.52,11.08,284.75,0.26036873,0.29,9.29,0.0934375,2.39,0.193125,0.122725,-0.20275339612960416,1,161.2076,273,285,"6/2/24, 12:00 AM",SOUTH ANDAMANS,26,2024-12-31,6.82,14.617974,424,416,303,300,2.9365792,2024-01-01,30.113388888888885,Hashmatabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64240185172635,11.597025739161994]}"
13_0,2.07,0.090066664,0.7,0.3,23.56,0.11140556,69.44,5.4,230.81,0.30561668,0.3,7.74,0.11630556,2.94,0.27832222,0.19377223,-1.015682976748623,0.78,45.588806,287,297,"3/13/24, 12:00 AM",SOUTH ANDAMANS,90,2024-12-31,6.6,8.645293,417,409,296,294,1.3251239,2024-01-01,30.137351351351356,Teylorabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.70357712257488,11.577352634439777]}"
14_0,3.29,0.074,0.32,0.7,37.9,0.098578945,109.76,6.18,280.99,0.34093684,0.33,9.29,0.08042631,7.94,0.2069158,0.12968421,-0.6149818400417246,0.68,76.87165,317,324,"5/29/24, 12:00 AM",SOUTH ANDAMANS,16,2024-12-31,6.54,13.093726,399,389,284,287,19.61351,2024-01-01,30.04037837837837,Wandur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.61922531739606,11.60376310379289]}"
15_0,3.29,0.054675,0.31,0.5,45.72,0.075295,98.56,25.62,245.86,0.350365,0.22,7.74,0.05264,2.94,0.17191,0.0924,-0.3227799777160079,0.85,45.593567,348,352,"6/4/24, 12:00 AM",SOUTH ANDAMANS,10,2024-12-31,7.3,15.431809,363,356,288,292,1.3252363,2024-01-01,30.139111111111106,Chouldari (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.67797513697748,11.623705703100343]}"
