system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.59,0.0747625,0.384,0.47,7.574,0.104164585,379,4.416,169,0.29927292,0.35,49,0.12858541,36,0.31736457,0.23392709,-1.8566366902742453,0.845,287.83432,369,380,"4/16/24, 12:00 AM",ANANTAPUR,371,2024-12-31,7.3,2.0309384,410,404,220,217,3.0255747,2024-01-01,30.51616666666667,Yerrathimmarayachervu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5531305297855,15.165134047684733]}"
1_0,0.68,0.11175,1.134,0.1,5.182,0.13872333,312,7.442,184,0.27545,0.18,19,0.17488,18,0.34473667,0.27397665,4.676254551462363,1.04,-0.0,356,370,"5/23/24, 12:00 AM",ANANTAPUR,308,2024-12-31,8.3,2.0069025,412,402,233,228,0.0,2024-01-01,30.85272222222222,Kristipadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77115164924132,15.083207693773033]}"
2_0,0.712,0.08896393,1.578,0.73,6.085,0.11880164,335,3.31,224,0.25154918,0.24,35,0.17638852,24,0.39320984,0.3366164,2.112158950228923,0.55,-0.0,323,348,"6/10/24, 12:00 AM",ANANTAPUR,347,2024-12-31,6.7,1.757888,412,398,265,254,0.0,2024-01-01,30.739428571428576,Katrimala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.44129027691262,14.896986935375056]}"
3_0,0.685,0.12053871,0.71,0.65,7.296,0.1653871,156,3.664,168,0.33043548,0.48,24,0.22674194,15,0.4505387,0.37956452,-0.7069218020391679,0.58,270.0,327,341,"6/10/24, 12:00 AM",ANANTAPUR,303,2024-12-31,8,1.8370047,387,384,287,275,0.959965,2024-01-01,31.09362500000001,Thamballapalle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64691464544758,14.965438560024964]}"
4_0,0.728,0.11916452,0.264,0.42,4.032,0.15727742,491,4.006,178,0.34327096,0.26,35,0.20497097,21,0.4103742,0.32935807,-1.4836284861147475,0.38,152.64774,316,336,"6/15/24, 12:00 AM",ANANTAPUR,286,2024-12-31,8.2,1.8308386,406,394,277,271,2.0875525,2024-01-01,30.889294117647054,Arakativemula,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.89835309347264,14.85710173676015]}"
5_0,1.55,0.08003667,0.434,0.13,7.36,0.121596664,558,3.116,189,0.32829666,0.32,49,0.17893666,28,0.38383666,0.29100665,-1.4007962572434765,0.994,270.0,308,334,"4/19/24, 12:00 AM",ANANTAPUR,469,2024-12-31,7.7,1.600307,388,373,304,294,1.9200993,2024-01-01,30.807454545454547,Malapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18688738844997,15.044400473499069]}"
6_0,0.38,0.09423158,0.822,0.35,5.416,0.13273509,179,2.708,153,0.3178421,0.31,34,0.19754562,12,0.40901053,0.30218595,-0.9890848640926722,0.88,194.46307,313,339,"7/2/24, 12:00 AM",ANANTAPUR,667,2024-12-31,7.9,1.7629161,429,410,258,251,3.8256893,2024-01-01,30.574250000000006,Jambugumpala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0901388323503,14.244540544519047]}"
7_0,0.9,0.09251936,0.392,0.13,5.934,0.12724194,312,4.107,260,0.28749678,0.28,35,0.16959354,19,0.38609356,0.29989356,-1.4837432369835928,1.092,207.35452,324,336,"4/16/24, 12:00 AM",ANANTAPUR,300,2024-12-31,7.9,1.9631349,406,401,270,262,2.087595,2024-01-01,30.949837837837833,Salakamcheruvu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73315291272306,14.878122314408547]}"
8_0,0.856,0.06445769,0.724,0.35,9.498,0.09702308,156,5.838,171,0.25315,0.38,32,0.15993461,14,0.32509232,0.28255385,-1.7696965530980198,0.16,180.0,318,337,"4/23/24, 12:00 AM",ANANTAPUR,553,2024-12-31,7.5,1.4478965,434,423,248,240,2.7802885,2024-01-01,30.871000000000002,Rayadurgam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85244460817228,14.672497945873587]}"
9_0,0.32,0.09542333,0.274,0.1,7.22,0.13412,279,3.61,234,0.28952667,0.32,46,0.19225,41,0.41009,0.30645,2.0068873399093614,0.642,270.0,304,330,"7/1/24, 12:00 AM",ANANTAPUR,564,2024-12-31,7.3,1.3669277,447,432,249,238,1.913822,2024-01-01,30.744894736842106,Basapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96590182855658,14.328083865942164]}"
