system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.23,0.09971346,4.678,0.34,8.666,0.11866346,781,11.1,233,0.28393847,0.23,40,0.12892692,63,0.2954,0.21712692,1.221076930787298,0.646,270.0,321,296,"1/6/24, 12:00 AM",NTR,77,2024-12-31,8,3.4628704,371,383,308,322,0.9686784,2024-01-01,30.438051282051276,Peddavaram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17127042535185,16.78614397787841]}"
1_0,2.43,0.09057931,0.594,0.31,21.74,0.12007586,351,7.54,255,0.29239655,0.36,9,0.14429656,29,0.32323104,0.23973793,2.1023002718400914,0.516,-0.0,297,279,"1/5/24, 12:00 AM",NTR,77,2024-12-31,7.52,3.2930374,373,384,330,337,0.0,2024-01-01,30.556303030303027,Balusupadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04326049736483,16.91550137879162]}"
2_0,1.58,0.092031375,0.68,0.15,0.582,0.11292549,290,22,182,0.3103941,0.44,4,0.10607843,15,0.24760981,0.15986863,-0.8273533614257318,0.606,295.58807,350,334,"1/20/24, 12:00 AM",NTR,62,2024-12-31,7.77,3.5430787,345,349,306,317,2.1464717,2024-01-01,30.425117647058823,Bobbellapadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2181624831829,16.718770331569445]}"
3_0,0.7,0.09044464,2.078,0.42,11.71,0.112725005,123,5.73,240,0.24373214,0.4,20,0.1267607,13,0.29789108,0.2244625,0.04827279411993771,2.554,46.25152,342,311,"1/6/24, 12:00 AM",NTR,52,2024-12-31,7.88,3.4926925,349,364,309,326,1.3410408,2024-01-01,30.639705882352942,Somavaram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.33431464941954,16.815518887669118]}"
4_0,0.7,0.11310714,4.358,0.24,32,0.136025,112,8.83,284,0.27169642,0.16,41,0.15913929,63,0.2977,0.22537857,-0.6819785558125486,0.84,180.0,290,273,"1/2/24, 12:00 AM",NTR,82,2024-12-31,7.58,3.379024,375,385,335,342,0.92740995,2024-01-01,30.564941176470583,Balusupadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05107584033667,16.919813292155396]}"
5_0,2.59,0.09564808,2.816,0.24,27.42,0.11372884,279,13.61,238,0.29300386,0.16,6,0.11530769,57,0.29877883,0.19946346,0.26860123741272196,1.158,295.555,272,268,"1/8/24, 12:00 AM",NTR,80,2024-12-31,6.73,3.6549983,373,369,356,363,2.14906,2024-01-01,30.492473684210523,Dabbakupalle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23433215829704,16.999044700214736]}"
6_0,2.32,0.07949615,1.366,0.14,26.38,0.10087115,1127,3.926,233,0.3046846,0.33,75,0.10061154,8,0.24391153,0.16441154,-1.4199292685717408,3.896,90.0,302,297,"1/9/24, 12:00 AM",NTR,78,2024-12-31,7.5,3.5997596,363,365,335,337,1.9387146,2024-01-01,30.587942857142863,Vatsavai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25238829550784,16.972634230861622]}"
8_0,1.93,0.102265514,1.056,0.08,6.728,0.116893105,992,12.75,283,0.27025172,0.87,32,0.12885863,41,0.2789414,0.21151379,-2.1129210225376878,0.654,270.0,286,282,"2/15/24, 12:00 AM",NTR,72,2024-12-31,8.35,3.6141999,374,372,341,347,3.8726974,2024-01-01,30.705272727272728,Chittela,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19067403548884,16.95781202867365]}"
9_0,0.15,0.09208077,0.84,0.5,6.06,0.11242308,686,19.15,264,0.27185577,0.19,75,0.13603847,26,0.34980577,0.24872307,-1.9938558834223379,1.23,122.55535,337,338,"2/26/24, 12:00 AM",NTR,55,2024-12-31,6.26,3.535393,339,337,324,325,3.4430397,2024-01-01,30.67317647058824,Bodavada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.37581681554586,16.73547899585407]}"
10_0,0.35,0.085556,3.662,0.13,14.47,0.116064,362,19.67,214,0.302508,0.31,3,0.136732,4,0.301224,0.203096,2.794901479618531,0.608,-0.0,288,279,"3/11/24, 12:00 AM",NTR,75,2024-12-31,7.53,3.5805826,362,362,349,359,0.0,2024-01-01,30.559526315789473,Kanumuru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.5895260216379,17.019795783277896]}"
