system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.67,0.06949444,0.712,0.35,4.89,0.08979444,603.63,5.29,163.27,0.25918612,0.77,32.8,0.092072226,17.86,0.25147223,0.16503888,7.729684009556407,0.74,226.52629,317,323,"7/21/24, 12:00 AM",PARVATHIPURAM MANYAM,146,2024-12-31,5.51,3.9121528,373,366,310,311,1.3478063,2024-01-01,30.424628571428567,GUMADAM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.21521176559085,18.54163170610478]}"
1_0,0.89,0.08736716,0.672,0.06,5.97,0.10781492,222.39,5.12,150.53,0.25307313,0.68,93.7,0.11331344,40.18,0.26771942,0.18296866,0.9179393010679898,0.324,180.0,313,318,"7/8/24, 12:00 AM",PARVATHIPURAM MANYAM,95,2024-12-31,7.15,4.080903,349,351,338,331,0.92740995,2024-01-01,30.4529090909091,Pedabhogila,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38930526765321,18.651046507710536]}"
2_0,1.06,0.075175,0.815,0.31,5.44,0.103025,476.55,9.752,88,0.30066618,0.58,65.59,0.10625441,93.75,0.262625,0.182325,-1.7903562034817364,0.312,-0.0,270,277,"7/4/24, 12:00 AM",PARVATHIPURAM MANYAM,123,2024-12-31,6.21,4.1540637,375,377,355,346,2.7802885,2024-01-01,30.397000000000002,Venkatabhyripuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31357728920194,18.694165641348274]}"
3_0,0.681,0.09312113,0.68,0.09,8.982,0.10846619,317.7,2.954,128.09,0.19631831,0.28,16.4,0.121076055,13.39,0.24409154,0.20362253,-3.3068056353404134,0.819,17.994627,286,294,"7/2/24, 12:00 AM",PARVATHIPURAM MANYAM,140,2024-12-31,6.18,4.307221,391,398,324,309,12.4764805,2024-01-01,30.39697142857143,Kona,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26938017722325,18.68715878213214]}"
4_0,0.59,0.05548955,0.624,0.17,6.34,0.07712612,561.27,5.22,255.02,0.2589224,0.34,30.45,0.07331343,40.18,0.21600522,0.13050298,-2.2238924125651827,0.42,166.78145,297,306,"7/21/24, 12:00 AM",PARVATHIPURAM MANYAM,124,2024-12-31,5.85,4.260957,360,357,343,337,8.5114355,2024-01-01,30.394914285714275,Komarada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46314678400783,18.90248495573559]}"
5_0,0,0.06672308,0,0.03,0,0.0917718,96.07,0,188.16,0.25309744,0.488372093023256,69.97200000000001,0.094223075,5.516,0.23857692,0.16999231,-2.3438734294620707,0,210.3962,273,294,"7/12/24, 12:00 AM",PARVATHIPURAM MANYAM,414,2024-12-31,5.64,3.7338958,392,377,335,328,9.587148,2024-01-01,30.229485714285712,Talada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.73614479885177,18.725696507820867]}"
6_0,0.813,0.0885106,0.643,0.05,9.324,0.113036364,465.96,10.14,188.16,0.2621121,0.79,77.3,0.123704545,35.71,0.27276516,0.1957106,0.14389901112851045,0.948,103.3283,327,331,"7/8/24, 12:00 AM",PARVATHIPURAM MANYAM,109,2024-12-31,6.91,3.87699,351,357,322,312,4.016699,2024-01-01,30.56137142857142,K.Seetharampuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40466645901166,18.621941092505065]}"
7_0,0.72,0.10173803,0.412,0.17,7.89,0.13507043,847.2,4.27,79.64,0.2829521,0.25,70.28,0.16347323,66.96,0.34732535,0.2660183,-2.7285136354479107,0.67,74.86614,278,293,"7/21/24, 12:00 AM",PARVATHIPURAM MANYAM,128,2024-12-31,5.81,4.035455,413,407,310,300,7.0690813,2024-01-01,30.54122222222222,Vikrampuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44913306557558,18.810317807584926]}"
8_0,1.22,0.11809571,0.926,0.38,9.682,0.14072,476.55,8.918,100.6,0.22977571,0.49,14.06,0.16162571,44.64,0.27072144,0.2353457,-1.0661171799901397,0.918,133.44872,263,276,"6/29/24, 12:00 AM",PARVATHIPURAM MANYAM,141,2024-12-31,6.09,4.114705,401,400,336,324,2.6953614,2024-01-01,30.332628571428568,Markondaputti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2276085165117,18.69039271715497]}"
9_0,0.68,0.08941857,0.186,0.19,5.62,0.11098571,497.73,5.43,88,0.27257,0.3,32.8,0.10757286,49.11,0.22066857,0.14295429,-2.0778683553413293,0.68,-0.0,257,281,"7/6/24, 12:00 AM",PARVATHIPURAM MANYAM,139,2024-12-31,6.98,4.307221,403,398,339,321,3.7047918,2024-01-01,30.3576,Makkuva,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26075635049571,18.665060226142803]}"
10_0,0.67,0.08758,0.342,0.08,4.92,0.112887144,338.88,3.94,50.17,0.24655715,0.85,46.85,0.12470429,66.96,0.26523715,0.19152714,2.0923173435007976,0.722,-0.0,287,297,"7/8/24, 12:00 AM",PARVATHIPURAM MANYAM,121,2024-12-31,6.85,4.1962547,377,376,336,328,0.0,2024-01-01,30.49771428571428,Surammapeta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36909317376052,18.727313475332284]}"
11_0,0.824,0.09710286,0.692,0.08,4.89,0.12283857,561.27,3.43,201.65,0.2723243,0.44,21.08,0.14237857,44.64,0.29653713,0.21188714,3.793257877453147,0.87,16.777561,312,319,"7/8/24, 12:00 AM",PARVATHIPURAM MANYAM,108,2024-12-31,7.39,3.8993294,365,367,323,314,6.749692,2024-01-01,30.54105882352941,Latchayyapeta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36774570083435,18.617359684556053]}"
12_0,0.69,0.11799552,0.254,0.12,6.72,0.13105373,264.7,7.24,288.52,0.2397194,0.62,60.91,0.15020448,13.39,0.30809104,0.25289553,-2.4951495837199027,0.672,240.38574,311,311,"7/8/24, 12:00 AM",PARVATHIPURAM MANYAM,101,2024-12-31,7.23,3.9181275,351,355,338,334,5.6127105,2024-01-01,30.485371428571423,Venkatapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41463775866538,18.675570514967]}"
13_0,1.62,0.06874857,0.419,0.21,15.25,0.09201143,447.78,16.66,226.38,0.24362572,0.25,60.91,0.08909143,53.17,0.23812714,0.15289,0.03233063222539608,0.115,133.44547,272,281,"7/6/24, 12:00 AM",PARVATHIPURAM MANYAM,115,2024-12-31,6.15,4.2597146,388,394,340,325,1.3485072,2024-01-01,30.410342857142858,Sirlam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30899588125293,18.709526832706718]}"
14_0,0.42,0.09612285,0.512,0.13,5.34,0.12136714,444.78,7.22,288.52,0.25864857,0.41,49.19,0.13798,98.21,0.27294713,0.19719571,3.793257877453147,0.671,16.777561,312,319,"7/8/24, 12:00 AM",PARVATHIPURAM MANYAM,108,2024-12-31,6.97,3.8993294,365,367,323,314,6.749692,2024-01-01,30.54105882352941,Latchayyapeta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36774570083435,18.61709018997082]}"
15_0,0.64,0.08492029,0.832,0.09,4.321,0.112471014,381.24,5.486,285.93,0.23776811,0.29,63.25,0.1344145,75.89,0.28316087,0.21404928,-0.7501374277523397,1.286,199.38716,280,291,"7/8/24, 12:00 AM",PARVATHIPURAM MANYAM,103,2024-12-31,7.97,4.080903,396,393,324,316,2.9471292,2024-01-01,30.51461111111111,Gutchimi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38930526765321,18.696591092615396]}"
16_0,0.672,0.07901739,0.842,0.39,10.22,0.10025073,413.01,9.67,163.38,0.24932899,0.35,16.4,0.10252608,17.86,0.24946232,0.16840725,-2.1117181574458757,0.812,165.21524,296,308,"7/8/24, 12:00 AM",PARVATHIPURAM MANYAM,104,2024-12-31,7.51,3.9181275,376,375,328,317,3.8312812,2024-01-01,30.548342857142856,Nidagallu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42353107997816,18.696052103444924]}"
