system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,0,0.060313724,0.8,0.79,34.75,0.078794114,168.3,3.34,502,0.30656275,0.51,9.4,0.07302549,0.028,0.22329804,0.1258353,-2.2949756077644814,0.098,232.81006,291,294,"3/30/24, 12:00 AM",LONGDING,1291,2024-12-31,5,6.2411456,353,343,356,362,24.478342,2024-01-01,29.58661111111111,Chop,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.44514553817925,26.790052476418637]}"
2_0,0,0.079294,0.8,0.69,33.083,0.10175,463.5,3.65,514,0.222736,0.57,17.4,0.104222,0.062,0.245762,0.189176,-3.3587454810977255,0.078,81.53463,298,306,"3/30/24, 12:00 AM",LONGDING,1510,2024-12-31,4.3,6.006359,366,362,336,333,12.403334,2024-01-01,29.231500000000008,Chop,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.42843687389463,26.74747233195137]}"
7_0,0,0.04364151,0.96,0.03,28.69,0.05664528,258.6,8.055,265,0.25550756,0.2,16.2,0.043603774,0.067,0.16260189,0.08434151,0.7853396753912725,0.851,260.78378,299,310,"3/30/24, 12:00 AM",LONGDING,996,2024-12-31,5.2,6.690264,374,366,327,325,11.428002,2024-01-01,29.53873684210527,Konsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.38504824567165,26.82293081581741]}"
8_0,0,0.05410204,0.08,0.84,21.167,0.06738368,436.2,9.162,332,0.30481428,0.29,7.8,0.05184898,0.058,0.19240816,0.10511225,-3.642447173840422,0.069,83.63324,302,307,"3/30/24, 12:00 AM",LONGDING,1569,2024-12-31,5.1,6.2411456,365,358,333,335,16.275402,2024-01-01,29.44951351351351,Wakka H.Q.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.41792658507043,26.79247792768576]}"
9_0,0,0.05410204,0.61,1.42,38.75,0.06738368,365.4,4.2,364,0.30481428,0.33,16.8,0.05184898,0.046,0.19240816,0.10511225,-3.642447173840422,0.084,83.63324,302,307,"3/30/24, 12:00 AM",LONGDING,1569,2024-12-31,4.5,6.2411456,365,358,333,335,16.275402,2024-01-01,29.44951351351351,Kaiho,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.41792658507043,26.79247792768576]}"
10_0,0,0.061229166,0.854,0.28,32.297,0.08283125,375.6,1.909,492,0.27225417,0.49,28.2,0.0710625,0.043,0.20144792,0.11623125,-1.6491310957597163,0.117,294.0349,291,305,"3/30/24, 12:00 AM",LONGDING,441,2024-12-31,4.8,6.8418365,410,401,299,294,2.2760086,2024-01-01,29.683894736842113,Zedua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.29449806503241,26.884645075836424]}"
11_0,0,0.09242128,0.58,0.42,25.25,0.10755106,425.8,1.46,404,0.23900425,0.38,39,0.114048935,0.029,0.2693085,0.20520425,-0.7511034004682577,0.161,180.0,266,276,"3/30/24, 12:00 AM",LONGDING,1069,2024-12-31,4.3,7.116014,426,419,308,305,0.92740995,2024-01-01,29.590647058823528,Senua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.33330528530637,26.907282620996234]}"
12_0,0,0.083575,0.79,0.34,35.26,0.099047914,395.4,5.36,514,0.25125834,0.57,36.2,0.104745835,0.15,0.26593542,0.18964376,-2.9513184436350146,0.292,96.360306,271,280,"3/30/24, 12:00 AM",LONGDING,1080,2024-12-31,5.5,7.116014,421,414,308,306,8.313501,2024-01-01,29.634228571428576,Senua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.3335747798916,26.90836059933718]}"
13_0,0,0.07336875,0.562,0.52,41.36,0.093754165,426.4,7.14,428,0.34294376,0.41,56,0.07794166,0.095,0.230125,0.1345625,-4.057852309778296,0.162,289.24338,279,288,"3/30/24, 12:00 AM",LONGDING,1092,2024-12-31,5.5,6.943432,397,386,324,326,23.847591,2024-01-01,29.589076923076934,Niaunu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.31417116975463,26.860660057750433]}"
14_0,0,0.104202,0.854,0.28,32.297,0.123352,375.6,1.909,492,0.302602,0.49,28.2,0.11991,0.043,0.284298,0.203064,-3.0236223420771142,0.117,316.14444,273,283,"3/30/24, 12:00 AM",LONGDING,1062,2024-12-31,4.8,6.943432,394,383,333,334,8.930626,2024-01-01,29.589076923076934,Niaunu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.31524914809557,26.86335500360279]}"
17_0,0,0.078332,0.854,0.28,32.297,0.088354,375.6,1.909,492,0.275196,0.49,28.2,0.074992,0.043,0.17622,0.106078,-3.993697484562305,0.117,240.82591,287,296,"3/30/24, 12:00 AM",LONGDING,1405,2024-12-31,4.8,6.7123513,357,353,356,351,39.699528,2024-01-01,29.385666666666665,GREF Camp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.28021485201491,26.714055003382125]}"
18_0,0,0.05410204,0.22,0.74,32.25,0.06738368,256.9,6.651,500,0.30481428,0.5,31.8,0.05184898,0.067,0.19240816,0.10511225,-3.642447173840422,0.244,83.63324,302,307,"3/30/24, 12:00 AM",LONGDING,1569,2024-12-31,4.8,6.2411456,365,358,333,335,16.275402,2024-01-01,29.44951351351351,Wakka H.Q.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.41792658507043,26.79247792768576]}"
19_0,0,0.060313724,0.49,0.29,38.833,0.078794114,336.5,5.21,400,0.30656275,0.4,12.9,0.07302549,0.084,0.22329804,0.1258353,-2.2949756077644814,0.056,232.81006,291,294,"3/30/24, 12:00 AM",LONGDING,1291,2024-12-31,4.4,6.2411456,353,343,356,362,24.478342,2024-01-01,29.58661111111111,Chop,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.44514553817925,26.790052476418637]}"
20_0,0,0.05963125,0.78,0.04,39.954,0.077475,359.4,5.6,396,0.25694168,0.37,26.8,0.06358958,0.061,0.1977125,0.11322916,-0.03997207189681505,0.154,114.031456,268,286,"3/30/24, 12:00 AM",LONGDING,389,2024-12-31,4.3,7.0883636,430,418,302,296,2.2763164,2024-01-01,29.67584615384616,Zedua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.2869522166458,26.902970707632463]}"
