system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,2.903,0.06973334,2.18,0.0546,3.05,0.099523336,0,3.11,300,0.30722666,0.25,23.746,0.082383335,34.25,0.22196667,0.13965,-0.7584562078499225,4,180.0,289,291,"3/26/24, 12:00 AM",NAMSAI,153,2024-12-31,5.3,8.314866,427,428,284,281,0.92740995,2024-01-01,29.8595,Lathao,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.91918651360912,27.735978470596493]}"
1_0,2.903,0.06973334,2.18,0.0545,3.05,0.099523336,0,3.11,308,0.30722666,0.26,23.716,0.082383335,34.25,0.22196667,0.13965,-0.7584562078499225,4,180.0,289,291,"3/26/24, 12:00 AM",NAMSAI,153,2024-12-31,5.3,8.314866,427,428,284,281,0.92740995,2024-01-01,29.8595,Solungtoo,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.91918651360912,27.735978470596493]}"
2_0,0.051,0.075616665,1.19,0.0366,16.92,0.10828542,0,0.01,324,0.34682083,0.28,20.4,0.09316042,33.3,0.30977917,0.19230416,-1.5729869779305812,0,90.0,305,303,"3/28/24, 12:00 AM",NAMSAI,149,2024-12-31,5.32,8.131378,421,418,275,279,2.094149,2024-01-01,29.834647058823528,Kaba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.85612478066393,27.69932720700442]}"
3_0,1.205,0.06551961,0.41,0.0413,0,0.094317645,0,0.01,324,0.3163353,0.28,50.749,0.07502941,38.75,0.24094313,0.15686078,-2.183841786474751,0,344.21744,310,326,"3/27/24, 12:00 AM",NAMSAI,172,2024-12-31,6.78,8.040563,390,379,300,295,3.849503,2024-01-01,29.92988571428572,Guna Nagar - I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.07549337304592,27.80901150319541]}"
4_0,0.051,0.054963157,1.19,0.0386,16.92,0.070257895,0,0.01,340,0.2858684,0.3,20.401,0.052455265,32.875,0.1766579,0.09643684,-1.1689918858149795,0,131.5264,315,316,"3/26/24, 12:00 AM",NAMSAI,145,2024-12-31,5.35,8.131378,425,423,260,261,1.3987265,2024-01-01,29.891352941176468,Kaba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.859628210272,27.68100157520838]}"
5_0,0.554,0.05365577,1.12,0.0227,25.09,0.08241923,0,6.56,340,0.27550384,0.3,43.46,0.08422308,42.95,0.22657885,0.13781154,-1.170736744879476,6.8,131.49434,316,332,"3/27/24, 12:00 AM",NAMSAI,185,2024-12-31,5.69,7.5492287,394,381,290,287,1.3996104,2024-01-01,29.862000000000002,Kherem,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.12211593629172,27.80389110607593]}"
6_0,1.222,0.067554906,0.92,0.0478,9.95,0.10046471,0,1.11,340,0.3126294,0.3,43.072,0.0815902,41,0.24631764,0.15413725,-2.3685571208321723,1.4,180.0,310,326,"3/27/24, 12:00 AM",NAMSAI,173,2024-12-31,6.95,8.040563,390,379,300,295,4.6273675,2024-01-01,29.92988571428572,Guna Nagar - I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.07549337304592,27.809550492365883]}"
7_0,0.681,0.05365577,1.35,0.0227,25.05,0.08241923,0,8.45,309,0.27550384,0.26,48.598,0.08422308,44.1,0.22657885,0.13781154,-1.170736744879476,5.6,131.49434,316,332,"3/27/24, 12:00 AM",NAMSAI,185,2024-12-31,5.69,7.5492287,394,381,290,287,1.3996104,2024-01-01,29.862000000000002,Kherem,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.12211593629172,27.80389110607593]}"
8_0,2.903,0.061919354,2.18,0.054,3.05,0.08149032,0,3.11,300,0.2388742,0.25,23.746,0.072467744,34.25,0.1928,0.12682581,-2.367463187818697,4,-0.0,317,321,"3/26/24, 12:00 AM",NAMSAI,151,2024-12-31,5.3,8.131378,434,429,249,250,4.6273675,2024-01-01,29.864375000000006,Sengsap,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.89654896844931,27.688547423594983]}"
9_0,2.903,0.041486666,2.18,0.0556,3.05,0.060286667,0,3.11,300,0.28707334,0.25,23.746,0.042513333,34.275,0.16897334,0.08867333,-2.0812462923592276,4,143.02303,306,306,"3/26/24, 12:00 AM",NAMSAI,147,2024-12-31,5.35,8.131378,423,421,272,273,3.4786985,2024-01-01,29.834599999999988,Sengsap,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.89439301176742,27.694745799055408]}"
10_0,0.051,0.075616665,1.19,0.0378,11.92,0.10828542,0,0.01,340,0.34682083,0.3,20.46,0.09316042,33.3,0.30977917,0.19230416,-1.5729869779305812,0,90.0,305,303,"3/28/24, 12:00 AM",NAMSAI,149,2024-12-31,5.3,8.131378,421,418,275,279,2.094149,2024-01-01,29.834647058823528,Kaba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.85612478066393,27.69932720700442]}"
