system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.02,0.08247667,0.627,0.35,13.62,0.10182667,218.4,4.693,565.1,0.24633001,0.95,27.9,0.10096667,34.31,0.22702333,0.15866667,3.8108530744497786,0.82,48.15973,263,265,"5/26/24, 12:00 AM",BARPETA,45,2024-12-31,6.3,5.2533913,403,398,334,337,1.390151,2024-01-01,29.924111111111113,Ghilajari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.95213181312705,26.444290923561034]}"
1_0,0.04,0.13000345,1.649,0.42,15.64,0.14941724,141.54000000000002,5.018,561.3,0.28210345,0.9,36.064,0.1372,40.392,0.22111724,0.16238965,0.4595036720714809,1.38,48.12182,295,296,"5/16/24, 12:00 AM",BARPETA,41,2024-12-31,5.6,5.2317877,357,346,348,358,1.3891251,2024-01-01,29.956277777777782,Pathlikuchi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.95078434020087,26.290140020806124]}"
2_0,0.01,0.11109286,1.37,0.11,17,0.121564284,233.24,6.362,542,0.22744286,0.71,36.67,0.11558928,30.09,0.21983214,0.1781,-0.7465653920728753,1.22,180.0,268,271,"5/19/24, 12:00 AM",BARPETA,44,2024-12-31,5.22,5.442486,386,374,346,354,0.92740995,2024-01-01,29.926378378378374,Kumulli Para (Kumulia Para),"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.93569264342767,26.380959696030608]}"
3_0,0.03,0.12072903,1.984,0.09,8.68,0.13903226,189.28,5.804,553.8,0.23584516,0.8,39.368,0.14167419,31.32,0.2564,0.21937741,-1.5502988395621284,0.77,90.0,280,286,"5/18/24, 12:00 AM",BARPETA,45,2024-12-31,6.4,5.7527213,402,396,318,318,2.0703511,2024-01-01,29.96763636363636,Haldia Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.86858849170395,26.416263486696504]}"
4_0,0.02,0.08921961,1.175,0.23,17.15,0.107658826,178.64,4.548,510,0.22305687,0.55,36.68,0.095992155,43.416,0.16287255,0.11196274,-1.574243916556909,0.52,330.85425,264,276,"5/25/24, 12:00 AM",BARPETA,41,2024-12-31,5.6,5.186091,362,353,375,372,2.122931,2024-01-01,29.9593125,Batikuriha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.08283668696644,26.280438215737632]}"
5_0,0.02,0.08995714,1.354,0.33,12.73,0.102885716,183.46,7.153,554.533,0.1869,0.81,31.59,0.09365357,38.2,0.15868929,0.116189286,-1.5496807786704268,1.91,90.0,268,271,"5/19/24, 12:00 AM",BARPETA,44,2024-12-31,5.33,5.442486,386,374,346,354,2.069709,2024-01-01,29.926378378378374,Kumulli Para (Kumulia Para),"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.93515365425719,26.380690201445372]}"
6_0,0.06,0.078425,1.182,0.07,16.86,0.09671071,246.18,5.631,550.7555,0.2653607,0.76,25.89,0.086307146,29.25,0.1960857,0.12634642,-1.1511402334165257,1.25,48.144028,280,283,"5/19/24, 12:00 AM",BARPETA,42,2024-12-31,5.52,5.442486,371,361,349,357,1.3897258,2024-01-01,29.926378378378374,Kumulli Para (Kumulia Para),"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.93326719216054,26.380690201445372]}"
7_0,0.03,0.08210714,1.948,0.03,9.02,0.097432144,230.84,3.481,553.022,0.23103571,0.79,22.7,0.08545,32.02,0.18384643,0.121164285,-1.8442479138166015,1.86,131.85666,263,267,"5/19/24, 12:00 AM",BARPETA,43,2024-12-31,5.36,5.442486,392,382,346,351,2.7777815,2024-01-01,29.91583783783783,Kumulli Para (Kumulia Para),"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.93434517050149,26.377725761007778]}"
8_0,0.06,0.11928929,1.483,0.14,11.18,0.13686071,135.51999999999998,7.902,520,0.2464393,0.6,30.800000000000004,0.13267857,35.424,0.23924643,0.188975,-1.9091250857040547,0.54,159.6056,291,295,"5/15/24, 12:00 AM",BARPETA,46,2024-12-31,5.7,5.3465753,361,349,347,357,2.9659016,2024-01-01,29.956277777777782,Bhograndha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.94916737268946,26.28852305329471]}"
9_0,0.01,0.09377288,1.695,0.18,19.02,0.10610847,255.99,7.747,534,0.20405085,0.67,28.09,0.11198305,29.7,0.21423559,0.1725695,-0.8565660197264049,1.08,90.0,277,280,"5/25/24, 12:00 AM",BARPETA,44,2024-12-31,7.9,5.2513256,365,357,358,363,1.0352122,2024-01-01,29.96761290322581,Chakir Bhitha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.06208560390328,26.382846158127258]}"
