system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.03,0.075727694,1.524,0.22,9.41,0.094033845,225.12,5.672,562.1,0.2530523,0.91,39.8,0.08090923,47.52,0.19771385,0.13297077,-0.47381970634233583,1.11,330.89032,299,306,"5/13/24, 12:00 AM",DHUBRI,31,2024-12-31,6.5,7.4553185,457,452,244,242,2.122187,2024-01-01,29.99060606060606,Balajan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.8830467934964,26.107961681186687]}"
1_0,0.02,0.097377025,1.893,0.23,12.92,0.11565,192.64,3.465,559.8,0.2522135,0.88,36.99,0.11377568,37.128,0.27153918,0.20805,-0.7442801390286393,1.74,180.0,300,312,"5/13/24, 12:00 AM",DHUBRI,33,2024-12-31,6.5,7.4553185,457,448,243,239,0.92740995,2024-01-01,29.967939393939393,Balajan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.88655022310448,26.110656627039045]}"
2_0,0.02,0.08808788,1.299,0.21,10.32,0.10219546,182.56,5.577,553.8,0.20456061,0.8,38.87,0.09719697,36.89,0.19534242,0.15088181,-1.907402483147431,1.78,339.63477,301,309,"5/13/24, 12:00 AM",DHUBRI,35,2024-12-31,6.2,7.4553185,454,449,245,242,2.9653416,2024-01-01,29.99060606060606,Balajan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.8792738693031,26.106883702845742]}"
3_0,0.04,0.11916127,1.432,0.21,12.48,0.14282833,173.04000000000002,6.262,510,0.28040403,0.55,31.304,0.13981445,43.928,0.26720983,0.20771098,3.138690505396987,1.85,-0.0,329,345,"5/2/24, 12:00 AM",DHUBRI,31,2024-12-31,6.1,7.287756,389,380,282,274,0.0,2024-01-01,29.93238888888889,Baraibari Pt.III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.03504173956944,26.0990683598739]}"
4_0,0.01,0.08404821,1.959,0.12,18.28,0.113385715,221.76,6.985,540,0.27746427,0.7,26.388,0.09846429,47.952,0.18168035,0.12370536,1.4537504615826187,1.97,-0.0,286,297,"5/28/24, 12:00 AM",DHUBRI,26,2024-12-31,6.5,6.2658057,424,420,290,283,0.92740995,2024-01-01,29.92577777777779,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91511664913948,26.01525554386555]}"
5_0,0.04,0.07562,1.16,0.09,14.32,0.09341333,144.48,4.456,557.6,0.21204667,0.85,37.128,0.09127834,38.448,0.178545,0.12404,3.4595960330976014,1.86,228.13268,317,326,"5/28/24, 12:00 AM",DHUBRI,41,2024-12-31,7.5,7.0864396,424,415,259,260,2.777205,2024-01-01,29.958722222222224,Bahalpur Boropara Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.4301208015252,26.334337132784803]}"
6_0,0.05,0.080530554,1.758,0.1,13.28,0.09903889,243.18,3.702,550,0.20396389,0.75,32.18,0.101502776,25.53,0.2083611,0.16977222,-1.8402566242109692,1.08,131.9306,291,304,"5/13/24, 12:00 AM",DHUBRI,29,2024-12-31,7.8,7.131231,440,431,269,265,2.7737944,2024-01-01,29.93012121212122,Debattar Hasdaha Pt V,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.87684841803599,26.075891825543618]}"
7_0,0.05,0.1116809,0.744,0.13,14.05,0.12078646,194.88,2.539,557.6,0.24723576,0.85,33.712,0.11187847,42.024,0.209367,0.15859097,-0.7442371488888149,1.53,-0.0,300,313,"6/8/24, 12:00 AM",DHUBRI,33,2024-12-31,6.2,7.4265842,411,403,289,284,0.92740995,2024-01-01,29.941444444444446,Geramari Pt.V,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.01456015109152,26.105805724504798]}"
8_0,0.06,0.10342355,0.821,0.06,9.16,0.113379866,69.44,2.649,510,0.22968157,0.55,29.844,0.10797952,34.136,0.2196454,0.17292525,2.0395623445959483,0.87,-0.0,339,342,"6/7/24, 12:00 AM",DHUBRI,37,2024-12-31,5.9,7.7381864,408,411,252,247,0.0,2024-01-01,29.961636363636366,Dalaner Alga Pt.II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.07142350857627,26.16024363072244]}"
9_0,0.04,0.1002,1.298,0.26,8.14,0.116063416,199.36,7.152,553.8,0.19966829,0.8,26.656,0.12241463,37.584,0.23471707,0.1848561,-0.7440987453019188,1.16,-0.0,299,308,"5/28/24, 12:00 AM",DHUBRI,31,2024-12-31,5.3,7.131231,442,435,259,257,0.92740995,2024-01-01,29.984352941176468,Batuatuli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.88655022310448,26.08882756563494]}"
10_0,0.03,0.08833934,1.868,0.06,10.41,0.09905738,161.68,4.666,561.3,0.19153607,0.9,35.6,0.083590165,36.39,0.14500819,0.08667049,-3.1622302823386033,1.53,323.38376,307,307,"5/11/24, 12:00 AM",DHUBRI,42,2024-12-31,7.2,7.6179147,398,387,295,305,10.287836,2024-01-01,29.952243902439015,Fauzdarchar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.36301664980147,26.21575951528103]}"
11_0,0.01,0.1299648,1.338,0.05,10.78,0.1526905,82.88,3.452,512,0.29356313,0.56,37.57,0.13643129,23.76,0.20616592,0.14975251,0.44194327890261087,0.97,294.1717,299,305,"5/11/24, 12:00 AM",DHUBRI,31,2024-12-31,6.5,7.6756773,387,385,314,310,2.2639105,2024-01-01,29.98222222222222,Gutipara Pt VI,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.14688199244232,26.149463847313008]}"
12_0,0.02,0.1299648,0.884,0.03,18.82,0.1526905,64.96,2.697,420,0.29356313,0.4,38.36,0.13643129,23.544,0.20616592,0.14975251,0.44194327890261087,0.73,294.1717,299,305,"5/11/24, 12:00 AM",DHUBRI,31,2024-12-31,6.4,7.6756773,387,385,314,310,2.2639105,2024-01-01,29.98222222222222,Gutipara Pt VI,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.14688199244232,26.149463847313008]}"
13_0,0.05,0.10637652,0.789,0.06,19.21,0.122461736,112,1.726,563.6,0.24910522,0.93,30.352000000000004,0.12155565,33.912,0.25862175,0.20048347,-1.8408264693130594,1.12,311.92004,291,313,"5/2/24, 12:00 AM",DHUBRI,32,2024-12-31,6.9,7.1587696,455,439,255,248,2.7743626,2024-01-01,29.935944444444445,Khudimari Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.93748469971405,26.119280453766592]}"
14_0,0.06,0.08515588,0.511,0.28,13.55,0.09903529,230.72,2.763,520,0.21764706,0.6,32.032,0.09237941,38.232,0.18057941,0.13042942,-0.8517029063226861,1.81,90.0,256,271,"6/8/24, 12:00 AM",DHUBRI,33,2024-12-31,6.5,7.0819397,468,459,275,269,1.032675,2024-01-01,29.93251428571429,Lakhimari Pt.III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.8108222446532,26.097451392362487]}"
16_0,0.05,0.09905143,1.545,0.07,15.29,0.11368286,112.56,1.559,562.8,0.23916857,0.92,35,0.110774286,27.216,0.22377428,0.16989428,-0.4568589556792821,1.4,48.123043,272,282,"5/2/24, 12:00 AM",DHUBRI,36,2024-12-31,5.7,7.260074,424,425,303,293,1.3891582,2024-01-01,29.89324324324324,Kaimari Pt.II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.82214101723311,26.295260417925604]}"
17_0,0.06,0.09849091,1.849,0.1,19.53,0.11319394,136.64,7.216,520,0.25359696,0.6,31.08,0.10785758,42.984,0.23589091,0.17446667,-0.7456756058251116,1.63,180.0,248,262,"5/28/24, 12:00 AM",DHUBRI,38,2024-12-31,6.2,7.2263513,446,441,306,297,2.7802885,2024-01-01,29.944571428571432,Bidyadabri Pt.III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.78387278612962,26.27612630237386]}"
19_0,0.03,0.08305,1.212,0.04,13.69,0.09713871,198.82,7.997,380,0.2853403,0.35,31.136000000000003,0.07976936,49.896,0.1947129,0.111991934,-1.842882710194226,1.21,228.118,291,298,"5/3/24, 12:00 AM",DHUBRI,45,2024-12-31,7.7,7.2837768,454,449,254,254,2.776413,2024-01-01,30.0313125,Barshi Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.27192747999175,26.27477882944768]}"
20_0,0.05,0.14020838,1.498,0.11,18.51,0.15549776,156.24,5.572,520,0.28614637,0.6,39.62,0.14899944,41.072,0.28200448,0.22247598,-2.168264454949294,1.13,164.43697,305,310,"5/11/24, 12:00 AM",DHUBRI,35,2024-12-31,7.5,7.903903,379,377,316,313,3.8453794,2024-01-01,30.001611111111117,Gutipara Pt VI,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.14499553034567,26.15108081482442]}"
21_0,0.04,0.0853579,1.921,0.2,18.59,0.10441404,164.64,5.329,540,0.22975613,0.7,31.96,0.100773685,43.848000000000006,0.18667719,0.13043334,-1.8404528092009542,0.97,131.92694,285,300,"5/3/24, 12:00 AM",DHUBRI,30,2024-12-31,7.8,7.0796156,456,446,259,254,2.7739909,2024-01-01,29.996529411764715,Baniamari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.92670491630462,26.09071402773159]}"
24_0,0.04,0.1249907,0.906,0.04,12.57,0.14539942,82.28,6.345,460,0.26690117,0.45,20.776,0.13078953,25.704,0.19211744,0.13875116,-0.051608274046480745,0.94,180.0,330,334,"5/2/24, 12:00 AM",DHUBRI,33,2024-12-31,6.9,7.9476824,389,388,281,278,0.92740995,2024-01-01,30.004764705882355,Gutipara Pt.III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.17329246179543,26.16751998452381]}"
25_0,0.02,0.11344118,0.905,0.08,15.55,0.12566176,77.28,7.071,510,0.21141176,0.55,39.99,0.12771176,34.992000000000004,0.21773235,0.17939413,-1.6398277761039501,0.7,294.1442,258,273,"5/11/24, 12:00 AM",DHUBRI,38,2024-12-31,5.9,7.2263513,432,426,310,301,2.2663307,2024-01-01,29.940294117647056,Chagolia Pt.II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.77336249730541,26.29876384753367]}"
