system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.03,0.079773076,0.597,0.16,14.66,0.1006,230.58,0.862,565.9,0.2815154,0.96,30.744000000000003,0.09370769,49.64,0.2608596,0.16339807,-2.0610781522755506,1.96,216.56432,299,313,"4/25/24, 12:00 AM",GOALPARA,53,2024-12-31,6,7.699686,405,394,296,293,3.4600706,2024-01-01,29.98993548387097,Maslam Pt-II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.74893289585921,25.99450446080239]}"
1_0,0.02,0.0999075,1.274,0.13,16.39,0.11665833,88.48,0.508,520,0.24233167,0.6,35.07,0.113710836,33.048,0.22426167,0.16901,-1.8405532819518566,0.71,48.074947,268,277,"5/1/24, 12:00 AM",GOALPARA,38,2024-12-31,6.5,7.4411364,375,371,357,352,2.774093,2024-01-01,29.953567567567564,Tekona,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.33822314795977,26.09852937070343]}"
2_0,0.03,0.106005736,1.832,0.12,13.05,0.1216959,131.04,0.315,563.6,0.23062295,0.93,30.222,0.11572623,34.68,0.18597786,0.13058689,-0.023880432272604495,0.91,300.91125,285,291,"4/13/24, 12:00 AM",GOALPARA,35,2024-12-31,6.9,7.577223,376,373,339,336,3.6061826,2024-01-01,29.943371428571428,Kuchdhowapara Pt-I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.35061989888062,26.086402114367818]}"
3_0,0.04,0.13239099,1.261,0.1,9.03,0.14739673,179.2,0.775,530,0.22994262,0.65,26.46,0.14851722,36.072,0.23649098,0.19786967,-0.05108621434806042,1.6,180.0,272,280,"4/23/24, 12:00 AM",GOALPARA,37,2024-12-31,5.3,7.598473,389,385,339,335,0.92740995,2024-01-01,29.932,Likiri Para,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.33795365337454,26.10553622991956]}"
4_0,0.02,0.11207705,1.899,0.04,9.74,0.12434262,48.16,0.281,380,0.20968853,0.35,29.12,0.12332213,28.296,0.20353688,0.16309427,-1.1474587453964575,1.79,48.07583,272,281,"4/23/24, 12:00 AM",GOALPARA,40,2024-12-31,6.6,7.598473,384,381,344,338,1.3878835,2024-01-01,29.932,Likiri Para,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.33633668586312,26.10230229489673]}"
5_0,0.02,0.1232463,0.71,0.19,11.69,0.13691111,229.74,0.861,510,0.27104816,0.55,27.864,0.14627223,43.416,0.29676852,0.24929814,-0.8512609045899405,0.97,90.0,284,297,"4/23/24, 12:00 AM",GOALPARA,35,2024-12-31,6.2,7.4059024,422,413,294,290,1.0324447,2024-01-01,30.033687500000003,Garojan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.40478831051303,26.07131041759461]}"
6_0,0.04,0.10366111,1.21,0.05,8.06,0.11995926,60.48,0.216,520,0.2132111,0.6,27.9,0.112157404,24.84,0.2013463,0.14546111,-1.1470541927838087,0.8,311.9316,284,297,"4/18/24, 12:00 AM",GOALPARA,35,2024-12-31,4.8,7.4059024,422,413,294,290,1.387683,2024-01-01,30.033687500000003,Agia Part-II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.40505780509827,26.071579912179846]}"
7_0,0.05,0.098309256,1.153,0.13,10.91,0.11578704,154.56,0.311,561.3,0.2465537,0.9,34.496,0.112227775,36.936,0.23971666,0.18097962,-2.2621403431590594,1.61,282.65656,267,281,"4/16/24, 12:00 AM",GOALPARA,39,2024-12-31,5.6,7.4059024,457,442,275,277,4.225389,2024-01-01,29.941714285714287,Bamuner Alga Pt-I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.43551069322992,26.070771428424138]}"
8_0,0.03,0.101567216,1.307,0.06,10.17,0.11401803,41.44,0.639,436,0.19818935,0.42,36.432,0.11585328,27,0.2195754,0.18177049,-2.0623424336284204,0.95,323.40982,272,280,"4/11/24, 12:00 AM",GOALPARA,39,2024-12-31,7,7.598473,389,385,339,335,3.4612267,2024-01-01,29.932,Hosdoba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.33795365337454,26.104997240749093]}"
9_0,0.03,0.0961459,1.179,0.06,13.9,0.11068115,61.6,0.865,500,0.22248606,0.5,28.332,0.11128197,20.952,0.17704344,0.12565984,-0.8516468425981838,0.8,270.0,292,296,"4/19/24, 12:00 AM",GOALPARA,36,2024-12-31,6.7,7.4411364,376,372,332,332,1.0326481,2024-01-01,29.953567567567564,Birsing Halanga Char Pt-I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.3406485992269,26.094486951924893]}"
