system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.04,0.11459629,1.76,0.12,26.005,0.13278519,211.61,2.549,555.2885,0.24643704,0.82,24.23,0.14212592,32.41,0.2572926,0.18123333,-1.4422796460754423,1.83,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,5.07,6.159315,393,384,335,330,1.8543341,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.92007568032955,26.68009868564241]}"
1_0,0.04,0.11459629,1.982,0.66,26.155,0.13278519,132.79,4.133,548,0.24643704,0.74,26.21,0.14212592,38.81,0.2572926,0.18123333,-1.4422796460754423,1.61,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,5.86,6.159315,393,384,335,330,1.8543341,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.92007568032955,26.68009868564241]}"
2_0,0.05,0.11459629,1.001,0.24,26.18,0.13278519,186.72,7.012,564.3545,0.24643704,0.94,38.66,0.14212592,27.74,0.2572926,0.18123333,-1.4422796460754423,0.67,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,5.86,6.159315,393,384,335,330,1.8543341,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.92007568032955,26.68009868564241]}"
3_0,0.06,0.11922593,0.616,0.11,25.62,0.14043333,219.52,4.299,562.8,0.2308963,0.92,22.016,0.14685556,48.6,0.23514074,0.16936667,-1.8477447619321459,0.81,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,4.1,6.159315,393,384,335,330,2.7802885,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.9198061857443,26.68009868564241]}"
4_0,0.03,0.11922593,0.538,0.4,26.62,0.14043333,137.64,4.957,512,0.2308963,0.56,28.99,0.14685556,31.94,0.23514074,0.16936667,-1.8477447619321459,1.08,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,5.66,6.159315,393,384,335,330,2.7802885,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.9198061857443,26.68009868564241]}"
5_0,0.05,0.11922593,1.689,0.08,26.62,0.14043333,260.44,3.09,562.088,0.2308963,0.91,19.58,0.14685556,30.47,0.23514074,0.16936667,-1.8477447619321459,1.85,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,4.79,6.159315,393,384,335,330,2.7802885,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.9198061857443,26.68009868564241]}"
6_0,0.06,0.11922593,1.371,0.15,23.175,0.14043333,118.38,3.483,559.8215,0.2308963,0.88,18.92,0.14685556,37,0.23514074,0.16936667,-1.8477447619321459,1,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,5.03,6.159315,393,384,335,330,2.7802885,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.9198061857443,26.68009868564241]}"
7_0,0.06,0.11922593,1.165,0.06,21.625,0.14043333,217.84,5.039,563.6,0.2308963,0.93,23.296,0.14685556,46.872,0.23514074,0.16936667,-1.8477447619321459,1.66,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,4.3,6.159315,393,384,335,330,2.7802885,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.9198061857443,26.68009868564241]}"
8_0,0.03,0.11922593,1.505,0.46,24.32,0.14043333,215.2,7.978,565.11,0.2308963,0.95,37.45,0.14685556,28.78,0.23514074,0.16936667,-1.8477447619321459,0.86,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,4.49,6.159315,393,384,335,330,2.7802885,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.9198061857443,26.68009868564241]}"
9_0,0.04,0.11922593,0.575,0.56,26.605,0.14043333,280.27,2.794,526,0.2308963,0.63,22.01,0.14685556,28.35,0.23514074,0.16936667,-1.8477447619321459,1.17,-0.0,272,286,"4/16/24, 12:00 AM",GOLAGHAT,84,2024-12-31,5.82,6.159315,393,384,335,330,2.7802885,2024-01-01,29.93903225806451,Hatiyekhowa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.9198061857443,26.68009868564241]}"
