system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.04,0.052207142,2.1,0.01,17.14,0.072039284,122.08,3.93,557.6,0.28060356,0.85,39.69,0.061289284,48.32,0.198625,0.11777857,-1.5592166358973922,1.1,208.84622,280,283,"3/9/24, 12:00 AM",HAILAKANDI,29,2024-12-31,4.66,9.988175,419,418,301,299,2.1167943,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58823344009394,24.802260415718962]}"
1_0,0.05,0.057767857,1.14,0.03,19.43,0.08046786,123.2,4.31,557.6,0.28910714,0.85,35.25,0.07330357,49.68,0.21317144,0.13815357,-2.778151092663094,0.67,121.18118,270,272,"3/9/24, 12:00 AM",HAILAKANDI,26,2024-12-31,4.79,9.988175,412,411,319,317,7.1285925,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58877242926441,24.802529910304198]}"
2_0,0.03,0.061871428,1.04,0.09,8.06,0.085235715,123.2,1.89,565.1,0.28672856,0.95,38.19,0.081132144,43.416,0.22213571,0.14052142,-2.517180214104102,0.64,132.23189,270,272,"3/9/24, 12:00 AM",HAILAKANDI,23,2024-12-31,5.38,9.988175,412,411,319,317,5.502708,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58904192384965,24.802529910304198]}"
3_0,0.01,0.060889285,1.49,0.08,9.37,0.08695357,240.96,3.332,562.8,0.30725,0.92,37.632,0.07801786,27.648,0.23918214,0.15026072,-2.541923022408425,1.69,169.5962,270,272,"3/9/24, 12:00 AM",HAILAKANDI,25,2024-12-31,5.12,9.988175,412,411,319,317,5.639681,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58958091302011,24.802799404889434]}"
4_0,0.05,0.07998214,1.81,0.36,15.21,0.10706786,200.87,7.392,556.8,0.25117856,0.84,38.57,0.110114284,30.51,0.22270714,0.1587357,-1.6498798995725208,1.52,180.0,270,272,"3/9/24, 12:00 AM",HAILAKANDI,21,2024-12-31,5.24,9.988175,412,411,319,317,4.6273675,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5901199021906,24.802529910304198]}"
5_0,0.05,0.050417855,1.189,0.22,11.24,0.069575004,187.68,5.374,544,0.276875,0.72,37.94,0.051439285,31.23,0.1872857,0.103060715,-2.588591394088585,0.88,200.16347,270,272,"3/9/24, 12:00 AM",HAILAKANDI,21,2024-12-31,4.18,9.988175,412,411,319,317,5.9072514,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.59065889136106,24.802529910304198]}"
6_0,0.04,0.06291428,1.67,0.06,12.01,0.08733929,143.36,4.51,557.6,0.286325,0.85,38.144,0.077403575,35.856,0.20373929,0.12451071,-1.6735803418124413,1.54,192.42508,270,272,"3/9/24, 12:00 AM",HAILAKANDI,24,2024-12-31,5.68,9.988175,412,411,319,317,4.7378488,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.59038939677582,24.802799404889434]}"
7_0,0.02,0.07173214,1.36,0.8,16.42,0.09817857,94.08,4.3,562.8,0.28928572,0.92,39.75,0.09370357,46.06,0.22768214,0.14821786,-1.6498798995725208,1.01,180.0,270,272,"3/9/24, 12:00 AM",HAILAKANDI,21,2024-12-31,4.57,9.988175,412,411,319,317,4.6273675,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.59038939677582,24.802529910304198]}"
8_0,0.05,0.08623572,1.28,0.5,17.18,0.11654285,295.13,2.76,557.6,0.25689286,0.85,37.85,0.11744643,33.912,0.21729644,0.15610714,0.5559362192205674,1.31,90.0,277,279,"3/9/24, 12:00 AM",HAILAKANDI,19,2024-12-31,4.98,9.988175,415,414,308,306,1.021624,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5901199021906,24.801990921133726]}"
9_0,0.04,0.08541428,2.26,0.09,13.41,0.114475,122.08,2.92,500,0.23785,0.5,38.3,0.1159,40.176,0.20695357,0.14745714,-0.8660722110508796,1.96,151.15378,280,283,"3/9/24, 12:00 AM",HAILAKANDI,19,2024-12-31,5.96,9.988175,419,418,301,299,2.1167943,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58985040760535,24.802260415718962]}"
10_0,0.02,0.084507145,0.869,0.01,15.21,0.113696426,185.92,5.51,530,0.24181429,0.65,47.616,0.115425,30.888,0.21428928,0.153,-1.617157754866024,0.62,114.41242,280,283,"3/9/24, 12:00 AM",HAILAKANDI,20,2024-12-31,5.15,9.988175,419,418,301,299,2.2429538,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58958091302011,24.801990921133726]}"
11_0,0.04,0.052207142,0.645,0.14,10.06,0.072039284,294.03,7.3,552.3,0.28060356,0.78,21.14,0.061289284,25.19,0.198625,0.11777857,-1.5592166358973922,1.65,208.84622,280,283,"3/9/24, 12:00 AM",HAILAKANDI,29,2024-12-31,4.22,9.988175,419,418,301,299,2.1167943,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58823344009394,24.802260415718962]}"
12_0,0.04,0.09578621,1.5,0.8,10.38,0.11934138,70.55999999999999,3.23,544,0.25517932,0.72,38.87,0.12032069,45.02,0.23034137,0.1643,-2.8495943015236973,1.24,195.39796,273,273,"3/9/24, 12:00 AM",HAILAKANDI,24,2024-12-31,4.12,9.988175,424,424,303,303,7.650391,2024-01-01,29.923625000000005,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58446051590063,24.804416372400848]}"
