system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.03,0.091768965,1.623,0.04,14.36,0.10967931,103.04,5.318,500,0.23371035,0.5,38.95,0.1083069,29.592,0.20491034,0.14154828,-1.3739421152127618,0.78,323.31256,293,307,"4/29/24, 12:00 AM",JORHAT,95,2024-12-31,7.5,7.056086,408,401,300,293,3.4655893,2024-01-01,29.829941176470587,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16585474206464,26.515706988648535]}"
1_0,0.03,0.091768965,1.51,0.04,8.08,0.10967931,116.48,5.339,510,0.23371035,0.55,34.71,0.1083069,25.704,0.20491034,0.14154828,-1.3739421152127618,0.89,323.31256,293,307,"4/29/24, 12:00 AM",JORHAT,95,2024-12-31,7.4,7.056086,408,401,300,293,3.4655893,2024-01-01,29.829941176470587,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16585474206464,26.515706988648535]}"
2_0,0.04,0.091768965,0.791,0.23,19.81,0.10967931,215.91,4.212,553.022,0.23371035,0.79,23.04,0.1083069,37.83,0.20491034,0.14154828,-1.3739421152127618,1.64,323.31256,293,307,"4/29/24, 12:00 AM",JORHAT,95,2024-12-31,7.9,7.056086,408,401,300,293,3.4655893,2024-01-01,29.829941176470587,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16585474206464,26.515706988648535]}"
3_0,0.01,0.091768965,0.674,0.73,9.69,0.10967931,161.75,6.347,544,0.23371035,0.72,28.88,0.1083069,39.44,0.20491034,0.14154828,-1.3739421152127618,1.54,323.31256,293,307,"4/29/24, 12:00 AM",JORHAT,95,2024-12-31,7.2,7.056086,408,401,300,293,3.4655893,2024-01-01,29.829941176470587,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16585474206464,26.515706988648535]}"
4_0,0.02,0.091768965,0.859,0.74,19.79,0.10967931,166.74,4.95,550,0.23371035,0.75,31.65,0.1083069,39.52,0.20491034,0.14154828,-1.3739421152127618,1.91,323.31256,293,307,"4/29/24, 12:00 AM",JORHAT,95,2024-12-31,7.8,7.056086,408,401,300,293,3.4655893,2024-01-01,29.829941176470587,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16585474206464,26.515706988648535]}"
5_0,0.05,0.095335715,0.609,0.11,19.59,0.11527143,132.62,3.932,508,0.26592857,0.54,22.6,0.11393572,37.89,0.25863928,0.17414285,0.41783702755100105,1.24,36.68725,305,316,"4/29/24, 12:00 AM",JORHAT,94,2024-12-31,7.2,7.056086,403,399,292,285,3.4655802,2024-01-01,29.826823529411765,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15750040992233,26.51489850489283]}"
6_0,0.02,0.099457145,1.094,0.14,10.72,0.121564284,198.24,6.509,436,0.29205358,0.42,20.2,0.119675,41.904,0.24639286,0.16826071,-1.9112807382852963,0.95,339.56912,308,318,"4/29/24, 12:00 AM",JORHAT,98,2024-12-31,7.7,7.056086,403,399,289,283,2.9666028,2024-01-01,29.826823529411765,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15534445324045,26.513281537381413]}"
7_0,0.02,0.099457145,1.593,0.11,11.2,0.121564284,224,4.335,500,0.29205358,0.5,16.13,0.119675,34.136,0.24639286,0.16826071,-1.9112807382852963,1.68,339.56912,308,318,"4/29/24, 12:00 AM",JORHAT,98,2024-12-31,7.9,7.056086,403,399,289,283,2.9666028,2024-01-01,29.826823529411765,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15534445324045,26.513281537381413]}"
8_0,0.02,0.099457145,0.77,0.09,17.4,0.121564284,254.24,4.183,510,0.29205358,0.55,21.76,0.119675,33.728,0.24639286,0.16826071,-1.9112807382852963,1.79,339.56912,308,318,"4/29/24, 12:00 AM",JORHAT,98,2024-12-31,7.7,7.056086,403,399,289,283,2.9666028,2024-01-01,29.826823529411765,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15534445324045,26.513281537381413]}"
9_0,0.03,0.099457145,1.51,0.05,8.44,0.121564284,224,5.843,500,0.29205358,0.5,30.89,0.119675,34.408,0.24639286,0.16826071,-1.9112807382852963,0.97,339.56912,308,318,"4/29/24, 12:00 AM",JORHAT,98,2024-12-31,7.9,7.056086,403,399,289,283,2.9666028,2024-01-01,29.826823529411765,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15534445324045,26.513281537381413]}"
10_0,0.04,0.099457145,1.46,0.08,13.37,0.121564284,184.8,2.07,420,0.29205358,0.4,37.37,0.119675,47.304,0.24639286,0.16826071,-1.9112807382852963,1.65,339.56912,308,318,"4/29/24, 12:00 AM",JORHAT,98,2024-12-31,7.4,7.056086,403,399,289,283,2.9666028,2024-01-01,29.826823529411765,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15534445324045,26.513281537381413]}"
11_0,0.02,0.099457145,0.911,0.11,10.59,0.121564284,125.58,2.602,557.6,0.29205358,0.85,30.25,0.119675,35.64,0.24639286,0.16826071,-1.9112807382852963,1.68,339.56912,308,318,"4/29/24, 12:00 AM",JORHAT,98,2024-12-31,7.8,7.056086,403,399,289,283,2.9666028,2024-01-01,29.826823529411765,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15534445324045,26.513281537381413]}"
12_0,0.05,0.08531035,0.743,0.07,8.59,0.09901379,140.70000000000002,7.516,557.6,0.20264482,0.85,17.01,0.09193449,38.016,0.18515863,0.123058625,-1.3739421152127618,1.66,323.31256,293,307,"4/29/24, 12:00 AM",JORHAT,97,2024-12-31,7.8,7.056086,408,401,300,293,3.4655893,2024-01-01,29.829941176470587,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16612423664988,26.515706988648535]}"
13_0,0.02,0.08531035,0.694,0.05,15.58,0.09901379,163.51999999999998,5.857,565.1,0.20264482,0.95,39.66,0.09193449,31.536,0.18515863,0.123058625,-1.3739421152127618,1.04,323.31256,293,307,"4/29/24, 12:00 AM",JORHAT,97,2024-12-31,7.3,7.056086,408,401,300,293,3.4655893,2024-01-01,29.829941176470587,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16612423664988,26.515706988648535]}"
14_0,0.06,0.08531035,1.539,0.06,15.64,0.09901379,200.48,2.464,530,0.20264482,0.65,35.94,0.09193449,37.584,0.18515863,0.123058625,-1.3739421152127618,0.96,323.31256,293,307,"4/29/24, 12:00 AM",JORHAT,97,2024-12-31,7.5,7.056086,408,401,300,293,3.4655893,2024-01-01,29.829941176470587,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16612423664988,26.515706988648535]}"
15_0,0.02,0.08531035,1.587,0.07,13.07,0.09901379,86.24,4.728,557.6,0.20264482,0.85,20.38,0.09193449,28.728,0.18515863,0.123058625,-1.3739421152127618,0.67,323.31256,293,307,"4/29/24, 12:00 AM",JORHAT,97,2024-12-31,7.8,7.056086,408,401,300,293,3.4655893,2024-01-01,29.829941176470587,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16612423664988,26.515706988648535]}"
16_0,0.05,0.07146981,0.779,0.08,12.24,0.08513585,129.92,2.242,557.6,0.2729113,0.85,22.008000000000003,0.070690565,33.696,0.18929811,0.11322453,-1.5768828029277082,0.59,209.19847,286,295,"4/29/24, 12:00 AM",JORHAT,100,2024-12-31,7.3,6.557625,400,397,314,308,2.1240206,2024-01-01,29.80773333333333,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.06802820762402,26.52999020166604]}"
17_0,0.05,0.07146981,1.33,0.03,13.03,0.08513585,240.8,7.26,530,0.2729113,0.65,23.7,0.070690565,33.264,0.18929811,0.11322453,-1.5768828029277082,0.76,209.19847,286,295,"4/29/24, 12:00 AM",JORHAT,100,2024-12-31,7.7,6.557625,400,397,314,308,2.1240206,2024-01-01,29.80773333333333,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.06802820762402,26.52999020166604]}"
