system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.05,0.07207458,0.616,0.11,9.88,0.08670847,154.69,4.997,526,0.30762205,0.63,30.77,0.06882034,29.18,0.17884237,0.1060322,-2.77766744876599,0.65,301.18842,268,265,"7/1/24, 12:00 AM",KARIMGANJ,36,2024-12-31,5.41,10.177038,439,441,293,294,7.127125,2024-01-01,29.8649375,Adarkona Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.52085979378498,24.7672261196383]}"
1_0,0.05,0.07207458,0.564,0.43,18.52,0.08670847,188.1,7.928,556.7995,0.30762205,0.84,38.35,0.06882034,36.94,0.17884237,0.1060322,-2.77766744876599,1.45,301.18842,268,265,"7/1/24, 12:00 AM",KARIMGANJ,36,2024-12-31,4.23,10.177038,439,441,293,294,7.127125,2024-01-01,29.8649375,Adarkona Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.52085979378498,24.7672261196383]}"
2_0,0.02,0.07207458,0.822,0.05,19.21,0.08670847,272.16,4.845,568.1,0.30762205,0.99,19.07,0.06882034,35.64,0.17884237,0.1060322,-2.77766744876599,1.88,301.18842,268,265,"7/1/24, 12:00 AM",KARIMGANJ,36,2024-12-31,4.8,10.177038,439,441,293,294,7.127125,2024-01-01,29.8649375,Adarkona Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.52085979378498,24.7672261196383]}"
3_0,0.01,0.047908474,1.822,0.52,18.54,0.064440675,116.25,7.264,544,0.27082205,0.72,38.09,0.04935593,26.91,0.16057967,0.08864915,-2.8460304459626964,0.96,147.81737,273,271,"6/14/24, 12:00 AM",KARIMGANJ,38,2024-12-31,5.74,10.177038,442,443,285,286,7.625711,2024-01-01,29.859312499999998,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5211292883702,24.766417635882593]}"
4_0,0.02,0.07503684,1.5,0.05,10.17,0.085817546,98.56,3.48,520,0.23486666,0.6,24.11,0.07655263,35.424,0.16098772,0.10679825,-0.7315664345343054,1.57,180.0,267,285,"6/14/24, 12:00 AM",KARIMGANJ,25,2024-12-31,5.4,10.274634,368,355,365,359,0.92740995,2024-01-01,29.943866666666672,Amarkhal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.43138759148667,24.547049043500603]}"
5_0,0.03,0.0671386,1.974,0.08,14.71,0.076740354,143.36,2.113,556,0.16254386,0.83,31.78,0.060510527,42.056,0.12233333,0.06544737,0.5196474331623974,1.57,180.0,263,262,"7/1/24, 12:00 AM",KARIMGANJ,41,2024-12-31,4.8,9.884542,448,448,289,290,1.8543341,2024-01-01,29.820352941176473,Adarkona Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51088849413125,24.743241101552307]}"
6_0,0.05,0.059277587,0.632,0.42,14.39,0.07342414,224,7.596,555.3,0.15210517,0.82,38.83,0.053248275,34.432,0.11763276,0.06260862,-2.8491697521553556,0.86,344.608,251,249,"7/1/24, 12:00 AM",KARIMGANJ,42,2024-12-31,5.1,10.177038,448,447,301,305,7.650174,2024-01-01,29.866117647058818,Adarkona Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5098105157903,24.754020884961744]}"
7_0,0.04,0.06503621,1.447,0.62,17,0.08380345,122.03,4.437,508,0.28547415,0.54,32.62,0.06090345,36.8,0.17528103,0.08936552,-3.432182934544733,1.01,285.61096,269,270,"6/14/24, 12:00 AM",KARIMGANJ,48,2024-12-31,5.19,10.177038,443,441,288,289,13.529171,2024-01-01,29.839939393939392,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.52517170714874,24.757793809155043]}"
8_0,0.03,0.081770174,0.699,0.45,11,0.103257895,268.92,4.146,512,0.23473509,0.56,32.87,0.1003579,39.24,0.20152983,0.13445088,4.422727735853232,0.72,132.24292,253,249,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,5.36,10.177038,441,443,306,308,1.379363,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51627838583596,24.754559874132216]}"
9_0,0.02,0.0671386,1.437,0.56,14.19,0.076740354,252.37,2.527,506,0.16254386,0.53,23.44,0.060510527,25.58,0.12233333,0.06544737,0.5196474331623974,0.96,180.0,263,262,"6/14/24, 12:00 AM",KARIMGANJ,41,2024-12-31,4.43,9.884542,448,448,289,290,1.8543341,2024-01-01,29.820352941176473,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51088849413125,24.743241101552307]}"
10_0,0.02,0.08779643,1.734,0.63,17.55,0.11358035,154.64,6.134,504,0.22018215,0.52,25.79,0.11331964,39.36,0.20999643,0.14955536,3.1735023115699637,1.61,320.44714,253,249,"6/14/24, 12:00 AM",KARIMGANJ,31,2024-12-31,4.62,10.177038,441,443,306,308,4.800388,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5165478804212,24.754020884961744]}"
11_0,0.05,0.05477627,1.559,0.19,12.98,0.07470339,177.19,2.651,568.9,0.26511866,0.1,21.18,0.05508644,24.624,0.17765424,0.09421525,-1.8234871604381178,0.66,312.2421,255,250,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,5.1,10.177038,443,446,302,304,2.7571726,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5173563641769,24.75806330374028]}"
12_0,0.05,0.08943103,1.693,0.2,15.73,0.11226896,197.89,1.83,568.1,0.26955172,0.99,33.01,0.10521724,29.808000000000003,0.22805,0.1568707,4.28194057089716,1.28,208.83723,255,250,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,4.6,10.177038,448,451,297,299,2.1166115,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51897333168833,24.75617684164363]}"
13_0,0.02,0.05681356,0.562,0.2,13.35,0.07035424,127.22,3.986,550,0.22178984,0.75,26.05,0.05151017,32.832,0.11881356,0.057805084,-2.8913921730380827,1.96,337.56165,255,250,"6/14/24, 12:00 AM",KARIMGANJ,38,2024-12-31,5.1,10.177038,443,446,302,304,7.975779,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51708686959168,24.756985325399338]}"
14_0,0.03,0.05681356,0.611,0.11,16.48,0.07035424,275.9,1.915,563.6,0.22178984,0.93,20.91,0.05151017,30.24,0.11881356,0.057805084,-2.8913921730380827,1.77,337.56165,255,250,"6/14/24, 12:00 AM",KARIMGANJ,38,2024-12-31,5,10.177038,443,446,302,304,7.975779,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51708686959168,24.756985325399338]}"
15_0,0.02,0.07093051,0.971,0.26,14.29,0.086054236,213.32,1.651,555.3,0.23257288,0.82,17.58,0.080310166,30.456,0.16974407,0.11523051,-2.7840420687707215,1.56,262.609,273,271,"6/14/24, 12:00 AM",KARIMGANJ,34,2024-12-31,4.7,10.177038,442,443,285,286,7.1722817,2024-01-01,29.859312499999998,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.52059029919974,24.766417635882593]}"
16_0,0.04,0.081770174,0.857,0.78,12.89,0.103257895,291.21,3.726,514,0.23473509,0.57,33.23,0.1003579,34.8,0.20152983,0.13445088,4.422727735853232,0.9,132.24292,253,249,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,4.62,10.177038,441,443,306,308,1.379363,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51627838583596,24.754559874132216]}"
17_0,0.06,0.081770174,0.545,0.44,15.46,0.103257895,275.02,7.265,561.3325,0.23473509,0.9,17.16,0.1003579,29.1,0.20152983,0.13445088,4.422727735853232,0.89,132.24292,253,249,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,5.74,10.177038,441,443,306,308,1.379363,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51627838583596,24.754559874132216]}"
18_0,0.04,0.081770174,1.939,0.61,12.45,0.103257895,131.28,6.444,560.577,0.23473509,0.89,30.45,0.1003579,38.58,0.20152983,0.13445088,4.422727735853232,1.86,132.24292,253,249,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,4.62,10.177038,441,443,306,308,1.379363,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51627838583596,24.754559874132216]}"
19_0,0.04,0.081770174,1.612,0.08,10.74,0.103257895,285.32,2.595,548,0.23473509,0.74,38.05,0.1003579,35.19,0.20152983,0.13445088,4.422727735853232,0.61,132.24292,253,249,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,4.87,10.177038,441,443,306,308,1.379363,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51627838583596,24.754559874132216]}"
20_0,0.02,0.0671386,1.958,0.13,10.45,0.076740354,148.44,5.285,551.511,0.16254386,0.77,35.54,0.060510527,28.92,0.12233333,0.06544737,0.5196474331623974,0.64,180.0,263,262,"6/14/24, 12:00 AM",KARIMGANJ,41,2024-12-31,4.57,9.884542,448,448,289,290,1.8543341,2024-01-01,29.820352941176473,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51088849413125,24.743241101552307]}"
21_0,0.02,0.10130862,0.808,0.46,11.44,0.109825864,157.36,2.466,542,0.13339482,0.71,17.93,0.09343965,37.33,0.09852759,0.059936207,-2.7149403863013846,1.95,65.57764,261,258,"6/14/24, 12:00 AM",KARIMGANJ,47,2024-12-31,5.01,9.884542,448,449,291,294,6.6990347,2024-01-01,29.832857142857147,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51088849413125,24.744858069063724]}"
22_0,0.02,0.081770174,1.587,0.31,8.5,0.103257895,253.26,6.797,514,0.23473509,0.57,23.51,0.1003579,25.47,0.20152983,0.13445088,4.422727735853232,1.48,132.24292,253,249,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,5.29,10.177038,441,443,306,308,1.379363,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51627838583596,24.754559874132216]}"
23_0,0.04,0.087905265,0.864,0.56,17.43,0.103535086,227.4,5.872,542,0.26443508,0.71,31.59,0.09322631,31.18,0.21299122,0.13861403,-1.5587573781751465,0.81,208.83711,264,260,"6/14/24, 12:00 AM",KARIMGANJ,35,2024-12-31,4.22,10.177038,447,449,290,291,2.1166093,2024-01-01,29.839939393939392,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.52085979378498,24.755637852473157]}"
24_0,0.02,0.0671386,1.853,0.74,9.24,0.076740354,263.74,3.572,522,0.16254386,0.61,35.04,0.060510527,33.55,0.12233333,0.06544737,0.5196474331623974,1.37,180.0,263,262,"6/14/24, 12:00 AM",KARIMGANJ,41,2024-12-31,5.37,9.884542,448,448,289,290,1.8543341,2024-01-01,29.820352941176473,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51088849413125,24.743241101552307]}"
25_0,0.03,0.059674136,0.967,0.38,14.95,0.07400345,130.54,3.221,542,0.25716034,0.71,20.16,0.05698793,31.08,0.16020344,0.08425862,-0.1382758067661813,1.51,121.19322,263,262,"6/14/24, 12:00 AM",KARIMGANJ,44,2024-12-31,5.4,9.884542,448,448,289,290,3.5769048,2024-01-01,29.820352941176473,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51061899954601,24.743510596137543]}"
26_0,0.02,0.08712586,1.877,0.63,8.16,0.113422416,137.89,5.504,524,0.1285793,0.62,30.46,0.10287414,35,0.078625865,0.049825862,-2.15588977107533,0.91,195.39012,247,245,"6/14/24, 12:00 AM",KARIMGANJ,35,2024-12-31,5.35,9.884542,469,467,284,288,3.8421772,2024-01-01,29.82227777777778,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.50792405369366,24.738120704432827]}"
27_0,0.03,0.081770174,0.586,0.02,14.75,0.103257895,228.27,7.597,506,0.23473509,0.53,31.05,0.1003579,25.62,0.20152983,0.13445088,4.422727735853232,0.93,132.24292,253,249,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,4.86,10.177038,441,443,306,308,1.379363,2024-01-01,29.866117647058818,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51627838583596,24.754559874132216]}"
28_0,0.06,0.1176431,0.662,0.64,19.71,0.15296897,126.77,4.311,562.088,0.23290172,0.91,18.68,0.17376897,32.81,0.25033447,0.21250172,-2.629756302764185,0.91,138.62328,260,257,"6/14/24, 12:00 AM",KARIMGANJ,38,2024-12-31,4.94,9.884542,451,453,289,290,6.156342,2024-01-01,29.832857142857147,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.51223596705742,24.74701402574561]}"
29_0,0.01,0.08382632,1.928,0.26,16.17,0.106801756,208.53,6.184,510,0.24500877,0.55,28.3,0.119398244,35.29,0.26091754,0.18953508,3.8890150298688093,1.14,245.57793,275,274,"6/14/24, 12:00 AM",KARIMGANJ,19,2024-12-31,4.17,9.937342,449,448,276,277,2.2421227,2024-01-01,29.860444444444447,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.49121538940904,24.746475036575138]}"
30_0,0.06,0.07598793,1.38,0.05,9.59,0.0933931,234.37,6.732,561.3325,0.2770638,0.9,28.04,0.07709483,25.83,0.20340344,0.12687586,-3.012129720657577,1.89,307.90015,266,264,"6/14/24, 12:00 AM",KARIMGANJ,30,2024-12-31,4.56,9.937342,444,443,291,293,8.98481,2024-01-01,29.863459459459456,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.48905943272715,24.738120704432827]}"
