system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.02,0.08593559,1.048,0.09,12.64,0.10560339,117.02,5.038,562.088,0.24885423,0.91,36.02,0.11536271,34.55,0.2691407,0.20059492,-1.1550787699066387,1.48,48.216927,287,302,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,5.04,5.1675205,357,340,356,358,1.3917028,2024-01-01,29.988266666666664,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78200004687852,26.674439299352457]}"
1_0,0.03,0.08593559,1.568,0.31,10.66,0.10560339,124.34,7.004,559.066,0.24885423,0.87,26.56,0.11536271,34.76,0.2691407,0.20059492,-1.1550787699066387,1.69,48.216927,287,302,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,4.23,5.1675205,357,340,356,358,1.3917028,2024-01-01,29.988266666666664,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78200004687852,26.674439299352457]}"
2_0,0.02,0.08593559,1.508,0.13,15.98,0.10560339,282.58,2.46,559.8215,0.24885423,0.88,30.55,0.11536271,34.17,0.2691407,0.20059492,-1.1550787699066387,1.89,48.216927,287,302,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,5.96,5.1675205,357,340,356,358,1.3917028,2024-01-01,29.988266666666664,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78200004687852,26.674439299352457]}"
3_0,0.02,0.08593559,1.178,0.19,19.16,0.10560339,120.52,2.169,544,0.24885423,0.72,19.56,0.11536271,39.98,0.2691407,0.20059492,-1.1550787699066387,0.98,48.216927,287,302,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,5.96,5.1675205,357,340,356,358,1.3917028,2024-01-01,29.988266666666664,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78200004687852,26.674439299352457]}"
4_0,0.04,0.08593559,1.151,0.49,13.76,0.10560339,279.07,4.399,502,0.24885423,0.51,39.26,0.11536271,31.37,0.2691407,0.20059492,-1.1550787699066387,0.57,48.216927,287,302,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,5.3,5.1675205,357,340,356,358,1.3917028,2024-01-01,29.988266666666664,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78200004687852,26.674439299352457]}"
5_0,0.06,0.08593559,1.707,0.41,10.21,0.10560339,117.23,3.033,560.577,0.24885423,0.89,33.23,0.11536271,25.22,0.2691407,0.20059492,-1.1550787699066387,1.74,48.216927,287,302,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,4.12,5.1675205,357,340,356,358,1.3917028,2024-01-01,29.988266666666664,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78200004687852,26.674439299352457]}"
6_0,0.03,0.08593559,0.524,0.52,17.72,0.10560339,253.3,3.048,520,0.24885423,0.6,16.63,0.11536271,29.84,0.2691407,0.20059492,-1.1550787699066387,1.38,48.216927,287,302,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,4.48,5.1675205,357,340,356,358,1.3917028,2024-01-01,29.988266666666664,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78200004687852,26.674439299352457]}"
7_0,0.03,0.07336546,1.106,0.4,9.69,0.086263634,239.37,6.006,538,0.22326182,0.69,23.58,0.08008182,34.94,0.20429818,0.14751819,-1.3095517007428161,0.69,286.58676,291,308,"5/25/24, 12:00 AM",SONITPUR,75,2024-12-31,4.52,5.1675205,349,332,360,360,3.245553,2024-01-01,29.97557142857143,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.76798632844626,26.67282233184104]}"
8_0,0.05,0.099138595,1.242,0.47,16.11,0.11630702,143.91,4.685,550,0.22772281,0.75,33.26,0.13169473,32.6,0.27312806,0.20980702,-1.2197796470196711,1.4,200.45872,282,296,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,5.89,5.1675205,360,343,358,361,2.9671397,2024-01-01,30.017000000000003,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.77903560644093,26.68333262066524]}"
9_0,0.02,0.099138595,0.876,0.52,15.39,0.11630702,121.04,4.272,500,0.22772281,0.5,25.94,0.13169473,26.99,0.27312806,0.20980702,-1.2197796470196711,1.75,200.45872,282,296,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,5.31,5.1675205,360,343,358,361,2.9671397,2024-01-01,30.017000000000003,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.77903560644093,26.68333262066524]}"
10_0,0.02,0.099138595,1.405,0.58,15.01,0.11630702,220.06,7.274,518,0.22772281,0.59,28.75,0.13169473,30.43,0.27312806,0.20980702,-1.2197796470196711,1.9,200.45872,282,296,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,5.8,5.1675205,360,343,358,361,2.9671397,2024-01-01,30.017000000000003,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.77903560644093,26.68333262066524]}"
11_0,0.02,0.099138595,1.464,0.42,16.2,0.11630702,226.49,3.143,528,0.22772281,0.64,36.5,0.13169473,37.21,0.27312806,0.20980702,-1.2197796470196711,0.61,200.45872,282,296,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,5.17,5.1675205,360,343,358,361,2.9671397,2024-01-01,30.017000000000003,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.77903560644093,26.68333262066524]}"
12_0,0.01,0.099138595,1.211,0.27,18.18,0.11630702,213.68,7.625,559.8215,0.22772281,0.88,36.59,0.13169473,33.39,0.27312806,0.20980702,-1.2197796470196711,0.5,200.45872,282,296,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,5.13,5.1675205,360,343,358,361,2.9671397,2024-01-01,30.017000000000003,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.77903560644093,26.68333262066524]}"
13_0,0.02,0.099138595,0.968,0.64,18.15,0.11630702,147.65,4.147,528,0.22772281,0.64,24.75,0.13169473,28.21,0.27312806,0.20980702,-1.2197796470196711,0.75,200.45872,282,296,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,4.48,5.1675205,360,343,358,361,2.9671397,2024-01-01,30.017000000000003,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.77903560644093,26.68333262066524]}"
14_0,0.04,0.099138595,1.233,0.02,18.95,0.11630702,155.83,3.506,500,0.22772281,0.5,22.58,0.13169473,39.18,0.27312806,0.20980702,-1.2197796470196711,0.9,200.45872,282,296,"5/25/24, 12:00 AM",SONITPUR,71,2024-12-31,4.27,5.1675205,360,343,358,361,2.9671397,2024-01-01,30.017000000000003,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.77903560644093,26.68333262066524]}"
15_0,0.02,0.0941375,1.212,0.66,8.71,0.1055625,219.47,2.87,526,0.2040125,0.63,17.45,0.104187496,25.85,0.22215179,0.17840357,-1.1550671980194787,1.97,228.21672,290,307,"5/25/24, 12:00 AM",SONITPUR,76,2024-12-31,5.27,5.1675205,347,329,363,364,1.3916972,2024-01-01,29.97557142857143,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.76798632844626,26.67363081559675]}"
16_0,0.02,0.0941375,1.256,0.04,14.02,0.1055625,264.08,6.824,540,0.2040125,0.7,15.6,0.104187496,27.03,0.22215179,0.17840357,-1.1550671980194787,1.89,228.21672,290,307,"5/25/24, 12:00 AM",SONITPUR,76,2024-12-31,4.69,5.1675205,347,329,363,364,1.3916972,2024-01-01,29.97557142857143,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.76798632844626,26.67363081559675]}"
17_0,0.06,0.0941375,0.966,0.67,16.2,0.1055625,127.41,2.606,560.577,0.2040125,0.89,27.15,0.104187496,33.7,0.22215179,0.17840357,-1.1550671980194787,0.74,228.21672,290,307,"5/25/24, 12:00 AM",SONITPUR,76,2024-12-31,4.96,5.1675205,347,329,363,364,1.3916972,2024-01-01,29.97557142857143,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.76798632844626,26.67363081559675]}"
18_0,0.04,0.107594736,1.21,0.77,18.04,0.12813684,258.02,1.595,518,0.24587017,0.59,35.44,0.14316316,30.24,0.30099472,0.23405789,0.7907026315552059,1.04,311.7808,280,293,"5/25/24, 12:00 AM",SONITPUR,69,2024-12-31,5.3,5.1675205,355,339,366,369,1.391765,2024-01-01,29.984666666666662,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78092206853758,26.683602115250476]}"
19_0,0.04,0.0758875,1.138,0.03,8.94,0.09620357,171.17,6.803,568.132,0.28387323,0.99,39,0.086516075,32.88,0.26383215,0.16754465,-0.7490366172498991,1.43,180.0,293,300,"5/25/24, 12:00 AM",SONITPUR,78,2024-12-31,5.23,5.1675205,350,343,357,357,0.92740995,2024-01-01,29.95493333333333,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.79574427072555,26.6687799130625]}"
20_0,0.05,0.0758875,0.815,0.08,16.32,0.09620357,179.6,7.594,562.088,0.28387323,0.91,27.65,0.086516075,32.93,0.26383215,0.16754465,-0.7490366172498991,1.09,180.0,293,300,"5/25/24, 12:00 AM",SONITPUR,78,2024-12-31,4.48,5.1675205,350,343,357,357,0.92740995,2024-01-01,29.95493333333333,Tengabasti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.79574427072555,26.6687799130625]}"
