system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.02,0.054876786,1.955,0.19,8.5,0.06852857,182.51,3.315,504,0.21213393,0.52,32.95,0.062873214,39.37,0.19039285,0.111842856,1.7889902754517508,1.33,228.22324,282,287,"3/17/24, 12:00 AM",UDALGURI,91,2024-12-31,4.01,5.120836,361,342,357,372,2.7821078,2024-01-01,30.022058823529413,Bhalukmari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.04816629128128,26.699771790364625]}"
1_0,0.04,0.07139107,1.035,0.42,13.36,0.08997857,273.84,1.765,504,0.26128036,0.52,22.79,0.08082857,39.23,0.23104107,0.15591429,-0.8617377834663843,0.98,90.0,279,286,"6/23/24, 12:00 AM",UDALGURI,89,2024-12-31,5.45,5.120836,362,344,359,370,1.0379114,2024-01-01,30.02490909090909,Nalkhamara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.04277639957657,26.681715653153823]}"
2_0,0.04,0.06486379,1.754,0.1,8.96,0.07959655,162.6,1.719,563.599,0.22988793,0.93,21.26,0.070755176,25.32,0.17879827,0.12048104,-2.433069117388318,0.59,303.83426,278,283,"6/23/24, 12:00 AM",UDALGURI,88,2024-12-31,4.47,5.120836,356,334,367,383,4.984712,2024-01-01,29.94412500000001,Niz Harisinga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.02660672446241,26.652610237948352]}"
3_0,0.05,0.072277196,1.707,0.09,9.28,0.09204912,250.6,7.572,555.2885,0.23386316,0.82,28.71,0.10671228,39.09,0.26632282,0.18934035,-1.3099478928827903,0.79,106.58353,261,271,"6/23/24, 12:00 AM",UDALGURI,91,2024-12-31,4.65,5.120836,376,355,363,374,3.2461693,2024-01-01,30.01012121212121,Sastrapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.0115150276892,26.69626836075656]}"
4_0,0.02,0.08066896,0.643,0.27,10.84,0.100141376,293.99,6.201,556.7995,0.2378138,0.84,23.6,0.10185862,38.63,0.20057069,0.14635862,-1.4425429584510905,1.26,-0.0,262,274,"6/23/24, 12:00 AM",UDALGURI,96,2024-12-31,5.39,5.210312,376,359,362,367,1.8543341,2024-01-01,30.018787878787887,Bicharchuburi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.00504715764355,26.710821068359298]}"
5_0,0.01,0.07463818,1.617,0.64,8.7,0.09763818,142.06,2.52,546,0.25494727,0.73,20.71,0.102623634,35.96,0.27610365,0.19109818,-0.9529163650341129,1.39,294.0709,276,280,"6/23/24, 12:00 AM",UDALGURI,89,2024-12-31,4.39,5.120836,366,349,358,372,2.2728133,2024-01-01,30.029575757575753,Sastrapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.02822369197384,26.693303920318964]}"
6_0,0.06,0.07137414,1.637,0.3,9.36,0.09646034,200.02,3.317,512,0.31001896,0.56,19.05,0.083443105,36.79,0.25061724,0.16193104,-2.1733579559512064,1.89,344.36545,264,276,"6/23/24, 12:00 AM",UDALGURI,92,2024-12-31,5.55,4.879545,370,354,366,370,3.8467155,2024-01-01,30.038352941176477,Baniapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.9956148471603,26.70677864958076]}"
7_0,0.04,0.04647586,1.96,0.55,13.88,0.061427586,241.66,6.684,568.132,0.24609655,0.99,24.39,0.044562068,32.37,0.13245173,0.0652069,-0.7494672710303025,1.29,-0.0,256,268,"6/23/24, 12:00 AM",UDALGURI,101,2024-12-31,4.12,4.879545,365,349,379,384,0.92740995,2024-01-01,29.998060606060612,Niz Harisinga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.99372838506363,26.718905905916372]}"
8_0,0.05,0.071705356,1.725,0.65,10.76,0.09366429,289.23,6.404,568.132,0.24386786,0.99,38.22,0.10307322,31.78,0.27683213,0.19011608,-1.1553576110971828,1.6,48.22206,276,280,"3/15/24, 12:00 AM",UDALGURI,92,2024-12-31,5.36,5.095641,364,347,360,373,1.3918422,2024-01-01,29.966187499999993,Barnagaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.0745767606344,26.69492088783038]}"
9_0,0.02,0.07713704,1.685,0.1,17.55,0.09831111,68.32,6.927,500,0.24949999,0.5,29.184,0.105288886,47.736,0.25395554,0.17002963,-1.578251032655494,1.03,29.225842,286,284,"3/17/24, 12:00 AM",UDALGURI,83,2024-12-31,4.8,4.7763,350,339,364,377,2.1245875,2024-01-01,29.958750000000006,Kathalbari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.86383199497996,26.658269624238304]}"
