system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.49,0.07190658,0.94,0.13,18.9,0.096601315,218,7.72,222,0.23971447,0.3,19,0.10388421,12,0.21931973,0.15577237,-1.5603547375259295,0.86,331.1311,309,334,"5/15/24, 12:00 AM",AURANGABAD,92,2024-12-31,7.11,2.6764884,270,259,421,407,2.117256,2024-01-01,30.41503448275862,Dihri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.38481826551447,24.918143087370378]}"
1_0,0.33,0.07093846,1.4,0.21,22.8,0.09526667,357,5.94,491,0.23522949,0.75,66,0.11157436,4,0.25372308,0.18479615,-1.8975678798945088,0.3,200.1992,315,333,"1/20/24, 12:00 AM",AURANGABAD,89,2024-12-31,7.16,2.567264,290,285,395,382,2.9621735,2024-01-01,30.35525,Paranpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.53843017909891,25.039954639896987]}"
2_0,0.73,0.09465,1.36,0.21,13.28,0.12197949,259,9.8,321,0.23333846,0.46,13,0.13934359,5,0.22941154,0.1789923,-1.1337615749737773,0.98,227.82161,311,334,"1/18/24, 12:00 AM",AURANGABAD,93,2024-12-31,7.16,2.5450115,272,262,417,404,1.3810761,2024-01-01,30.404903225806454,Gordiha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47563794073895,25.034025759021798]}"
3_0,0.74,0.06063333,0.68,0.13,15.24,0.08214359,125,3.68,348,0.24803974,0.51,23,0.07549615,18,0.18975,0.121160254,-0.8340844881599732,0.46,90.0,319,341,"1/18/24, 12:00 AM",AURANGABAD,93,2024-12-31,6.81,2.5450115,269,259,412,399,3.0680447,2024-01-01,30.404903225806454,Gordiha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47644642449465,25.03456474819227]}"
4_0,0.34,0.07970641,1.7,0.16,12.76,0.108510256,355,8.36,392,0.22252564,0.58,34,0.12318205,12,0.2175359,0.17397949,-1.1337615749737773,0.74,227.82161,311,334,"1/18/24, 12:00 AM",AURANGABAD,92,2024-12-31,6.89,2.5450115,272,262,417,404,1.3810761,2024-01-01,30.404903225806454,Gordiha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47509895156848,25.033756264436562]}"
5_0,1.06,0.072516665,1.32,0.23,9.96,0.09309231,223,5.42,401,0.2336718,0.6,52,0.09332179,5,0.19881667,0.13467179,-1.9327159920046597,1.54,270.0,319,341,"1/18/24, 12:00 AM",AURANGABAD,90,2024-12-31,7.26,2.5450115,269,259,412,399,3.0680656,2024-01-01,30.404903225806454,Gordiha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47725490825037,25.035373231947975]}"
6_0,0.36,0.085985065,1.34,0.16,26.4,0.11075844,271,34.1,222,0.25611234,0.3,20,0.11464805,16,0.21382013,0.1452065,2.30068859778904,0.46,227.81335,281,312,"2/2/24, 12:00 AM",AURANGABAD,86,2024-12-31,7.61,2.6825802,268,258,452,430,1.3808565,2024-01-01,30.43451428571429,Nimra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.727076388764,24.998452473770666]}"
7_0,0.56,0.08081513,1.04,0.26,29.8,0.10436974,285,9.54,222,0.27062434,0.3,19,0.108825,8,0.22302763,0.15269211,-1.1333876466632533,1.26,312.1853,285,314,"2/2/24, 12:00 AM",AURANGABAD,88,2024-12-31,6.72,2.6496022,273,263,442,422,1.3808925,2024-01-01,30.432799999999997,Nimra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71387115408744,25.00411186006062]}"
8_0,0.44,0.07055,0.66,0.16,15.68,0.09889,158,5.74,0.86,0.2694325,0.24,14,0.10470625,4,0.24023375,0.1637625,5.229875477590245,0.22,-0.0,374,395,"2/3/24, 12:00 AM",AURANGABAD,135,2024-12-31,6.51,2.968301,226,221,400,385,0.0,2024-01-01,30.367243243243248,Gamhariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.08621826507314,24.654307888424476]}"
9_0,0.42,0.088582054,1.36,0.14,13.9,0.11395128,185,10.2,347,0.24696666,0.51,18,0.12429359,13,0.24093589,0.18383974,-1.6150414717672792,0.84,245.56238,377,398,"2/3/24, 12:00 AM",AURANGABAD,135,2024-12-31,7.11,2.968301,226,223,397,379,2.2407856,2024-01-01,30.390054054054055,Gamhariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.0821758462946,24.6567333396916]}"
10_0,0.53,0.08937625,1.22,0.14,15.68,0.116655,224,8.3,330,0.2588425,0.48,58,0.12485625,14,0.2537125,0.188095,-0.13486588515814793,0.52,270.0,372,393,"2/3/24, 12:00 AM",AURANGABAD,133,2024-12-31,6.49,2.968301,222,218,406,388,1.0204182,2024-01-01,30.367243243243248,Gamhariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.08460129756172,24.65511637218018]}"
11_0,0.53,0.07843247,2.06,0.16,3.96,0.10436494,217,13.04,392,0.28812337,0.58,33,0.116524674,18,0.25037274,0.17782338,-0.7354400385406699,0.66,180.0,311,334,"1/18/24, 12:00 AM",AURANGABAD,93,2024-12-31,7.31,2.5450115,272,262,417,404,0.92740995,2024-01-01,30.404903225806454,Gordiha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47563794073895,25.034834242777507]}"
12_0,0.62,0.06930257,1.28,0.26,21.8,0.09421667,226,10.1,456,0.25354743,0.69,53,0.10615513,5,0.24163206,0.17393847,-0.042303061072057294,0.46,180.0,324,342,"1/20/24, 12:00 AM",AURANGABAD,83,2024-12-31,6.51,2.567264,295,284,381,374,0.92740995,2024-01-01,30.3480625,Paranpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52872837403042,25.036990199459392]}"
