system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.2,0.11878919,2.04,0.233,29.68,0.1423892,195.12,14.8,267,0.25546485,0.51,30.52,0.15767027,11.37,0.2672811,0.21852973,0.9937781342361058,2.72,36.352825,266,270,"1/12/24, 12:00 AM",LAKHISARAI,67,2024-12-31,8.11,2.738772,280,284,455,446,3.45067,2024-01-01,30.308999999999997,Sangrampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.18477260030475,25.067982076761517]}"
1_0,0.13,0.10694934,3.48,0.135,17.84,0.140228,168.02,9.52,262,0.27254266,0.495,14.77,0.15190667,2.87,0.27130532,0.20547199,-1.620735554542566,0.8,114.369896,268,282,"2/3/24, 12:00 AM",LAKHISARAI,59,2024-12-31,7.86,2.7392242,272,271,460,447,2.2466247,2024-01-01,30.282,Barui,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.09179696839838,25.045344531601703]}"
2_0,0.48,0.10169595,3.54,0.209,15.42,0.12617162,245.255,11.76,306,0.31585947,0.63,47.68,0.11660946,11.54,0.24850406,0.16251081,-1.621990538811523,0.44,114.35504,266,290,"2/3/24, 12:00 AM",LAKHISARAI,51,2024-12-31,7.85,2.776346,287,279,447,431,2.24791,2024-01-01,30.415354838709685,Aure,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.03304714881696,25.129696336780526]}"
3_0,0.61,0.09721282,2.38,0.242,38.04,0.118864104,418.695,14.66,272,0.27854103,0.525,58.79,0.11944872,12.7,0.24047948,0.16168718,0.2523206651140251,1.04,312.17444,256,276,"1/25/24, 12:00 AM",LAKHISARAI,47,2024-12-31,8.41,2.90139,296,294,448,430,1.3811808,2024-01-01,30.268529411764717,Lahuara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.99208397186112,25.05073442330642]}"
4_0,0.13,0.10169166,0.98,0.191,18.9,0.12554306,476.96,14.2,344,0.28594443,0.75,58.7,0.13421111,2.87,0.25231388,0.17633194,-1.2853960549444436,1.62,253.21307,277,298,"1/25/24, 12:00 AM",LAKHISARAI,43,2024-12-31,8.06,2.8031726,266,266,456,436,3.2080286,2024-01-01,30.386628571428577,Dariapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.04059299720358,25.17577991085586]}"
5_0,0.13,0.07479737,2.92,0.145,18.14,0.0937421,234.415,10.32,286,0.26543027,0.57,56.9,0.08470921,11.08,0.20405,0.124352634,-1.977444745716556,0.8,286.7961,270,289,"2/3/24, 12:00 AM",LAKHISARAI,51,2024-12-31,7.91,2.776346,265,259,466,452,3.2063267,2024-01-01,30.28872727272727,Aure,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.04059299720358,25.104902834938827]}"
6_0,0.13,0.08666575,2.74,0.155,19.68,0.1118411,382.11,11.36,301,0.28079727,0.615,44.18,0.11143973,13.79,0.23104657,0.15913972,-0.8355905544930907,1.46,90.0,266,282,"2/6/24, 12:00 AM",LAKHISARAI,51,2024-12-31,8.62,2.7742503,280,277,454,441,2.047995,2024-01-01,30.296500000000005,Mahsauna,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.10257675180782,25.127001390928168]}"
7_0,0.19,0.10135303,1.56,0.224,22.74,0.11886818,157.18,28.54,291,0.27062577,0.585,22.73,0.113466665,13.29,0.21784393,0.15214092,-1.4305689518943687,1.4,-0.0,300,314,"2/9/24, 12:00 AM",LAKHISARAI,45,2024-12-31,8.6,2.899142,298,295,402,391,1.8543341,2024-01-01,30.270888888888894,Khawa Rajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.3114350553656,25.28115229368308]}"
8_0,0.35,0.08946184,1.66,0.133,17.54,0.11342105,136.855,11.9,262,0.28835,0.495,19.63,0.1116171,5.91,0.24127105,0.1689079,-0.835301857607456,0.68,270.0,271,293,"2/5/24, 12:00 AM",LAKHISARAI,51,2024-12-31,8.75,2.776346,269,261,460,446,1.0241735,2024-01-01,30.325000000000003,Aure,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.03682007301026,25.108945253717366]}"
9_0,0.06,0.094993055,2.72,0.218,17.84,0.113309726,443.085,11.94,392,0.24900694,0.9,53.54,0.108190276,11.37,0.19992222,0.1317125,-1.8987843961565576,0.98,339.78033,267,289,"1/25/24, 12:00 AM",LAKHISARAI,46,2024-12-31,7.66,2.8031726,273,272,460,439,2.962562,2024-01-01,30.39174193548387,Dariapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.04140148095928,25.174701932514914]}"
