system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.42,0.08837666,1.7,0.53,28.73,0.11322667,587,20.18,340,0.32738334,0.825,51,0.10109334,15.62,0.25748,0.16381666,-0.8485618602965428,1.64,90.0,276,280,"2/1/24, 12:00 AM",MADHEPURA,47,2024-12-31,7,3.409727,324,323,400,396,1.0310428,2024-01-01,30.152812500000007,Belo,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.77712169865316,25.911769623134983]}"
1_0,0.93,0.09289,0.71,0.09,6.65,0.11445333,136.86,6.72,306,0.31425667,0.69,71,0.10610333,19.02,0.21456,0.14664,-1.5672168340758923,0.18,29.005718,253,272,"1/30/24, 12:00 AM",MADHEPURA,38,2024-12-31,7.9,3.542528,325,320,422,408,2.1200504,2024-01-01,30.1529375,Raota,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.96981032709681,25.602659333869454]}"
2_0,0.92,0.07497667,0.71,0.31,6.65,0.10153333,318.19,9.59,281,0.27297667,0.594,72,0.10298333,10.82,0.22788332,0.17054667,5.085512605274357,0.1,-0.0,273,278,"2/2/24, 12:00 AM",MADHEPURA,46,2024-12-31,6.9,3.4321306,316,315,411,407,0.0,2024-01-01,30.13830303030303,Bairbana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.7555621318343,25.987228107001023]}"
3_0,0.6,0.08747,3.98,0.21,10.03,0.11586333,178.75,8.3,306,0.29609,0.69,107,0.11900333,15.08,0.26480332,0.19460666,-0.04945154516299693,1.01,180.0,291,301,"2/12/24, 12:00 AM",MADHEPURA,45,2024-12-31,6.8,3.413632,339,336,370,363,0.92740995,2024-01-01,30.147647058823537,Bhawantikthi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.73238559750402,25.910422150208802]}"
4_0,0.31,0.07779298,2.47,0.11,21.86,0.09593859,224.56,6.16,225,0.2570158,0.375,91,0.08997719,23,0.21367544,0.14414737,-2.1630251969768883,0.27,344.51035,259,258,"1/30/24, 12:00 AM",MADHEPURA,38,2024-12-31,7.4,3.2203243,313,318,429,424,3.8440156,2024-01-01,30.100516129032258,Kanwanrahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.00673108527411,25.564121608180727]}"
5_0,0.13,0.09396774,0.45,0.18,10.47,0.12033871,215.37,4.25,340,0.2879226,0.825,47,0.11731935,9.13,0.25914192,0.1913516,-1.1411467643267625,0.22,47.95887,242,249,"2/1/24, 12:00 AM",MADHEPURA,40,2024-12-31,7.5,3.542528,310,309,448,441,1.38474,2024-01-01,30.1978064516129,Raota,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.9601085220283,25.616942546886953]}"
6_0,0.46,0.10232857,1.97,0.33,25.15,0.12738572,161.72,6.12,212,0.29454285,0.325,94,0.1225875,22.18,0.25961787,0.19608214,-0.2301329996033366,1.44,311.94342,268,269,"1/27/24, 12:00 AM",MADHEPURA,54,2024-12-31,7.6,3.9385064,350,348,382,382,2.7731044,2024-01-01,30.055999999999997,Sahoriabala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.0840760312368,26.02307088683739]}"
7_0,0.43,0.104187496,2.46,0.31,13.21,0.12567678,181.77,5.83,263,0.26830536,0.525,45,0.120992854,17.81,0.22501607,0.1659125,-1.4325623118759454,0.92,-0.0,265,273,"1/19/24, 12:00 AM",MADHEPURA,37,2024-12-31,7,3.1111476,293,293,442,434,1.8543341,2024-01-01,30.140967741935484,Ghosai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.02155328746208,25.525314387906764]}"
8_0,0.4,0.058719356,1.13,0.18,1.38,0.07961613,125.77,9.87,263,0.2501774,0.525,77,0.07156452,11.5,0.19264516,0.123967744,-1.992370068110547,0.79,106.67211,253,255,"1/22/24, 12:00 AM",MADHEPURA,54,2024-12-31,7.9,3.3137112,319,319,428,426,3.2294428,2024-01-01,30.097636363636358,Giddha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.82536122941039,26.04463045365626]}"
9_0,0.63,0.090173334,2.71,0.33,13.72,0.12072667,509,9.92,321,0.27089334,0.75,68,0.13205001,28.92,0.29659334,0.23218,-0.45340809050809294,0.14,228.05907,278,276,"1/23/24, 12:00 AM",MADHEPURA,52,2024-12-31,7.1,3.645105,346,351,376,373,1.387432,2024-01-01,30.0983125,Maura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.90674859415161,26.033311681076352]}"
