system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.3,0.114627026,0.69,0.265,16.6,0.13224325,234,3.29,392,0.2849946,0.585,26,0.13357568,15,0.25587568,0.18546216,-1.5619581343626363,0.96,331.0991,245,249,"1/24/24, 12:00 AM",NALANDA,69,2024-12-31,6.78,2.799002,269,267,486,484,2.1179078,2024-01-01,30.332764705882347,Tarokhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.5627790975804,25.080378827682363]}"
1_0,0.3,0.10226111,0.93,0.767,10.2,0.12110555,567,5.21,418,0.2953139,0.629,32,0.12794167,13,0.25613335,0.18848056,-1.5295028357297358,1.12,270.0,286,296,"2/7/24, 12:00 AM",NALANDA,67,2024-12-31,7.46,2.600349,283,281,431,422,2.0487826,2024-01-01,30.311647058823528,Mozafra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.20003938585293,25.173893448759205]}"
2_0,0.19,0.103675,0.88,0.265,10.21,0.1308044,220,5.68,365,0.25499704,0.54,36,0.14409558,38,0.27430293,0.21143235,1.9827389711053307,1.01,164.54657,247,257,"2/20/24, 12:00 AM",NALANDA,46,2024-12-31,6.8,2.6409097,298,295,456,449,3.8433447,2024-01-01,30.437937500000004,Mirnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.7808002170362,25.267408069836048]}"
3_0,0.41,0.10682121,0.69,0.297,10.21,0.1289909,214,3.12,385,0.22689697,0.573,29,0.13857272,32,0.2522212,0.20254242,-2.258046719663589,0.99,151.04053,284,293,"3/20/24, 12:00 AM",NALANDA,51,2024-12-31,7.32,2.6018238,314,318,402,389,4.232425,2024-01-01,30.398466666666664,Gokhulpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.54041104700582,25.373858431004212]}"
4_0,0.33,0.06383235,1.18,0.365,16.3,0.08634118,253,3.2,462,0.29378822,0.702,51,0.078926474,6,0.21247648,0.1394294,-0.839254953398351,0.68,270.0,239,256,"1/16/24, 12:00 AM",NALANDA,57,2024-12-31,7.03,2.3884513,277,269,484,475,1.0262177,2024-01-01,30.268285714285717,Lohra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.29894389863449,25.351490380429635]}"
5_0,0.48,0.15737568,0.63,0.173,4.1,0.19496487,247,4.29,392,0.33835948,0.585,31,0.2335,25,0.41872162,0.3820811,-1.1571973791347803,0.73,331.08514,310,317,"1/10/24, 12:00 AM",NALANDA,67,2024-12-31,6.87,2.6526473,269,263,421,420,4.23061,2024-01-01,30.309588235294118,Dhekwaha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.28034877225322,25.150447419843687]}"
6_0,0.84,0.09458919,0.67,0.126,12.36,0.11901081,154,5.66,409,0.25522703,0.614,26,0.12916216,25,0.24732162,0.17936757,-1.5627799454846627,0.71,151.08273,284,297,"1/16/24, 12:00 AM",NALANDA,56,2024-12-31,6.99,2.7605364,269,268,447,435,2.1182415,2024-01-01,30.372606060606067,Paroha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.61263559584903,25.162844170764536]}"
7_0,0.27,0.10949412,1.11,0.963,4.93,0.131175,161,3.72,436,0.2640397,0.66,26,0.14148529,13,0.2742941,0.19510736,1.0540850314357468,0.69,180.0,265,275,"3/4/24, 12:00 AM",NALANDA,43,2024-12-31,6.73,2.5200558,281,278,455,447,0.92740995,2024-01-01,30.466482758620685,Jahana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.71073162487488,25.310796698059022]}"
8_0,0.74,0.096175365,0.56,0.794,10.75,0.120113045,237,3.69,311,0.26304638,0.45,26,0.1316116,9,0.24782608,0.17008986,3.206869088455006,0.86,132.11887,247,262,"3/5/24, 12:00 AM",NALANDA,45,2024-12-31,7.32,2.6084635,285,280,467,458,1.3826617,2024-01-01,30.411575757575758,Mirnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.74926935056361,25.28869814206968]}"
11_0,0.91,0.13520572,1.21,0.378,16.94,0.14954,341,8.71,383,0.2477,0.57,49,0.15864286,22,0.27070287,0.21539715,-0.7367087807470671,0.71,-0.0,268,284,"4/2/24, 12:00 AM",NALANDA,60,2024-12-31,6.36,2.7008069,282,282,450,434,0.92740995,2024-01-01,30.333882352941178,Maijra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.49621393502714,25.19248857514048]}"
12_0,0.41,0.09104179,0.96,0.063,15.5,0.11503433,264,5.48,347,0.26749402,0.51,36,0.11978657,10,0.24958359,0.17548805,2.610228623391923,0.6,245.66772,251,259,"3/4/24, 12:00 AM",NALANDA,43,2024-12-31,7.4,2.7334175,300,297,449,443,2.2498837,2024-01-01,30.448666666666664,Mirnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.80774967555979,25.258514748523265]}"
