system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.381,0.12920833,0.63,0.275,8.22,0.14480555,176,6.08,212,0.24468333,0.64,25.92,0.15001945,14.93,0.26078334,0.20696944,-0.8664616923329129,0.41,90.0,264,260,"2/21/24, 12:00 AM",PASHCHIM CHAMPARAN,80,2024-12-31,7.9,3.6041749,325,327,411,413,2.080092,2024-01-01,30.226352941176476,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52226050398475,26.95201872214539]}"
1_0,0.731,0.08360556,0.67,0.282,7.28,0.107925,186,5.21,200,0.2597,0.6,31.21,0.10853611,22.08,0.21865277,0.154725,-0.8661993779655861,0.55,270.0,264,268,"2/23/24, 12:00 AM",PASHCHIM CHAMPARAN,79,2024-12-31,7.6,3.304711,315,308,422,424,1.0402503,2024-01-01,30.195250000000005,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.527111406519,26.93692702537218]}"
2_0,0.781,0.11866111,0.29,0.725,9.17,0.14128056,158,5.21,186,0.26583335,0.52,24.5,0.14666945,15.36,0.2625028,0.21904445,-1.6499477244281213,0.23,245.97469,266,270,"2/24/24, 12:00 AM",PASHCHIM CHAMPARAN,78,2024-12-31,8.2,3.304711,312,305,423,425,2.2768629,2024-01-01,30.195250000000005,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52306898774046,26.935579552446]}"
3_0,0.73,0.09697222,0.59,0.316,9.17,0.122175,169,6.68,226,0.2874861,0.75,22.16,0.115711115,15.36,0.23833333,0.17235278,-0.75135034066706,0.32,180.0,266,270,"2/24/24, 12:00 AM",PASHCHIM CHAMPARAN,79,2024-12-31,7.8,3.304711,312,305,423,425,0.92740995,2024-01-01,30.195250000000005,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.5233384823257,26.935579552446]}"
4_0,0.73,0.08177222,0.76,0.218,9.45,0.10480556,197,2.79,140,0.2631,0.25,21.29,0.09792222,15.27,0.21396667,0.1413861,-1.6499360747424223,0.42,65.97458,266,270,"2/22/24, 12:00 AM",PASHCHIM CHAMPARAN,80,2024-12-31,8.1,3.304711,312,305,423,425,2.2768536,2024-01-01,30.195250000000005,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52441646066664,26.93504056327553]}"
5_0,0.631,0.1066,0.37,0.584,6.11,0.13218333,149,2.03,171,0.28138056,0.43,44.31,0.12956944,15.26,0.24390833,0.17348056,-0.7513465205224663,0.23,-0.0,265,277,"2/20/24, 12:00 AM",PASHCHIM CHAMPARAN,79,2024-12-31,7.6,3.304711,313,303,423,421,1.8543341,2024-01-01,30.246466666666667,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.53465725490561,26.934771068690292]}"
6_0,0.61,0.12324722,0.31,0.836,6.11,0.15276389,193,5.01,200,0.24064167,0.6,20.93,0.17148334,17.26,0.2445,0.20995277,-1.9647365441700642,0.48,90.0,265,276,"2/20/24, 12:00 AM",PASHCHIM CHAMPARAN,81,2024-12-31,8,3.304711,307,299,427,425,3.1178896,2024-01-01,30.236800000000002,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.53600472783178,26.932615112008406]}"
7_0,0.633,0.10858648,0.37,0.504,9.17,0.13457297,241,3.39,164,0.24795134,0.39,25.51,0.14581351,14.81,0.24444865,0.20268378,-2.8776392564345747,0.33,126.610664,265,276,"2/20/24, 12:00 AM",PASHCHIM CHAMPARAN,78,2024-12-31,7.5,3.304711,307,299,427,425,7.7288585,2024-01-01,30.236800000000002,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.53600472783178,26.931806628252698]}"
8_0,0.986,0.08566389,0.29,0.42,8.22,0.11101945,118,6.68,160,0.24758056,0.37,33.36,0.10466111,16.14,0.24429445,0.16304444,-0.058192732510082675,0.29,180.0,265,277,"2/20/24, 12:00 AM",PASHCHIM CHAMPARAN,79,2024-12-31,7.4,3.304711,313,303,423,421,0.92740995,2024-01-01,30.246466666666667,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.53465725490561,26.934501574105056]}"
9_0,0.42,0.10903243,0.37,0.259,9.17,0.13422973,201,5.21,145,0.2558108,0.28,21.94,0.14046757,17.25,0.24543785,0.1953919,5.270778864979333,0.41,200.49957,263,268,"2/21/24, 12:00 AM",PASHCHIM CHAMPARAN,77,2024-12-31,8,3.304711,305,298,432,434,2.9679284,2024-01-01,30.236800000000002,Bankat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.53546573866132,26.929920166156048]}"
