system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.4,0.13678437,0.64,0.74,9.7,0.1545125,178.86,4.12,200,0.32292813,0.6,24.7,0.141775,15.13,0.2515125,0.18335624,-0.7416607544103277,0.4,-0.0,300,299,"2/15/24, 12:00 AM",SAMASTIPUR,48,2024-12-31,7.64,2.5461097,315,318,385,383,0.92740995,2024-01-01,30.17351515151515,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.80667169721885,25.797773413580213]}"
1_0,0.46,0.11772188,1.16,0.74,7.46,0.1412625,184.28,5.34,207,0.346675,0.64,20.07,0.12935938,16.99,0.24404062,0.17495938,-1.1434994909618224,1.4,311.99744,304,303,"2/15/24, 12:00 AM",SAMASTIPUR,48,2024-12-31,7.31,2.5461097,310,313,386,384,1.3859121,2024-01-01,30.17351515151515,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.80721068638933,25.79939038109163]}"
2_0,0.48,0.10855,0.68,0.85,8.14,0.13137813,224.93,5.12,228,0.3396625,0.76,31.02,0.117384374,14.03,0.23781562,0.16253437,2.4774628710488926,1.3,339.68338,304,303,"2/15/24, 12:00 AM",SAMASTIPUR,46,2024-12-31,7.28,2.4776995,310,313,386,384,2.9644108,2024-01-01,30.15193939393939,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.80694119180409,25.800468359432575]}"
3_0,0.5,0.112503126,1.3,0.58,5.62,0.13613126,304.87,3.68,202,0.33879063,0.61,35.41,0.12164687,13.53,0.24406874,0.17074688,5.390910441950226,1.32,311.9977,305,304,"4/4/24, 12:00 AM",SAMASTIPUR,47,2024-12-31,7.42,2.5461097,307,310,389,386,2.7701898,2024-01-01,30.17351515151515,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.80748018097455,25.798312402750685]}"
4_0,0.53,0.09298387,1.65,0.37,8.62,0.11658064,234.41,3.64,231,0.3193742,0.78,35.87,0.103929035,12.38,0.23611936,0.15967096,2.042610293305467,0.82,-0.0,305,304,"4/4/24, 12:00 AM",SAMASTIPUR,48,2024-12-31,7.27,2.5461097,307,310,389,386,0.0,2024-01-01,30.17351515151515,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.8085581593155,25.7961564460688]}"
5_0,0.39,0.1195375,0.76,0.38,11.42,0.13661562,318.42,4.18,223,0.30464375,0.73,34.29,0.122278124,12.88,0.2380875,0.16645312,2.042595316103425,0.9,-0.0,305,304,"2/15/24, 12:00 AM",SAMASTIPUR,48,2024-12-31,7.39,2.5461097,307,310,389,386,0.0,2024-01-01,30.17351515151515,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.80694119180409,25.797773413580213]}"
6_0,0.48,0.11669687,1.2,0.89,7.18,0.1412375,275.06,5,221,0.33125624,0.72,22.67,0.12525937,13.24,0.23725937,0.16571562,0.3569335774241573,1.46,-0.0,304,303,"2/15/24, 12:00 AM",SAMASTIPUR,47,2024-12-31,7.35,2.5461097,310,313,386,384,0.92740995,2024-01-01,30.17351515151515,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.80667169721885,25.79939038109163]}"
7_0,0.52,0.09215161,1.56,0.67,8.34,0.11316774,159.89,3.54,190,0.3125097,0.54,43.54,0.10182903,16.67,0.23516774,0.16029355,0.46233923358552986,1.16,-0.0,305,304,"4/4/24, 12:00 AM",SAMASTIPUR,47,2024-12-31,7.49,2.5461097,307,311,388,385,2.7802885,2024-01-01,30.17351515151515,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.8093666430712,25.7961564460688]}"
8_0,0.56,0.098570965,1.42,0.42,6.38,0.12258065,245.25,3.38,221,0.3249258,0.72,43.54,0.12043226,16.7,0.26455808,0.18355484,-1.2113346141683998,0.76,339.68408,305,304,"4/4/24, 12:00 AM",SAMASTIPUR,47,2024-12-31,7.34,2.5461097,307,311,388,385,2.9643972,2024-01-01,30.15266666666666,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.80963613765644,25.7961564460688]}"
9_0,0.57,0.09298387,1.52,0.67,9.82,0.11658064,218.15,3.58,195,0.3193742,0.57,35.75,0.103929035,16.56,0.23611936,0.15967096,2.042610293305467,0.9,-0.0,305,304,"4/4/24, 12:00 AM",SAMASTIPUR,48,2024-12-31,7.48,2.5461097,307,310,389,386,0.0,2024-01-01,30.17351515151515,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.8085581593155,25.7961564460688]}"
10_0,0.62,0.16200313,1.06,0.53,5.42,0.17927188,238.48,3.24,216,0.35738438,0.69,38.69,0.1635375,17.17,0.26489687,0.19613437,-1.4347929184023784,0.7,-0.0,305,304,"4/4/24, 12:00 AM",SAMASTIPUR,48,2024-12-31,7.46,2.5461097,307,310,389,386,1.8543341,2024-01-01,30.17351515151515,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.80613270804838,25.7961564460688]}"
11_0,0.45,0.104251616,1.42,0.48,7.18,0.1268129,172.08,2.18,244,0.30100968,0.85,39.81,0.11794194,18.52,0.22150645,0.15201935,-0.15346941131741398,0.78,270.0,305,304,"2/15/24, 12:00 AM",SAMASTIPUR,49,2024-12-31,7.61,2.5461097,307,311,388,385,1.0300359,2024-01-01,30.15266666666666,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.81017512682692,25.7961564460688]}"
12_0,0.56,0.10354687,1.66,0.31,14.82,0.12675625,169.37,4.58,212,0.30341876,0.67,24.25,0.12275937,19.7,0.26338437,0.2047625,-1.1434982002318947,0.74,48.0025,309,313,"4/4/24, 12:00 AM",SAMASTIPUR,52,2024-12-31,7.25,2.5461097,299,298,392,389,1.3859103,2024-01-01,30.180374999999998,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.822841372333,25.799120886506394]}"
13_0,0.46,0.115284845,0.58,0.24,7,0.1431697,228.99,6.56,244,0.26690605,0.85,37.78,0.14299697,15.95,0.24806666,0.19854242,-0.2950584003295083,1.36,159.68413,311,313,"4/4/24, 12:00 AM",SAMASTIPUR,48,2024-12-31,7.16,2.5461097,300,301,389,387,2.9643965,2024-01-01,30.180374999999998,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.82499732901489,25.795886951483563]}"
14_0,0.61,0.14429678,2.4,0.83,12.2,0.16368064,154.47,5,195,0.2808742,0.57,28.87,0.16706452,14.06,0.28313872,0.23910645,-0.8467437302545454,0.72,270.0,296,299,"3/5/24, 12:00 AM",SAMASTIPUR,50,2024-12-31,7.61,2.4776995,309,309,395,392,1.0300986,2024-01-01,30.16425,Gaupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.81556501853163,25.80343279987017]}"
