system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.64,0.11143125,1.57,0.28,21.96,0.12905625,145.46,16.95,352,0.25029376,0.87,10.91,0.12275313,24.8,0.22710624,0.15825938,-1.4428383621920224,1.6,180.0,277,260,"3/2/24, 12:00 AM",SITAMARHI,72,2024-12-31,7.21,3.5070472,286,291,437,448,1.8543341,2024-01-01,30.126,Bhutahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.54687891705149,26.745316375269486]}"
1_0,0.7,0.0886647,4.2,0.78,15.46,0.10702059,153.88,16.48,237,0.3251412,0.42,34.48,0.09270588,28.44,0.2381353,0.14125589,1.3361769607403888,2.4,90.0,279,264,"4/2/24, 12:00 AM",SITAMARHI,71,2024-12-31,7.96,3.1312954,296,299,426,437,1.0375452,2024-01-01,30.15691428571429,Kamal Dah,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.53744660656822,26.641291465368447]}"
2_0,0.87,0.07467941,2.51,0.57,17.51,0.09220588,300.26,14.07,278,0.27537942,0.58,58.26,0.07720294,25.23,0.20279706,0.12189412,-2.135088416528855,2.6,-0.0,285,274,"4/2/24, 12:00 AM",SITAMARHI,69,2024-12-31,8.49,3.1312954,288,290,428,436,3.7047918,2024-01-01,30.15077777777778,Kamal Dah,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.54121953076152,26.64102197078321]}"
3_0,0.61,0.09009428,2.9,0.35,21.46,0.107115716,349.12,4.96,242,0.24230714,0.44,48.72,0.09888,15.12,0.22545858,0.15873,-0.7497608693741135,2.1,180.0,273,267,"3/2/24, 12:00 AM",SITAMARHI,76,2024-12-31,7,3.2979457,289,293,438,440,0.92740995,2024-01-01,30.189749999999997,Pachtaki Jadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.27334191303709,26.75286222365609]}"
4_0,0.49,0.09493333,3.2,0.72,8.96,0.12008551,166.16,4.96,313,0.26441738,0.72,27.02,0.12875073,17.02,0.2649826,0.19825508,-0.8626384517883035,0.88,90.0,276,261,"2/28/24, 12:00 AM",SITAMARHI,75,2024-12-31,7.14,3.564979,273,278,450,461,2.0760777,2024-01-01,30.2056875,Pachtaki Jadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.27226393469614,26.732919624348636]}"
5_0,0.93,0.077479415,1.3,0.16,7.31,0.096044116,330.34,16.68,275,0.33932352,0.57,48.74,0.07703235,20.43,0.23183824,0.12811765,-0.7485779926885251,1.6,180.0,287,276,"2/22/24, 12:00 AM",SITAMARHI,72,2024-12-31,7.24,3.189137,278,279,435,445,0.92740995,2024-01-01,30.115500000000004,Bathanaha Jujharpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.58595563191068,26.61568947977104]}"
6_0,0.55,0.09239394,0.9,0.55,24.25,0.109615155,155.4,13.61,360,0.2900697,0.9,10.9,0.097333334,12.65,0.22882424,0.15539394,-1.151690059029223,0.66,48.15424,295,283,"3/11/24, 12:00 AM",SITAMARHI,60,2024-12-31,6.7,2.9034054,274,280,431,437,1.3900023,2024-01-01,30.175757575757583,Mahamadpur Dalel urf Durpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.70156880897686,26.421922872986457]}"
7_0,0.63,0.11732143,2.85,0.22,6.86,0.13981904,136.21,15.29,349,0.31343335,0.86,10.62,0.1304881,10.71,0.25574285,0.18660714,-0.053476414270658676,0.81,180.0,235,251,"3/15/24, 12:00 AM",SITAMARHI,62,2024-12-31,7.19,2.6083682,305,302,460,447,0.92740995,2024-01-01,30.099625,Pota urf Tajpur Phaksia Bharthi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.43369119125242,26.387697060661505]}"
8_0,1.14,0.118991174,1.19,0.1,13.6,0.14117353,273.4,8.91,293,0.29509705,0.64,43.99,0.13367353,17.2,0.26563823,0.19415589,-2.3385150228361957,0.81,294.07904,276,266,"4/2/24, 12:00 AM",SITAMARHI,69,2024-12-31,6.35,3.1312954,291,294,432,440,4.537056,2024-01-01,30.160342857142858,Kamal Dah,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.54310599285817,26.649645797510757]}"
9_0,0.62,0.103790626,2.51,0.58,11.42,0.12037188,219.31,13.2,254,0.25410625,0.49,55.88,0.11912812,20.43,0.24211563,0.18549688,-0.861402265234764,0.97,270.0,285,280,"4/7/24, 12:00 AM",SITAMARHI,70,2024-12-31,7.37,3.226625,287,288,428,433,1.037737,2024-01-01,30.222499999999997,Barahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.72070292452861,26.66258153760208]}"
