system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.9,0.1054625,0.54,0.16,6.75,0.12530938,361.53,1.5,163.02,0.24239063,0.6,8.16,0.14572813,12.7,0.32644063,0.24115625,1.2824847202975411,1.11,287.49295,306,304,"7/8/24, 12:00 AM",DANTEWADA,333,2024-12-31,6.46,3.7042356,348,348,346,348,3.0826075,2024-01-01,30.290057142857144,Bangapal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.2201433510898,19.004892898125217]}"
1_0,0.3,0.085909374,0.5,0.64,4.87,0.108453125,125.069,5.33,213.24,0.2646125,0.58,11.64,0.124746874,18.1,0.3172719,0.22990313,-1.5100180941847188,2,27.871298,239,268,"6/18/24, 12:00 AM",DANTEWADA,412,2024-12-31,6.44,3.767318,401,383,360,349,2.0974586,2024-01-01,30.43682352941176,Madase,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.46134100487589,19.006779360221866]}"
2_0,0.5,0.076665625,0.27,0.56,5.3,0.102434374,205.79,3.5,200.7,0.25587812,0.58,13.26,0.115103126,10.1,0.29679063,0.20159376,-1.6921930494483206,0.6,22.9316,250,277,"6/18/24, 12:00 AM",DANTEWADA,411,2024-12-31,6.62,3.767318,401,384,349,338,5.022495,2024-01-01,30.43682352941176,Madase,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.46107151029067,19.00731834939234]}"
3_0,0.6,0.05836875,0.65,0.86,5,0.0766625,94.66,5,188.16,0.22826874,0.13,13.28,0.08059375,10,0.252575,0.15808438,3.18929105478094,0.64,-0.0,249,276,"6/14/24, 12:00 AM",DANTEWADA,409,2024-12-31,6.54,3.767318,401,383,349,341,0.0,2024-01-01,30.43682352941176,Madase,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.46026302653496,19.008126833148047]}"
4_0,0.6,0.05836875,1,0.65,5.3,0.0766625,108.25,4.16,188.16,0.22826874,0.34,10.39,0.08059375,13.2,0.252575,0.15808438,3.18929105478094,0.5,-0.0,249,276,"6/14/24, 12:00 AM",DANTEWADA,409,2024-12-31,6.53,3.767318,401,383,349,341,0.0,2024-01-01,30.43682352941176,Madase,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.46026302653496,19.008126833148047]}"
5_0,0.6,0.087265626,0.96,0.65,5.58,0.109621875,188.9,2.31,238.33,0.22148438,0.34,8.15,0.121746875,10.2,0.24443124,0.17427188,1.9657407794199717,0.55,180.0,244,272,"6/14/24, 12:00 AM",DANTEWADA,412,2024-12-31,6.99,3.767318,404,385,351,342,6.464861,2024-01-01,30.43682352941176,Madase,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.46161049946113,19.0032759306138]}"
6_0,0.3,0.08817813,1.84,0.78,5.1,0.11276875,172.8,5.23,200.7,0.27050936,0.19,10.03,0.13275,12.5,0.3287875,0.227225,1.7919309914365096,0.64,231.76471,248,275,"6/14/24, 12:00 AM",DANTEWADA,417,2024-12-31,6.5,3.767318,404,388,348,337,7.4508657,2024-01-01,30.43682352941176,Madase,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.46268847780208,19.002467446858095]}"
7_0,0.1,0.09412187,0.25,0.78,8,0.12065312,168.5,5.1,250.88,0.27096564,0.33,16.3,0.14284687,14.5,0.33938125,0.24383125,0.8326841804640019,2,283.29926,244,272,"6/13/24, 12:00 AM",DANTEWADA,415,2024-12-31,6.82,3.767318,404,385,351,342,4.02528,2024-01-01,30.43682352941176,Madase,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.46053252112019,19.00219795227286]}"
8_0,0.3,0.08323125,0.97,0.93,7.9,0.10604063,100.23,3.42,225.79,0.24575,0.81,10.03,0.12595,11.2,0.33657187,0.23971562,-0.6935424253279886,0.9,180.0,248,275,"6/13/24, 12:00 AM",DANTEWADA,419,2024-12-31,6.8,3.767318,404,388,348,337,0.92740995,2024-01-01,30.43682352941176,Madase,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.46134100487589,19.001658963102386]}"
9_0,0.4,0.08323125,0.97,0.645,3.58,0.10604063,181.271,2.61,213.13,0.24575,0.91,13.26,0.12595,10.5,0.33657187,0.23971562,-0.6935424253279886,0.88,180.0,248,275,"6/13/24, 12:00 AM",DANTEWADA,419,2024-12-31,6.23,3.767318,404,388,348,337,0.92740995,2024-01-01,30.43682352941176,Madase,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.46134100487589,19.001658963102386]}"
