system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.9,0.10564412,0.954,0.212,6.842,0.13007353,467.48,16.16,363.77,0.25196764,0.56,24.2,0.158675,6.25,0.28595442,0.22191471,-1.0895538213915656,1.526,313.00583,391,387,"1/16/24, 12:00 AM",DURG,288,2024-12-31,7.49,3.4171646,252,256,356,357,1.3595569,2024-01-01,30.34644444444445,Kolihapuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.25733360385236,21.139559507778436]}"
1_0,1,0.11695692,1.506,0.201,4.024,0.13732155,160.832,16.36,25.88,0.27010307,0.95,21.5,0.16445538,18.75,0.2880569,0.21681692,5.977975686964523,1.248,90.0,377,385,"2/11/24, 12:00 AM",DURG,292,2024-12-31,6.52,3.391394,255,251,368,363,0.9942945,2024-01-01,30.48470588235294,Dhanora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.33063613103651,21.137134056511314]}"
2_0,0.5,0.10476567,0.67,0.416,11.58,0.1278582,196.89,12.38,263.42,0.23933284,0.91,15.23,0.1542403,11.25,0.29829404,0.23673135,0.37775866513219647,1.824,115.002,392,391,"2/12/24, 12:00 AM",DURG,287,2024-12-31,6.44,3.4171646,258,258,350,351,2.1933942,2024-01-01,30.34644444444445,Aamdi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.25895057136377,21.14036799153414]}"
3_0,0.3,0.07331194,2.24,0.11,8.216,0.09606119,405.71,7.908,589.56,0.23661044,0.87,16.12,0.1165806,28.75,0.28239402,0.20759404,-1.5718105382287826,2.856,65.04246,410,409,"1/30/24, 12:00 AM",DURG,273,2024-12-31,7.83,3.5679867,185,184,404,407,2.197047,2024-01-01,30.392,Achanakpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.39477584232264,21.438429002805]}"
4_0,0.5,0.057692453,0.946,0.273,9.424,0.08007359,220.864,8.327,577.02,0.22469811,0.81,17.92,0.08710566,13.75,0.2193151,0.15294905,-1.8678507874468295,2.176,160.29744,411,395,"2/7/24, 12:00 AM",DURG,290,2024-12-31,6.72,3.3872402,183,189,405,415,2.952884,2024-01-01,30.455294117647068,Khairjhiti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.23011465074353,21.434925573196935]}"
5_0,0.7,0.09803582,1.664,0.194,9.68,0.13023433,437.24,7.76,150.52,0.288497,0.13,13.44,0.1667015,10,0.3415806,0.2592194,2.0776124296493,1.92,-0.0,370,381,"2/13/24, 12:00 AM",DURG,305,2024-12-31,7.63,3.3652189,261,254,370,364,0.0,2024-01-01,30.566303030303022,Khopli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.37240779174806,21.095362395799754]}"
6_0,0.3,0.06310635,1.6,0.223,14.36,0.090238094,472.19,24.76,175.61,0.2545254,0.54,21.5,0.10417778,16.25,0.25965714,0.18401429,-1.9252409103228139,1.824,252.7628,399,388,"1/18/24, 12:00 AM",DURG,288,2024-12-31,6.43,3.3872402,193,197,408,415,3.126836,2024-01-01,30.481823529411773,Achholi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.2441283691758,21.441662937827832]}"
7_0,0.8,0.074599996,1.504,0.453,8.776,0.102004685,320.096,17.42,376.32,0.26757658,0.26,16.12,0.12442344,11.25,0.297725,0.21386406,2.0896425007853625,0.402,110.435165,432,433,"2/8/24, 12:00 AM",DURG,286,2024-12-31,7.63,3.3395875,197,200,371,367,5.297744,2024-01-01,30.51276470588235,Purda (Bade),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.24062493956774,21.331978641636837]}"
8_0,1.1,0.09797576,0.98,0.291,8.926,0.11850606,260.4,13.36,326.144,0.21743636,0.52,14.33,0.13063788,38.75,0.21565758,0.17039849,-0.706922305062777,1.962,-0.0,376,385,"2/11/24, 12:00 AM",DURG,295,2024-12-31,7.36,3.391394,259,254,365,361,0.92740995,2024-01-01,30.519647058823534,Dhanora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.32578522850226,21.137134056511314]}"
9_0,1.3,0.07320909,1.73,0.222,22.22,0.09347273,96.43,10.84,150.52,0.23102576,0.81,23.3,0.09876364,20,0.21911667,0.15649395,-0.7761381525633898,1.842,270.0,385,393,"1/24/24, 12:00 AM",DURG,309,2024-12-31,5.11,3.3588166,252,248,363,359,0.99407667,2024-01-01,30.50948571428571,Mahka Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.4147184416301,21.10479470628301]}"
