system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.5,0.12262368,1.698,0.43,25.58,0.13816053,280,11.65,150,0.19444473,0.36,12.54,0.15158685,7.62,0.23363684,0.1957,-2.137188084467375,0.125,15.131641,440,445,"6/18/24, 12:00 AM",KORBA,353,2024-12-31,5.9,4.1241703,206,203,354,353,3.8374648,2024-01-01,30.432000000000002,Chaitma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.38570743223488,22.405375574631254]}"
1_0,1,0.12262368,0.663,0.11,12.36,0.13816053,246,9.647,163,0.19444473,0.52,12.4,0.15158685,3.87,0.23363684,0.1957,-2.137188084467375,0.223,15.131641,440,445,"6/18/24, 12:00 AM",KORBA,353,2024-12-31,5.6,4.1241703,206,203,354,353,3.8374648,2024-01-01,30.432000000000002,Chaitma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.38570743223488,22.405375574631254]}"
2_0,2.4,0.12262368,1.402,0.42,25.48,0.13816053,390,17.85,113,0.19444473,0.45,20.69,0.15158685,3.68,0.23363684,0.1957,-2.137188084467375,0.145,15.131641,440,445,"6/18/24, 12:00 AM",KORBA,353,2024-12-31,6.8,4.1241703,206,203,354,353,3.8374648,2024-01-01,30.432000000000002,Chaitma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.38570743223488,22.405375574631254]}"
3_0,2.87,0.12262368,1.715,0.23,25.01,0.13816053,291,24.66,213,0.19444473,0.15,17.74,0.15158685,9.12,0.23363684,0.1957,-2.137188084467375,0.365,15.131641,440,445,"6/18/24, 12:00 AM",KORBA,353,2024-12-31,6.4,4.1241703,206,203,354,353,3.8374648,2024-01-01,30.432000000000002,Chaitma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.38570743223488,22.405375574631254]}"
4_0,2.4,0.12262368,1.402,0.42,25.48,0.13816053,390,17.85,113,0.19444473,0.45,20.69,0.15158685,3.68,0.23363684,0.1957,-2.137188084467375,0.145,15.131641,440,445,"6/18/24, 12:00 AM",KORBA,353,2024-12-31,6.8,4.1241703,206,203,354,353,3.8374648,2024-01-01,30.432000000000002,Chaitma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.38570743223488,22.405375574631254]}"
5_0,5,0.09534359,0.765,0.63,18.66,0.11966154,224,15.6,100,0.25565386,0.75,19.71,0.13977179,11.5,0.308659,0.22971281,2.0685418075421786,0.421,-0.0,462,456,"7/19/24, 12:00 AM",KORBA,345,2024-12-31,6.1,4.0433197,201,205,337,339,0.0,2024-01-01,30.377257142857147,Manikpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.4490386597653,22.420197776819226]}"
6_0,1,0.092258975,0.663,0.11,12.36,0.11734615,246,9.647,163,0.24658975,0.15,12.4,0.13871795,3.87,0.30362052,0.22629231,-0.7943126484332289,0.223,90.0,462,456,"7/19/24, 12:00 AM",KORBA,346,2024-12-31,5.6,4.0433197,201,205,337,339,1.0032291,2024-01-01,30.375942857142853,Manikpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44876916518008,22.420197776819226]}"
7_0,1.4,0.08574474,1.968,0.82,14.58,0.11066053,325,36.54,125,0.25742367,0.6,14.6,0.1242,4.87,0.29228422,0.2081342,-1.4874900563947784,0.532,270.0,455,450,"7/19/24, 12:00 AM",KORBA,343,2024-12-31,6.1,4.0433197,207,211,337,339,2.0058715,2024-01-01,30.375942857142853,Manikpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44876916518008,22.42235373350111]}"
8_0,1.55,0.084978946,1.658,0.43,14.66,0.109121054,246,12.54,138,0.24240789,0.45,16.3,0.1276842,6.12,0.28328946,0.20876843,-0.7943485466024283,0.115,90.0,455,450,"7/19/24, 12:00 AM",KORBA,343,2024-12-31,5.9,4.0433197,207,211,337,339,2.0058756,2024-01-01,30.375942857142853,Manikpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44984714352101,22.422623228086348]}"
9_0,1.555,0.08643158,1.658,0.74,14.66,0.11207631,246,12.54,125,0.24363421,0.15,17.11,0.13462895,6.112,0.30066317,0.22434211,-0.794310627983307,0.15,270.0,462,456,"7/19/24, 12:00 AM",KORBA,345,2024-12-31,6.2,4.0433197,201,205,337,339,1.0032271,2024-01-01,30.377257142857147,Manikpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.4490386597653,22.41992828223399]}"
