system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,5.66,0.07191316,2.12,0.16,27.8,0.10516316,178.38,34.75,144.3,0.30377632,0.37,18.82,0.12865263,7.5,0.30660525,0.21043684,-2.238117216241616,0.97,28.563063,393,404,"1/18/24, 12:00 AM",KOREA,585,2024-12-31,6.5,4.094263,176,170,431,426,4.216441,2024-01-01,30.288052631578957,Urumdunga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.59591320871886,23.296055178835758]}"
1_0,6.54,0.0841,0.158,0.12,66.62,0.11331579,70.45,41.58,187.5,0.2645658,0.39,9.86,0.12629737,13.75,0.2912684,0.20511842,4.148631169108546,1.34,270.0,394,404,"1/17/24, 12:00 AM",KOREA,577,2024-12-31,6.6,4.094263,179,174,427,422,2.0188088,2024-01-01,30.288052631578957,Urumdunga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.59860815457121,23.29659416800623]}"
2_0,9.45,0.097823076,1.564,0.24,59.18,0.13309488,75.4,35.6,187.5,0.28647947,0.54,12.55,0.16958974,7.5,0.36785898,0.28377178,-0.7212860740000913,2.66,-0.0,380,394,"1/24/24, 12:00 AM",KOREA,514,2024-12-31,6.3,4.0828614,172,171,448,436,0.92740995,2024-01-01,30.375684210526313,Jharnapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.61369985134442,23.192838752690427]}"
3_0,6.73,0.08550789,1.585,0.14,61.25,0.10986842,210.94,15.02,173.1,0.26062104,0.18,14.92,0.12942368,8.75,0.34321317,0.2491921,-2.4316199926902984,2.1,79.583244,382,392,"1/22/24, 12:00 AM",KOREA,502,2024-12-31,5.7,4.0828614,180,178,438,430,5.116096,2024-01-01,30.35157894736843,Jharnapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.61935923763437,23.19310824727566]}"
4_0,7.65,0.096819445,3.84,0.1,20.1,0.12801945,507.92,19.35,188.2,0.28825834,0.39,11.65,0.15208055,10,0.33923888,0.24851945,3.0113856582741407,1.04,331.48666,447,451,"3/1/24, 12:00 AM",KOREA,475,2024-12-31,5.7,4.032051,147,141,406,407,2.1100838,2024-01-01,30.363783783783777,Baima,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.53473793787032,23.019284239798534]}"
5_0,5.42,0.081816666,3.915,0.28,69.1,0.11129048,205.3,15.93,187.5,0.27662382,0.82,14.32,0.14725477,7.5,0.34855238,0.26921192,-2.3924038870794044,1.16,55.51692,385,402,"2/10/24, 12:00 AM",KOREA,559,2024-12-31,6.5,3.9668574,178,170,437,428,4.902615,2024-01-01,30.271052631578954,Natwahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.38355147555299,23.6811629411378]}"
6_0,5.16,0.09634211,1.968,0.12,36.46,0.121142104,139.33,29.78,173.1,0.28336054,0.14,19.71,0.13451841,7.5,0.28309473,0.21418159,-1.414963928550151,3.63,180.0,392,407,"2/14/24, 12:00 AM",KOREA,539,2024-12-31,6.8,4.0146503,151,151,457,441,3.7047918,2024-01-01,30.302052631578956,Tenduwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71664678290452,23.263985323192692]}"
7_0,5.94,0.04964737,2.296,0.11,43.18,0.069247365,436.69,21.77,144.3,0.26013947,0.59,26.88,0.06176316,8.75,0.19884475,0.122155264,-0.20949164050593008,2.54,114.668,401,409,"1/30/24, 12:00 AM",KOREA,571,2024-12-31,6,4.150773,178,170,421,421,2.2211692,2024-01-01,30.305459459459463,Jagatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.39648721564431,23.285814384596797]}"
8_0,7.74,0.10842632,1.046,0.07,28.89,0.13407895,186.91,30.78,144.3,0.3084921,0.75,10.75,0.14447895,10,0.32032105,0.23055789,-1.8821948678043625,1.09,19.941387,401,417,"2/14/24, 12:00 AM",KOREA,539,2024-12-31,5.1,4.0146503,149,149,450,434,2.9573162,2024-01-01,30.28894736842106,Tenduwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.72041970709782,23.256169980220854]}"
9_0,6.5,0.08798158,3.026,0.15,33.22,0.11675789,185.25,36.46,259.6,0.2825079,0.42,16.13,0.13476579,13.75,0.29638946,0.21280263,1.7206311965032102,0.42,227.42615,393,406,"1/4/24, 12:00 AM",KOREA,538,2024-12-31,7,4.0146503,148,149,459,445,1.3706715,2024-01-01,30.285842105263153,Tenduwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71934172875687,23.26263785026651]}"
10_0,5.82,0.074610524,1.838,0.17,71.83,0.09839737,107.07,23.75,202,0.23822631,0.28,18.82,0.1119,8.75,0.25797632,0.19413684,-0.014231227463411624,0.14,312.56854,404,408,"1/30/24, 12:00 AM",KOREA,583,2024-12-31,6.5,4.143972,173,166,423,426,1.3708094,2024-01-01,30.345210526315793,Jagatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.40780598822423,23.287161857522975]}"
11_0,6.14,0.09577895,4.68,0.17,64.4,0.13490526,99.07,23.35,216.8,0.3002592,0.61,13.44,0.16579868,13.75,0.32933947,0.24548289,-1.5284202330751644,2.77,102.91592,392,396,"1/16/24, 12:00 AM",KOREA,730,2024-12-31,5.6,4.098281,163,161,445,443,4.1422276,2024-01-01,30.110444444444454,Rajauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.4528115839586,23.466645251290057]}"
12_0,7.32,0.09577895,4.51,0.18,46.16,0.13490526,103.47,25.27,317.4,0.3002592,0.29,16.13,0.16579868,11.25,0.32933947,0.24548289,-1.5284202330751644,1.89,102.91592,392,396,"1/16/24, 12:00 AM",KOREA,730,2024-12-31,6.1,4.098281,163,161,445,443,4.1422276,2024-01-01,30.110444444444454,Rajauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.4528115839586,23.466645251290057]}"
13_0,6.07,0.07952703,0.456,0.13,42.17,0.10744324,124.32,10.14,202,0.2655189,0.28,17.02,0.12122973,7.5,0.2982946,0.21605136,-1.4998123533069592,0.02,270.0,392,388,"1/19/24, 12:00 AM",KOREA,544,2024-12-31,5.7,4.143972,192,185,416,427,4.0317287,2024-01-01,30.383842105263152,Gadbadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.43259949006593,23.267219258215523]}"
14_0,7.1,0.081283785,2.476,0.14,59.5,0.11517568,202.9,36.11,173.9,0.27297026,0.31,27.78,0.13245136,10.1,0.3092054,0.22511351,-2.0645262844883656,2.7,238.51453,395,392,"1/19/24, 12:00 AM",KOREA,543,2024-12-31,5.9,4.143972,190,183,415,425,3.547145,2024-01-01,30.401000000000007,Gadbadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.43313847923639,23.266410774459814]}"
15_0,6.64,0.082497224,0.591,0.13,45.75,0.11958889,228.7,8.06,187.5,0.26792777,0.74,24.19,0.15156944,7.5,0.33365,0.2527,-1.9500905325735596,1.8,107.025856,384,388,"1/19/24, 12:00 AM",KOREA,555,2024-12-31,6.8,4.143972,209,200,408,412,3.1644044,2024-01-01,30.350702702702698,Gadbadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44499624098677,23.267219258215523]}"
16_0,6.34,0.08835384,0.43,0.11,50.39,0.12204359,158.7,9.61,173.1,0.28321537,0.3,17.12,0.15717693,7.5,0.34756666,0.25609744,-1.8049094646689923,1.22,312.58875,373,383,"1/24/24, 12:00 AM",KOREA,509,2024-12-31,5.8,4.0828614,178,174,449,443,5.4655414,2024-01-01,30.375684210526313,Jharnapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.61612530261154,23.192838752690427]}"
17_0,6.74,0.08372778,0.506,0.22,23.96,0.111488886,182.21,20.56,173.9,0.28256112,0.36,17.12,0.1258639,8.76,0.3156778,0.22936945,0.3914821812885305,1.37,132.57336,379,381,"1/19/24, 12:00 AM",KOREA,562,2024-12-31,6.8,4.143972,173,168,447,452,2.7398007,2024-01-01,30.418432432432432,Gadbadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.42208920124173,23.2647938069484]}"
19_0,5.67,0.120395,0.734,0.22,51.12,0.1375475,388.3,24.83,259.7,0.22088376,0.37,14.34,0.15241,10,0.26897374,0.226515,-1.8081120862673137,1.12,132.52895,388,399,"2/10/24, 12:00 AM",KOREA,736,2024-12-31,5.4,4.2347937,168,164,444,437,5.4717207,2024-01-01,30.16405405405406,Natwahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.51668180065951,23.471226659239065]}"
20_0,9,0.07430256,3.293,0.12,37.1,0.10221282,408.58,18.34,202,0.27794358,0.12,16.13,0.118228205,6.25,0.30971795,0.22369744,-1.8821943832245658,1.31,199.94131,377,375,"2/16/24, 12:00 AM",KOREA,562,2024-12-31,6.4,4.078168,173,167,449,457,2.9573147,2024-01-01,30.27545945945946,Salka,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.51048342519908,23.25563099105038]}"
21_0,7.49,0.07191316,0.528,0.12,67.47,0.10516316,112.4,18.7,129.8,0.30377632,0.47,18.82,0.12865263,7.57,0.30660525,0.21043684,-2.238117216241616,0.21,28.563063,393,404,"1/18/24, 12:00 AM",KOREA,585,2024-12-31,6.7,4.094263,176,170,431,426,4.216441,2024-01-01,30.288052631578957,Urumdunga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.59591320871886,23.296055178835758]}"
22_0,6.53,0.09455,1.241,0.11,66.39,0.12876315,238.9,27.62,202,0.29915,0.11,20.6,0.15618421,10,0.35227105,0.2598579,-0.4953876879689455,0.83,199.9326,402,423,"1/9/24, 12:00 AM",KOREA,511,2024-12-31,5.5,4.3593106,181,173,417,405,2.957152,2024-01-01,30.336787878787877,Banjaridand,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44553523015725,23.192299763519955]}"
23_0,8.29,0.062636115,0.548,0.25,64.74,0.088325,122.75,41.96,245.2,0.29324445,0.46,8.06,0.08606944,15,0.2337889,0.15865555,-0.028810274479299305,3.48,-0.0,397,401,"1/30/24, 12:00 AM",KOREA,585,2024-12-31,6.1,4.143972,172,165,431,434,0.92740995,2024-01-01,30.345210526315793,Jagatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.40618902071282,23.283927922500144]}"
24_0,6.56,0.063208334,1.685,0.22,19.88,0.083961114,92.4,17.1,158.7,0.24463889,0.62,16.13,0.09485833,12.5,0.2803972,0.1914861,-0.8066290396411593,0.78,270.0,385,392,"1/24/24, 12:00 AM",KOREA,548,2024-12-31,5.9,4.143972,208,199,407,409,2.018325,2024-01-01,30.367027027027014,Gadbadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44418775723106,23.2647938069484]}"
25_0,6.35,0.078769445,1.934,0.17,47.36,0.102980554,312.48,31.42,115.4,0.29766113,0.42,17.02,0.11466944,7.5,0.330875,0.23709445,-1.5921145351562132,1.62,294.71204,420,423,"3/1/24, 12:00 AM",KOREA,480,2024-12-31,6.6,4.032051,132,128,448,449,2.2174625,2024-01-01,30.36172222222222,Baima,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.53150400284748,23.01443333726429]}"
