system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,26,0.059897296,2.78,0.71,15.9,0.07199189,284.33,33.2,301.06,0.12488648,0.53,14.95,0.074954055,12.5,0.13117568,0.10017568,1.426985264257784,1.2,312.83304,471,478,"1/28/24, 12:00 AM",RAIGARH,293,2024-12-31,7.4,4.0954113,194,193,334,329,5.440507,2024-01-01,30.31629411764706,Saraipali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30872638666769,22.01541690979497]}"
1_0,21,0.07411714,1.42,0.2,28.28,0.08851428,147.84,15.26,288.51,0.15354286,0.78,4.64,0.10113143,12.5,0.16785714,0.14191714,-0.019720070686246698,0.56,180.0,479,484,"1/28/24, 12:00 AM",RAIGARH,280,2024-12-31,6.1,4.0954113,188,190,333,326,0.92740995,2024-01-01,30.338303030303027,Saraipali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31896718090665,22.013260953113083]}"
2_0,19,0.07786389,3.2,0.26,64.68,0.09258889,177.77,50.94,250.88,0.1613389,0.53,5.81,0.10358889,7.5,0.16981667,0.14189722,8.10681939074583,1.4,-0.0,479,484,"1/28/24, 12:00 AM",RAIGARH,280,2024-12-31,6.7,4.0954113,188,190,333,326,0.0,2024-01-01,30.338303030303027,Saraipali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31869768632141,22.013260953113083]}"
3_0,11,0.07215428,0.45,0.33,34.91,0.09651143,129.92,13.81,363.78,0.23948857,0.4,21.81,0.118405715,6.25,0.31143713,0.23193143,-1.79417466094642,1.54,312.79004,456,446,"1/28/24, 12:00 AM",RAIGARH,320,2024-12-31,5.9,3.8559232,191,197,353,356,2.7286057,2024-01-01,30.238648648648645,Kotarimal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38041194634043,22.227778642960825]}"
4_0,18,0.06879117,1.12,0.17,28.28,0.089829415,142.24,12.5,301.06,0.24824117,0.11,17.48,0.08624706,6.25,0.19609118,0.13145588,-1.653351755156797,0.92,347.8095,458,456,"1/28/24, 12:00 AM",RAIGARH,313,2024-12-31,6.9,3.8559232,183,185,359,359,4.733638,2024-01-01,30.270971428571425,Kotarimal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38202891385184,22.213495429943322]}"
5_0,21,0.07581143,1,0.16,9.61,0.099494286,181.44,13.44,288.51,0.27841428,0.48,23.15,0.093354285,7.5,0.22818571,0.15284857,-2.40939776398653,0.78,203.3698,453,446,"1/28/24, 12:00 AM",RAIGARH,294,2024-12-31,6.7,3.8559232,197,204,350,349,5.0388618,2024-01-01,30.22105555555556,Kotarimal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39712061062505,22.228317632131297]}"
6_0,12,0.08854117,1.46,0.2,73.42,0.119197056,154.56,31.63,301.23,0.23431471,0.23,7.2,0.14389999,3.75,0.28218237,0.21334411,2.044600357016036,0.76,76.96957,460,454,"1/28/24, 12:00 AM",RAIGARH,293,2024-12-31,6.4,3.8559232,197,204,343,342,4.106568,2024-01-01,30.24205405405406,Kotarimal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3944256647727,22.224275213352758]}"
7_0,11,0.1406,1.78,0.19,15.02,0.16630572,170.24,15.52,351.23,0.26311427,0.24,20.55,0.18116571,2.5,0.27637714,0.22446857,-0.7143625524605799,0.99,-0.0,438,431,"1/28/24, 12:00 AM",RAIGARH,292,2024-12-31,6.3,3.8559232,196,202,366,367,0.92740995,2024-01-01,30.216888888888896,Kotarimal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39846808355124,22.22804813754606]}"
8_0,21,0.08622857,0.26,0.25,28.29,0.1064,159.25,19.69,288.51,0.23125714,0.57,20.41,0.11324571,3.75,0.20582858,0.13838857,2.833953711271916,0.75,15.11315,460,454,"1/28/24, 12:00 AM",RAIGARH,291,2024-12-31,6.6,3.8559232,197,204,343,342,3.8371313,2024-01-01,30.22105555555556,Kotarimal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3952341485284,22.226431170034644]}"
9_0,18,0.07487143,0.34,0.33,28.6,0.09433428,214.26,31.5,288.51,0.22868286,0.85,16.83,0.093865715,12.5,0.22987714,0.15354286,-1.5817722928583067,0.68,245.1632,461,453,"1/28/24, 12:00 AM",RAIGARH,292,2024-12-31,5.9,3.8559232,197,203,342,345,2.207035,2024-01-01,30.22105555555556,Kotarimal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39388667560222,22.22750914837559]}"
