system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.7,0.104605265,0.8,0.23,26.8,0.13870527,212,27.1,163.07,0.28964737,0.38,8.06,0.16538684,28.4,0.35348684,0.27036053,-0.02697537402083416,0.7,-0.0,398,404,"3/4/24, 12:00 AM",SURAJPUR,452,2024-12-31,5.94,4.072989,163,157,439,439,0.92740995,2024-01-01,30.32144444444444,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.77297115121881,23.03437593657174]}"
1_0,0.8,0.092625,0.9,0.23,26.8,0.13102223,168,29.3,188.16,0.28424722,0.45,10.75,0.164,27.3,0.37018335,0.27225,-0.3145895956265123,0.7,180.0,414,412,"3/4/24, 12:00 AM",SURAJPUR,479,2024-12-31,5.94,4.072989,202,194,384,393,1.8543341,2024-01-01,30.342057142857147,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.78833234257725,23.025213120673722]}"
2_0,0.9,0.07178286,1,0.28,27.9,0.100357145,224,25.1,200.7,0.27175716,0.48,11.64,0.12074286,24.8,0.34406,0.24590285,-2.0295767979060497,0.6,324.0814,403,400,"3/4/24, 12:00 AM",SURAJPUR,487,2024-12-31,5.97,4.072989,214,207,383,393,3.4316738,2024-01-01,30.31457142857143,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.78994931008867,23.024943626088486]}"
3_0,0.7,0.07786486,0.6,0.31,25.6,0.10090811,156,28.8,175.61,0.2183,0.42,9.85,0.1097973,22.6,0.27290002,0.18923783,4.346811956056779,1.1,252.9452,408,397,"3/4/24, 12:00 AM",SURAJPUR,455,2024-12-31,5.99,4.072989,180,176,413,427,3.1592033,2024-01-01,30.324000000000005,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.77916952667924,23.02548261525896]}"
4_0,0.7,0.07786486,0.9,0.27,23.6,0.10090811,190,27.3,200.7,0.2183,0.49,11.64,0.1097973,28.4,0.27290002,0.18923783,4.346811956056779,0.8,252.9452,408,397,"3/4/24, 12:00 AM",SURAJPUR,455,2024-12-31,5.96,4.072989,180,176,413,427,3.1592033,2024-01-01,30.324000000000005,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.77916952667924,23.02548261525896]}"
5_0,0.9,0.10790857,1,0.21,30.1,0.14552571,179,26.1,200.7,0.3089943,0.49,11.64,0.18265429,24.8,0.38394284,0.30802858,-1.5921906734680986,0.8,294.71118,421,419,"3/4/24, 12:00 AM",SURAJPUR,497,2024-12-31,5.99,4.072989,183,182,396,399,2.217534,2024-01-01,30.368235294117646,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.79722566389003,23.019823228969006]}"
6_0,0.8,0.10696053,0.9,0.24,29.6,0.13921842,190,27.3,163.07,0.28658947,0.38,8.06,0.15821579,25.2,0.32973158,0.25387105,-2.215268431383397,1,102.95664,409,411,"3/4/24, 12:00 AM",SURAJPUR,471,2024-12-31,5.93,4.072989,178,170,413,419,4.129474,2024-01-01,30.27737142857143,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.77755255916782,23.032219979889856]}"
7_0,0.7,0.08747027,0.6,0.27,25.6,0.11766757,190,23.8,163.07,0.26736486,0.38,8.06,0.14313784,28.4,0.33114055,0.23913513,0.08875479463994929,0.9,249.79099,457,449,"3/4/24, 12:00 AM",SURAJPUR,466,2024-12-31,5.96,4.072989,168,168,374,383,5.354178,2024-01-01,30.370114285714283,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.78105598877589,23.034645431156978]}"
8_0,1,0.09245405,1,0.24,25.8,0.12673244,179,28.2,200.7,0.30051893,0.49,11.64,0.15193513,27.3,0.3444973,0.26044324,2.064134461621491,0.9,-0.0,442,440,"3/4/24, 12:00 AM",SURAJPUR,471,2024-12-31,5.97,4.072989,192,187,366,373,0.0,2024-01-01,30.27737142857143,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.78051699960541,23.0332979582308]}"
9_0,0.7,0.08148571,0.9,0.2,29.6,0.11868857,212,26.4,175.61,0.27358285,0.44,9.85,0.15544857,25.2,0.31388,0.23426858,-1.3683740639328839,0.6,301.5303,404,403,"3/4/24, 12:00 AM",SURAJPUR,485,2024-12-31,5.91,4.072989,204,200,392,397,3.5426326,2024-01-01,30.342057142857147,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.79291375052627,23.03114200154891]}"
