system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.626,0.03824,3.052,0.138,20.04,0.058585715,235.2,27.66,95,0.2195457,0.22,84.5,0.058551427,0,0.23281714,0.14525142,-2.1408517989746034,1.366,133.9028,334,327,"2/10/24, 12:00 AM",NORTH GOA,29,2024-12-31,5.11,11.751894,364,367,302,305,4.0060406,2024-01-01,30.352333333333338,Mopa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.84380705859918,15.758291629788854]}"
1_0,0.304,0.051747058,3.442,0.14,16.29,0.070636764,168,6.038,95,0.23943676,0.18,65.4,0.071935296,0,0.20937058,0.13076177,2.620617503349519,1.078,-0.0,336,325,"2/29/24, 12:00 AM",NORTH GOA,49,2024-12-31,5.09,9.834695,382,393,282,283,0.92740995,2024-01-01,30.282875000000004,Compordem,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.12866283519348,15.561291087981441]}"
2_0,0,0.05808485,2.43,0.198,31.5,0.07789394,145.6,4.27,95,0.21859092,0.18,49.7,0.09494545,0,0.22917576,0.15666364,-1.983577287624455,0.81,57.286522,317,314,"5/21/24, 12:00 AM",NORTH GOA,6,2024-12-31,5.42,13.177741,342,343,341,343,6.832164,2024-01-01,30.365142857142864,Malar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.91171969407861,15.531916178190734]}"
3_0,0,0.036147058,1.062,0.202,15.82,0.052694116,190.4,27.32,95,0.29108822,0.07,17.5,0.03635294,0,0.15254411,0.07382059,-1.1371048712829408,0.852,340.9151,328,313,"6/3/24, 12:00 AM",NORTH GOA,53,2024-12-31,4.99,9.81254,387,401,285,287,2.9417186,2024-01-01,30.271225806451614,Cudcem,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.16046319625131,15.542695961600169]}"
4_0,2.81,0.04312985,1.834,0.179,22.38,0.060032837,112,11.57,95,0.23083134,0.26,23.7,0.052756716,0,0.18309104,0.098419406,-1.368226877304604,0.992,-0.0,335,325,"4/3/24, 12:00 AM",NORTH GOA,35,2024-12-31,6.09,10.578259,377,386,288,288,3.7047918,2024-01-01,30.311096774193544,Mauzi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.12866283519348,15.53676708072498]}"
5_0,1.13,0.041254167,4.576,0.205,25.3,0.05585139,336,21.72,95,0.23974723,0.18,35.8,0.042123612,0,0.15245,0.07897361,-0.7123154073329051,1.978,90.0,338,320,"2/28/24, 12:00 AM",NORTH GOA,28,2024-12-31,5.72,10.578259,350,363,312,317,0.9625822,2024-01-01,30.346193548387095,Ambedem,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1491444236714,15.537845059065923]}"
6_0,0.646,0.06877428,3.244,0.258,34.2,0.09266,44.8,2.758,95,0.26078,0.18,0.4,0.10236572,0,0.24589142,0.16757429,-1.861026058414803,0.272,287.7955,318,323,"3/28/24, 12:00 AM",NORTH GOA,10,2024-12-31,4.89,13.800113,330,324,352,352,3.0319445,2024-01-01,30.27794736842105,Camurlim,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.78505723901776,15.648337839012624]}"
7_0,0.836,0.057572726,3.73,0.312,36.1,0.079869695,313.6,15.63,95,0.22436364,0.18,44.4,0.0973303,0,0.26066363,0.18922122,-2.6638080620032354,0.654,343.47232,335,319,"3/22/24, 12:00 AM",NORTH GOA,23,2024-12-31,6.15,12.81369,358,377,308,303,6.740973,2024-01-01,30.458235294117646,Nadora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.83733918855351,15.666932965393897]}"
9_0,0,0.060571015,0.792,0.369,21.26,0.079591304,313.6,9.49,95,0.21761304,0.07,0.4,0.098665215,0,0.25014204,0.1835087,-1.630865779620646,0.644,39.71315,344,339,"6/20/24, 12:00 AM",NORTH GOA,52,2024-12-31,4.67,9.87318,377,378,280,282,11.883646,2024-01-01,30.1845625,Querim,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.07287745604965,15.601715275766821]}"
10_0,2.912,0.04900857,1.552,0.018,33.7,0.06468857,208.32,3.91,95,0.25566,0.18,0.4,0.052805714,0,0.17934,0.095008574,-1.5099813360192442,0.274,295.7192,331,320,"6/14/24, 12:00 AM",NORTH GOA,41,2024-12-31,5.32,9.834695,379,389,290,290,2.1362777,2024-01-01,30.296000000000006,Compordem,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13809514567673,15.557787658373377]}"
