system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,2.4531,0.31543177,0.75,0.24,10.38,0.33018705,216.594,8.72,214.82505,0.39959294,0.671,48.51,0.35600236,22.219208,0.43850118,0.39132234,-2.6252961821952687,1.91,138.71263,198,209,"3/28/24, 12:00 AM",BANAS KANTHA,56,2024-12-31,7.8,1.7400789,411,402,391,388,6.147969,2024-01-01,30.71717948717949,Vasarda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.51348738006473,24.352473952960317]}"
1_0,2.0553,0.07201573,0.3,0.11,11.3,0.10756405,860.646,3.8,211.38095,0.32105392,0.649,87.78,0.11730337,6.803968,0.27138427,0.2043573,-1.349806690328993,0.53,216.19289,214,222,"3/28/24, 12:00 AM",BANAS KANTHA,42,2024-12-31,8.2,1.8588524,413,404,373,374,3.4436257,2024-01-01,30.50753846153847,Vav,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.61670380621005,24.33926871828376]}"
2_0,0.1105,0.089069895,0.82,1.12,2.4,0.12532473,514.554,7.68,163.16355,0.3349043,0.341,115.5,0.14401075,18.923536,0.29885915,0.23562904,-2.2092837722225274,1.87,90.0,198,202,"3/28/24, 12:00 AM",BANAS KANTHA,25,2024-12-31,7.6,1.8045443,392,391,410,407,4.0649495,2024-01-01,30.70128205128205,Chuva,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.45123413087525,24.3365737724314]}"
3_0,2.4752,0.31543177,0.28,1.23,3.35,0.33018705,524.868,7.86,175.2179,0.39959294,0.418,69.3,0.35600236,15.734176,0.43850118,0.39132234,-2.6252961821952687,1.88,138.71263,198,209,"3/28/24, 12:00 AM",BANAS KANTHA,56,2024-12-31,7.9,1.7400789,411,402,391,388,6.147969,2024-01-01,30.71717948717949,Uchpa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.51348738006473,24.352473952960317]}"
4_0,1.8343,0.06925714,1.38,0.45,7.13,0.1031011,670.9248,6.89,262.28474800000004,0.3098,0.97416,57.9474,0.122823074,55.50629000000001,0.28710878,0.22724505,5.392926565462614,0.78,-0.0,195,218,"5/8/24, 12:00 AM",BANAS KANTHA,174,2024-12-31,7.7,2.9706507,437,421,368,361,0.92740995,2024-01-01,30.56833333333332,Nagana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.51115633460786,23.994315649181864]}"
5_0,0.3978,0.06887253,1.01,0.8,13.57,0.10665824,213.9648,6.58,191.611816,0.32334286,0.52272,36.4854,0.12882417,27.06957,0.3087758,0.24354285,-1.1244228094578912,3.76,47.64774,199,208,"4/25/24, 12:00 AM",BANAS KANTHA,217,2024-12-31,6.9,2.8235233,424,415,377,377,1.376474,2024-01-01,30.540628571428574,Kotda (Chand Gadh),"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.47854748979432,24.2727035557305]}"
6_0,1.1713,0.06494308,0.53,0.11,6.16,0.104542024,713.9328000000002,6.62,203.700607,0.3391282,0.59994,72.9708,0.11185851,37.733340000000005,0.27125055,0.20191808,-1.554122385113046,2.58,151.25511,167,178,"5/8/24, 12:00 AM",BANAS KANTHA,125,2024-12-31,8.1,2.1473837,411,402,422,421,2.1147394,2024-01-01,30.503611111111113,Rampura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.04439171297936,24.276476479923804]}"
7_0,2.0774,0.11193161,0.21,0.55,10.71,0.15670466,31.1808,6.29,252.055771,0.32266685,0.90882,25.68,0.21895026,20.257,0.41379067,0.38361502,-0.4356613248463219,0.021,132.27058,220,218,"4/2/24, 12:00 AM",BANAS KANTHA,181,2024-12-31,7.9,2.6352506,483,474,297,307,1.3786306,2024-01-01,30.910105263157902,Edal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.1408707744938,24.633556805361316]}"
8_0,0.5967,0.09936701,0.24,0.41,8.43,0.13411392,107.52,9.16,222.298747,0.2900036,0.71874,53.655,0.1592165,7.92947,0.29142165,0.2515706,-1.1263668764963002,2.29,132.31602,203,214,"5/8/24, 12:00 AM",BANAS KANTHA,151,2024-12-31,8.1,2.2459788,459,450,337,336,1.3774297,2024-01-01,30.72094444444444,Ramun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.09829063002654,24.43359182311631]}"
9_0,1.2597,0.1176382,0.58,0.46,4.69,0.1512955,468.7872,8.43,179.52302500000002,0.3373483,0.4455,53.655,0.17879663,41.83479,0.3514573,0.28333145,-0.819873312460635,0.76,270.0,215,228,"4/25/24, 12:00 AM",BANAS KANTHA,203,2024-12-31,8.3,2.5338104,442,431,343,342,1.0162431,2024-01-01,30.61908571428571,Lalawada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4467471287365,24.13687828477163]}"
10_0,0.1547,0.07149828,0.47,0.84,14.42,0.104832664,652.6464000000001,8.47,235.317445,0.2899272,0.8019,32.193,0.12767535,27.06957,0.2839255,0.22840917,-6.876548767348616E-4,3.54,294.49612,174,189,"4/25/24, 12:00 AM",BANAS KANTHA,154,2024-12-31,6.8,2.171024,412,406,414,405,2.235767,2024-01-01,30.61305555555556,Jorapura Bhakhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.27939099130504,24.31582268936824]}"
11_0,2.3426,0.08716824,1.09,0.95,5.25,0.11869294,158.05440000000002,10.13,130.78901,0.27826825,0.1342,105.1638,0.14150941,16.5935,0.2852212,0.23800705,-1.5551942297414467,2.2,331.23383,228,238,"3/22/24, 12:00 AM",BANAS KANTHA,50,2024-12-31,8.6,1.8214556,431,420,340,342,2.1151702,2024-01-01,30.544585365853656,Medhala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.62344117084096,24.38804723821145]}"
12_0,1.4586,0.22301647,0.89,1.29,7.75,0.2581859,301.05600000000004,3.83,173.943583,0.40049294,0.40986,102.72,0.30060354,66.44349,0.38265765,0.3590694,-0.7300501956769145,1.54,180.0,188,199,"3/28/24, 12:00 AM",BANAS KANTHA,51,2024-12-31,7.7,1.7400789,409,401,403,401,3.7047918,2024-01-01,30.71717948717949,Bhakhari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.51187041255331,24.3508569854489]}"
14_0,2.6962,0.07557963,1.82,0.19,2.39,0.11402145,148.37760000000003,13.69,243.686608,0.31397668,0.85536,25.68,0.14045174,18.317500000000003,0.3050547,0.24753512,-1.5307256909740579,0.111,227.6633,189,198,"4/2/24, 12:00 AM",BANAS KANTHA,145,2024-12-31,8.4,2.1647503,465,453,347,349,4.124309,2024-01-01,30.558742857142853,Gola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.12335362645346,24.341963664136117]}"
15_0,1.4586,0.06253723,1.11,0.22,10.67,0.0949859,440.8320000000001,2.3,181.382839,0.3326516,0.45738,107,0.093004785,6.6805,0.2462032,0.17371303,-1.6106101618757755,0.082,294.4904,185,195,"4/2/24, 12:00 AM",BANAS KANTHA,150,2024-12-31,8,2.1647503,470,459,345,346,2.2362576,2024-01-01,30.558742857142853,Gola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.12470109937965,24.349509512522722]}"
16_0,2.2984,0.09350638,1.75,0.41,8.45,0.1335234,558.0288,5.29,231.597817,0.3553798,0.77814,92.02,0.15516914,21.119,0.3190851,0.2495883,-2.154205292838927,0.086,15.366739,187,207,"4/12/24, 12:00 AM",BANAS KANTHA,116,2024-12-31,7.9,2.3109288,457,449,356,344,3.841747,2024-01-01,30.478722222222228,Ramuna,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92823954674272,24.538694711358293]}"
17_0,0.4862,0.07141798,1.09,0.23,8.29,0.104152806,169.88160000000002,9.81,163.714606,0.36824495,0.34452,40.7778,0.10408314,19.687284,0.2737191,0.1998809,1.967814742011458,1.83,312.3749,182,197,"4/23/24, 12:00 AM",BANAS KANTHA,180,2024-12-31,7.8,2.109729,430,418,388,384,1.3758779,2024-01-01,30.63255555555556,Umarkot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.33760182171598,24.171643086267057]}"
18_0,2.4973,0.07007191,2.69,0.23,7.57,0.10387977,202.1376,10.2,212.999677,0.32514045,0.65934,47.080000000000005,0.12654494,18.866670000000003,0.31709325,0.23816967,2.0550312744381682,0.94,-0.0,225,243,"4/22/24, 12:00 AM",BANAS KANTHA,237,2024-12-31,7.2,3.2262213,426,418,350,338,0.0,2024-01-01,30.569666666666674,Navovas (Hadad),"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.97495651579878,24.245754097206916]}"
