system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
2_0,0.09,0.0523043,0.66,0.8,2.35,0.07759247,163,9.8,685,0.27798173,0.98,14,0.081148386,14.4,0.18831721,0.12694731,-0.10022285475693864,0.92,90.0,312,327,"3/11/24, 12:00 AM",BOTAD,64,2024-12-31,7.3,2.206187,400,383,288,291,1.0027546,2024-01-01,30.593833333333336,Godhawata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.70617600850836,22.354441098021677]}"
3_0,0.22,0.14263043,0.3,0.5,5.04,0.17051414,280,6.2,578,0.24502935,0.83,25,0.19544783,17.6,0.24672283,0.22358152,-0.7933478874523143,1.96,270.0,312,327,"3/11/24, 12:00 AM",BOTAD,66,2024-12-31,6.7,2.206187,400,383,288,291,1.0027405,2024-01-01,30.593833333333336,Hadmatala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.70779297601977,22.352554635925024]}"
6_0,0.13,0.34567186,0.38,1.1,5.01,0.39824063,280,8.76,277,0.49016875,0.4,25,0.45209688,16,0.453175,0.4061125,0.30770262692599104,1.24,90.0,207,225,"3/4/24, 12:00 AM",BOTAD,100,2024-12-31,7.4,2.3534591,472,453,321,321,1.0015113,2024-01-01,30.789828571428572,Devgana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.68057402291096,22.180886585129784]}"
7_0,0.04,0.092584945,0.24,0.3,5.3,0.11355699,327,7.76,631,0.25935915,0.9,29,0.12550645,16,0.23252796,0.16842796,-1.101723804471987,0.9,312.77707,286,291,"3/18/24, 12:00 AM",BOTAD,123,2024-12-31,6.5,2.3379598,450,443,264,266,1.3654109,2024-01-01,30.810514285714298,Ratanpar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.5396283548326,22.291379365076487]}"
8_0,0.13,0.05721828,0.54,0.3,4.54,0.08304839,210,14.2,678,0.25090754,0.97,18,0.09063871,22,0.18469892,0.12837419,0.8160585956973154,1.12,90.0,317,324,"3/18/24, 12:00 AM",BOTAD,63,2024-12-31,7.3,2.206187,398,386,285,290,2.004903,2024-01-01,30.593833333333336,Sangavadar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.70617600850836,22.35498008719215]}"
9_0,0.13,0.06329247,0.5,0.9,2.96,0.09685054,163,9.2,655,0.30359355,0.94,14,0.0748172,17.6,0.15718494,0.09992688,1.2860855265617623,0.76,270.0,320,329,"3/11/24, 12:00 AM",BOTAD,65,2024-12-31,7.2,2.206187,385,372,295,299,1.0027525,2024-01-01,30.593833333333336,Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.70914044894596,22.35417160343644]}"
10_0,0.44,0.061335105,0.44,0.8,4.04,0.08306277,187,3.6,701,0.24233404,1,16,0.09799468,27.2,0.19684681,0.1397734,-1.1027616799883235,1.28,312.75754,309,324,"3/11/24, 12:00 AM",BOTAD,78,2024-12-31,7.2,2.163448,382,367,309,309,1.3659136,2024-01-01,30.68016666666667,Gunda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.65874496150686,22.38678044824998]}"
11_0,0.13,0.0695043,0.64,1,5.08,0.09890645,257,13.8,400,0.28323117,0.57,23,0.10085054,12.8,0.23986666,0.16399139,-0.7933689549990339,0.96,270.0,312,327,"3/7/24, 12:00 AM",BOTAD,66,2024-12-31,7.2,2.206187,400,383,288,291,1.0027525,2024-01-01,30.593833333333336,Umrala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.70725398684931,22.35417160343644]}"
14_0,0.26,0.069253765,0.04,0.4,4.04,0.09614409,210,11.28,470,0.25683978,0.67,18,0.11331828,28.8,0.21225807,0.15162903,0.7470422705681096,0.88,90.0,302,317,"3/7/24, 12:00 AM",BOTAD,65,2024-12-31,6.8,2.206187,393,376,305,307,3.005846,2024-01-01,30.581405405405405,Dharpipla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.70375055724124,22.35605806553309]}"
18_0,0.31,0.06097234,0.28,1.5,3.26,0.08416702,303,16.2,539,0.29459575,0.77,27,0.09492873,13,0.21819574,0.15349042,-1.1807734590561625,1.14,340.1966,266,268,"3/22/24, 12:00 AM",BOTAD,145,2024-12-31,7.4,2.2624679,459,453,275,279,2.9547477,2024-01-01,30.772421052631575,Zariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.44261030414769,22.226431170034644]}"
