system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.13,0.08088947,0.24,1.36,7.15,0.10964868,224.3,9.91,291,0.25899604,0.69,54.6,0.14406052,6,0.31298554,0.25032896,-1.2298869958122345,0.65,-0.0,261,272,"1/21/24, 12:00 AM",DOHAD,272,2024-12-31,8.01,2.7647104,376,368,363,360,4.6273675,2024-01-01,30.628799999999995,Junapani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.39195904496891,22.88830987137391]}"
1_0,0.24,0.0688,0.61,1.11,6.55,0.09235949,246.2,9.45,202.1,0.21004558,0.33,28.6,0.11933544,12,0.24145064,0.18761012,-0.4146743657818306,0.99,312.66263,321,321,"1/21/24, 12:00 AM",DOHAD,363,2024-12-31,8.14,2.753191,356,357,322,322,2.7351737,2024-01-01,30.79737142857143,Kali Talai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.21247565120183,22.84384326480999]}"
2_0,0.28,0.08575,0.23,0.46,4.36,0.12645,224.3,9.45,229.9,0.31238124,0.44,41.6,0.1486775,8,0.3099,0.23489875,-1.8785119868039102,0.42,160.12013,275,279,"1/26/24, 12:00 AM",DOHAD,333,2024-12-31,7.68,2.75712,337,333,387,388,2.9561684,2024-01-01,30.507555555555555,Tarvadiya Vaja,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.33806012792174,22.804227560780323]}"
3_0,0.16,0.11626543,0.41,1.8,10.25,0.1387963,295.4,9.85,268.8,0.2608605,0.6,36.4,0.15904197,7,0.28200617,0.23663087,-1.8007341793165699,0.44,132.66704,273,280,"1/26/24, 12:00 AM",DOHAD,318,2024-12-31,7.96,2.75712,329,323,399,397,2.7349448,2024-01-01,30.46708108108108,Vanbhori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.33267023621703,22.822822687161594]}"
4_0,0.22,0.1316037,0.62,0.83,9.45,0.16251728,153.2,5.47,202.1,0.27497655,0.33,39,0.19644567,6,0.3239679,0.28626296,-1.1075934703108974,0.69,312.667,273,280,"1/26/24, 12:00 AM",DOHAD,318,2024-12-31,8.01,2.75712,329,323,399,397,1.3682532,2024-01-01,30.46708108108108,Vanbhori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.33240074163179,22.82309218174683]}"
5_0,0.25,0.088170886,0.32,1.56,6.58,0.11555063,164.1,7.66,279.9,0.23958229,0.64,33.8,0.16498354,2,0.35435697,0.32204178,-2.2340246491152844,0.95,208.48166,280,286,"1/26/24, 12:00 AM",DOHAD,315,2024-12-31,7.42,2.8028538,321,317,399,397,4.2131987,2024-01-01,30.549567567567568,Tarvadia Himat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.352073846354,22.84060932978716]}"
6_0,0.21,0.07859874,0.5,1.62,10.65,0.10491519,180.5,6.75,263.2,0.25567976,0.58,49.4,0.14220253,9,0.3316823,0.2687962,-2.0277743816072094,0.33,215.88155,280,286,"1/26/24, 12:00 AM",DOHAD,314,2024-12-31,7.25,2.8028538,321,317,399,397,3.4300709,2024-01-01,30.549567567567568,Tarvadia Himat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35180435176876,22.84060932978716]}"
7_0,0.24,0.088170886,0.56,0.45,5.1,0.11555063,153.2,8.95,196.5,0.23958229,0.31,49.4,0.16498354,8,0.35435697,0.32204178,-2.2340246491152844,0.95,208.48166,280,286,"1/26/24, 12:00 AM",DOHAD,315,2024-12-31,6.56,2.8028538,321,317,399,397,4.2131987,2024-01-01,30.549567567567568,Tarvadia Himat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.352073846354,22.84060932978716]}"
8_0,0.2,0.09357975,0.58,1.15,5.08,0.13158987,295.4,9.15,174.3,0.3023076,0.22,44.2,0.16566962,18,0.36690378,0.30254176,-2.4146459625616865,0.65,203.46594,274,279,"1/21/24, 12:00 AM",DOHAD,286,2024-12-31,8.02,2.8303344,359,355,367,367,5.042506,2024-01-01,30.53714285714285,Himala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.41459659012872,22.863246874946974]}"
9_0,0.3,0.09518974,0.4,0.44,3.25,0.12218462,218.8,4.05,179.8,0.28382564,0.24,49.4,0.13955897,15,0.31875384,0.24831666,-0.8473520135973871,0.69,331.5257,299,305,"1/23/24, 12:00 AM",DOHAD,298,2024-12-31,7.96,2.7731552,323,318,378,377,2.1093044,2024-01-01,30.464800000000007,Nani Kharaj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.27580687873225,22.798837669075603]}"
