system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.4,0.05924884,0.51,0.8,7.84,0.08150465,269,1.03,168,0.2197093,0.47,99,0.0858814,42,0.23190233,0.16848604,1.3105266992801412,1.58,313.04718,292,296,"3/5/24, 12:00 AM",GIR SOMNATH,46,2024-12-31,7.52,3.6777153,370,367,339,336,1.3585067,2024-01-01,30.633166666666668,Anand Para,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.57429875051777,20.92396383958975]}"
1_0,0.53,0.105303295,1.75,0.6,6.44,0.13732198,228,1.51,225,0.29646593,0.38,43,0.1631967,13,0.3522956,0.27093846,-0.9103628199646294,1.1,144.5041,357,388,"2/9/24, 12:00 AM",GIR SOMNATH,22,2024-12-31,7.8,3.2784474,326,315,317,297,3.4135668,2024-01-01,30.774,Siloj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.00306463562802,20.80835066252357]}"
2_0,0.24,0.0607907,0.12,0.72,1.42,0.08835116,457,0.56,213,0.22619535,0.6,61,0.107309304,8,0.30017442,0.22982791,-1.5663413295095607,3.59,115.024055,277,287,"3/11/24, 12:00 AM",GIR SOMNATH,60,2024-12-31,7.64,3.7923594,373,364,349,349,2.1915872,2024-01-01,30.597166666666666,Moraj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.45113972506498,20.990798496728242]}"
3_0,0.33,0.052482978,0.31,0.52,4.12,0.07992553,202,0.69,300,0.34389362,0.84,39,0.0620383,46,0.17983617,0.103570215,0.04517849859654708,2.36,295.04947,341,359,"2/28/24, 12:00 AM",GIR SOMNATH,18,2024-12-31,7.64,3.1998544,307,301,351,339,4.37264,2024-01-01,30.63474285714286,Inchvad Nani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.69664929221484,20.817243983836352]}"
4_0,0.37,0.047068182,1.74,0.63,8.16,0.070239775,484,1.6,335,0.3452193,0.56,33,0.052235227,54,0.19173522,0.10078068,2.7727490607804772,0.59,-0.0,292,303,"2/14/24, 12:00 AM",GIR SOMNATH,32,2024-12-31,7.18,2.948859,362,358,346,340,0.0,2024-01-01,30.77125714285715,Sonari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.94081138643853,20.792180987409417]}"
5_0,0.58,0.05381591,0.3,0.72,9.88,0.07949318,202,1.64,201,0.24468409,0.56,49,0.085561365,40,0.24741364,0.18782045,-1.3982545663702206,0.27,180.0,284,291,"3/6/24, 12:00 AM",GIR SOMNATH,36,2024-12-31,7.79,3.5543368,409,401,307,308,1.8543341,2024-01-01,30.743666666666666,Lodhva,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.57834116929631,20.861710590400268]}"
6_0,0.28,0.05840909,0.22,0.53,1.12,0.080897726,121,0.54,114,0.2468,0.32,32,0.090361364,17,0.24769545,0.17497273,3.6054040931410998,3.96,156.83179,332,336,"3/21/24, 12:00 AM",GIR SOMNATH,16,2024-12-31,7.89,2.9915237,359,358,309,306,5.031283,2024-01-01,30.796914285714294,Bodidar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.87640218056717,20.81993892968871]}"
7_0,0.34,0.06435814,0.5,0.41,7.04,0.08909767,349,1,294,0.23908372,0.82,8,0.104693025,33,0.28227443,0.21933721,-1.0869163098330574,0.18,133.05559,288,298,"3/7/24, 12:00 AM",GIR SOMNATH,45,2024-12-31,7.64,3.5543368,376,371,336,331,1.3582933,2024-01-01,30.712540540540548,Thareli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.57349026676206,20.87976672761107]}"
8_0,0.41,0.051581394,0.14,0.7,6.92,0.078709304,202,1.94,162,0.2908186,0.45,75,0.06697442,8,0.20260698,0.12575349,2.7724448700532247,3.88,-0.0,336,353,"3/6/24, 12:00 AM",GIR SOMNATH,20,2024-12-31,7.73,3.1998544,317,311,347,335,0.0,2024-01-01,30.60097142857143,Bhuva Timbi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.67212528495838,20.838534056069985]}"
9_0,0.44,0.044677272,0.14,0.51,8.92,0.069045454,336,0.78,159,0.21940455,0.45,16,0.06657954,54,0.19850682,0.13391818,-0.7059174259863804,0.23,-0.0,295,307,"3/7/24, 12:00 AM",GIR SOMNATH,57,2024-12-31,7.47,3.9643083,364,355,340,338,0.92740995,2024-01-01,30.542166666666667,Gunvantpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.50773358796451,20.984600121267817]}"
