system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.11,0.0693149,0.9,0.75,3.56,0.09492553,363,5.07,224,0.2381149,0.38,51,0.1218,13,0.26522765,0.20940213,4.562653232035946,0.36,-0.0,256,262,"4/5/24, 12:00 AM",JUNAGADH,88,2024-12-31,7.54,3.8315423,417,412,327,326,0.0,2024-01-01,30.795444444444442,Jangar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.41610542898432,21.072455356054707]}"
2_0,0.26,0.05059778,0.1,0.92,4.56,0.07187334,363,4.07,340,0.24690667,0.57,51,0.079617776,13,0.22453555,0.16324666,-0.7065033466767581,0.17,180.0,248,253,"4/9/24, 12:00 AM",JUNAGADH,93,2024-12-31,7.26,3.8315423,415,412,336,335,0.92740995,2024-01-01,30.803243243243244,Dhrabavad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.43658701746224,21.07407232356612]}"
3_0,0.18,0.046789363,0.51,0.5,5.3,0.07266596,108,2.84,130,0.25900427,0.22,28,0.072844684,17,0.1995617,0.13444468,-1.4726251188517299,0.49,270.0,235,244,"4/4/24, 12:00 AM",JUNAGADH,158,2024-12-31,7.2,2.8528788,391,380,374,376,1.9909055,2024-01-01,30.757333333333335,Rajpara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.79205037538834,21.35326871387047]}"
5_0,0.23,0.05616087,0.53,0.62,3.68,0.07731956,349,2.92,285,0.21675217,0.48,63,0.0905087,13,0.2156674,0.16770652,-0.7082382895708522,0.25,-0.0,267,267,"4/6/24, 12:00 AM",JUNAGADH,100,2024-12-31,6.99,3.379199,379,376,355,357,0.92740995,2024-01-01,30.69074285714286,Shobhavadla Gir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.59478033899569,21.33494308207443]}"
6_0,0.55,0.059073333,0.07,0.7,5.17,0.07879778,175,5.37,279,0.21598445,0.47,43,0.095924444,29,0.20239556,0.15970445,6.2545449000028155,0.84,-0.0,250,261,"4/3/24, 12:00 AM",JUNAGADH,44,2024-12-31,7.6,3.113424,387,384,363,354,0.92740995,2024-01-01,30.655500000000004,Nandarkhi (Ranijividi),"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.38834748670503,21.5308656455409]}"
7_0,0.12,0.060461365,0.36,0.47,4.05,0.08292727,363,2.79,177,0.23680682,0.3,59,0.099415906,29,0.22832273,0.16895227,3.3134964099393316,0.57,344.9803,222,231,"4/30/24, 12:00 AM",JUNAGADH,99,2024-12-31,7.23,4.0406475,385,378,393,391,3.8354523,2024-01-01,30.71124324324324,Ambala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.42553773946757,21.293979905118583]}"
8_0,0.41,0.1056,0.21,0.49,2.43,0.12965,376,4.25,206,0.2235,0.35,16,0.15820834,25,0.30920416,0.26672292,0.0072287023435964135,0.29,312.97134,209,216,"4/5/24, 12:00 AM",JUNAGADH,274,2024-12-31,7.26,2.7909243,445,439,346,345,1.3604351,2024-01-01,30.749081081081084,Vekariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.91413142250018,21.3174259340341]}"
9_0,0.28,0.06335532,0.3,0.55,8.69,0.0893766,161,6.86,171,0.299583,0.8,20,0.0901766,13,0.21780212,0.1511,-1.5267074804326686,0.22,28.201,223,252,"3/28/24, 12:00 AM",JUNAGADH,15,2024-12-31,7.42,4.3264494,365,348,413,400,2.10389,2024-01-01,30.41721052631579,Nunarda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.07977618660998,21.17890571722287]}"
10_0,0.37,0.05468222,0.25,0.63,8.4,0.078484446,94,3.15,159,0.27525777,0.44,59,0.080962226,29,0.22486,0.15067555,-2.3656337360282307,0.74,124.91585,262,274,"4/29/24, 12:00 AM",JUNAGADH,88,2024-12-31,7.59,3.4648871,400,396,338,331,4.849681,2024-01-01,30.540486486486493,Vijapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.48240109695234,21.45675463460104]}"
11_0,0.28,0.040997777,0.1,0.7,5.84,0.061533336,188,5.69,419,0.18362223,0.7,37,0.07625778,54,0.18892223,0.14234444,0.3914962298719435,0.21,-0.0,268,271,"4/18/24, 12:00 AM",JUNAGADH,78,2024-12-31,7.25,4.246349,391,385,341,343,0.92740995,2024-01-01,30.83538888888889,Akala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.37056084407946,21.16596997713155]}"
