system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.3831,0.09854898,0.63,1.09,2.04,0.12935919,338.82343750000007,2.35,214.23999999999995,0.24738775,0.52,34.55,0.16033877,19.94907230693556,0.29528776,0.25295714,-0.7069703260824264,0.152,312.57642,225,234,"7/6/24, 12:00 AM",KACHCHH,25,2024-12-31,7.87,2.105557,549,537,226,229,2.739643,2024-01-01,30.907421052631584,Modpar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.5888514581205,23.250510593930898]}"
1_0,0.48018,0.120875,0.636,0.66,2.86,0.16540208,382.53333333333336,2.39,276.04,0.32283333,0.67,31.08,0.21229167,30.88508411214953,0.40173125,0.33627293,-1.113620065210156,0.112,47.44589,244,275,"7/6/24, 12:00 AM",KACHCHH,23,2024-12-31,7.95,1.671441,516,489,240,236,1.3711855,2024-01-01,30.73543589743589,Karmariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.39023394880168,23.35453550383194]}"
2_0,0.5008,0.092835166,0.5,0.13,5.17,0.1421912,393.3890625,3.75,201.88,0.29467362,0.49,34.55,0.19377473,18.24384062961141,0.40036595,0.3081967,2.8601067753647733,0.11,208.595,224,252,"7/6/24, 12:00 AM",KACHCHH,100,2024-12-31,8.16,1.6622264,534,505,241,243,2.1117194,2024-01-01,30.7071052631579,Gamdau,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.46757889476437,23.472035142994773]}"
3_0,0.44018,0.15362978,0.84,0.9,6.99,0.177,223.14906250000004,5.819999999999999,412,0.28865105,1,32.58,0.20288084,17.018093457943927,0.28673404,0.24345745,-2.712400490265197,0.86,342.74683,241,253,"7/12/24, 12:00 AM",KACHCHH,103,2024-12-31,8.53,2.0053627,587,565,172,182,6.766701,2024-01-01,30.730999999999995,Khedoi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.94529838857729,23.07830355396519]}"
4_0,0.22124,0.08949743,0.266,0.53,7.982000000000001,0.12336923,368.86817708333336,12.03,119.48,0.30610514,0.29,34.05,0.1412641,18.662,0.30681282,0.23732564,-0.44516372790619807,0.54,208.53929,229,230,"7/13/24, 12:00 AM",KACHCHH,10,2024-12-31,8.52,1.8573391,439,438,331,332,2.1106026,2024-01-01,30.467853658536587,Prajau,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.80479730385913,23.164272326655425]}"
5_0,0.04708,0.10673265,0.76,0.01,5.75,0.16976327,162.26,9.75,238.96,0.35215715,0.58,24.034,0.21939388,18.72,0.42216736,0.33237755,-1.1136271303192857,0.28,47.446068,196,223,"7/13/24, 12:00 AM",KACHCHH,18,2024-12-31,7.42,1.428822,558,528,246,249,1.3711902,2024-01-01,30.8048947368421,Khirsara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.07762022992809,23.35534398758765]}"
6_0,0.09416,0.06503077,0.244,0.65,8.82,0.09234103,472.15,11.63,181.28,0.24974872,0.44,23.64,0.10448718,44.304,0.25203076,0.18305898,-1.8810731575141522,0.8,160.07745,230,237,"7/13/24, 12:00 AM",KACHCHH,12,2024-12-31,7.51,1.8922442,428,422,343,341,2.9569643,2024-01-01,30.510150000000003,Vanku,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.8427960403774,23.1189972363358]}"
7_0,1.0593,0.080650575,0.16,0.41,6.42,0.11323448,377.72,6.38,255.44,0.26429886,0.62,14.77,0.13955288,48.048,0.29450345,0.24415632,-1.1079762750727422,1.6,47.340244,267,263,"7/5/24, 12:00 AM",KACHCHH,13,2024-12-31,9.53,2.297917,446,446,288,291,1.3684405,2024-01-01,30.685800000000008,Kathda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.31252510244349,22.85758748865702]}"
8_0,0.04708,0.08271975,0.66,1.04,12.159999999999997,0.121087655,504.07,15.219999999999995,123.6,0.27604073,0.3,40.96,0.17933087,73.944,0.32392716,0.2782037,-0.7228615894330888,0.01,180.0,257,265,"7/15/24, 12:00 AM",KACHCHH,117,2024-12-31,7.75,1.6218201,519,507,223,227,0.92740995,2024-01-01,30.727333333333334,Khombhdi Moti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.1238788927784,23.405739475026753]}"
9_0,0.61204,0.0647,0.79,0.6,10.24,0.10140417,766.08,9.82,267.8,0.25903612,0.65,35.52,0.13004862,32.76,0.28376248,0.22759861,-1.8837552366035355,0.17,160.03253,214,223,"7/15/24, 12:00 AM",KACHCHH,63,2024-12-31,7.67,1.6081606,468,462,319,315,2.9578042,2024-01-01,30.658564102564107,Bhunjay Nani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.94250903691466,23.444546695300716]}"
