system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.36,0.09672346,0.7,0.19,6.46,0.12912592,339.1,2.58,261.2,0.298721,0.61,24.8,0.1609679,10.95,0.30927286,0.25544322,-0.8020587159349121,0.68,270.0,328,335,"3/21/24, 12:00 AM",KHEDA,64,2024-12-31,6.7,3.0968277,327,327,345,337,1.0071543,2024-01-01,30.465771428571433,Vasna,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.05742185888094,22.95568351768287]}"
2_0,0.87,0.10936236,3.86,0.19,4.76,0.13040353,471.8,7.5,226.7,0.27848354,0.43,31.5,0.13526589,18.76,0.2430847,0.19281293,1.7057955573150025,0.66,340.13345,341,357,"3/29/24, 12:00 AM",KHEDA,33,2024-12-31,7.7,3.415009,309,302,350,342,2.9559202,2024-01-01,30.511333333333337,Sokhda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83724478274326,22.704784058828288]}"
3_0,1.33,0.07172273,0.7,0.34,6.46,0.09124091,169,7.5,186.4,0.3004841,0.48,27,0.0912,10.95,0.23971818,0.16265681,-0.8016588579591603,1.1,90.0,348,368,"1/23/24, 12:00 AM",KHEDA,62,2024-12-31,7.9,3.1283453,314,307,337,324,1.0069518,2024-01-01,30.519055555555546,Dampat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.03208936786878,22.928195069988814]}"
5_0,0.34,0.08535977,0.46,0.22,5.68,0.1093908,508.1,4.2,229.5,0.2762115,0.77,24.8,0.11293908,13.66,0.24735172,0.17667241,-1.940951685583896,1.24,252.8967,308,322,"3/27/24, 12:00 AM",KHEDA,21,2024-12-31,7.6,3.6504502,323,313,369,364,3.1505291,2024-01-01,30.358432432432426,Sinjiwada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.61679821202033,22.61504236194475]}"
6_0,0.34,0.08535977,0.5,0.58,7.08,0.1093908,581.8,5,249.5,0.2762115,0.7,36,0.11293908,10.95,0.24735172,0.17667241,-1.940951685583896,1.14,252.8967,308,322,"4/2/24, 12:00 AM",KHEDA,21,2024-12-31,8,3.6504502,323,313,369,364,3.1505291,2024-01-01,30.358432432432426,Radhu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.61679821202033,22.61504236194475]}"
7_0,0.59,0.1683,3.26,0.94,4.74,0.18579765,409.6,5.92,163.6,0.2756847,0.19,72,0.20547764,11.68,0.30836588,0.27574706,-0.42939960547161704,0.66,-0.0,292,306,"3/26/24, 12:00 AM",KHEDA,18,2024-12-31,7.7,3.5969455,333,322,375,372,2.7802885,2024-01-01,30.45500000000001,Asamali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.53217691225626,22.611538932336682]}"
8_0,0.86,0.12781163,0.72,0.19,7.06,0.14585581,201.2,14.46,257.1,0.29394186,0.96,18,0.15495348,7.91,0.28156978,0.23777674,-1.543339852214114,2.72,151.46938,343,350,"3/22/24, 12:00 AM",KHEDA,86,2024-12-31,7.5,3.0101516,314,312,343,338,2.1104293,2024-01-01,30.655705882352937,Shihora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.03262835703924,23.11576330131297]}"
12_0,0.72,0.25430483,0.38,0.31,9.12,0.27493614,239.5,8.92,215.6,0.32046866,0.66,47.3,0.2972988,7.26,0.31529278,0.28795904,-2.0262922581719085,0.84,35.85122,353,369,"2/28/24, 12:00 AM",KHEDA,39,2024-12-31,7.6,3.5702927,312,304,334,327,3.4287617,2024-01-01,30.486235294117638,Mithana Muvada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84236517986274,22.688344889128903]}"
13_0,0.66,0.084126435,0.32,0.22,5.1,0.1057908,206.3,9.6,173.8,0.28200918,0.22,47.3,0.10800805,12.9,0.24654253,0.17512414,-2.206224420380291,0.78,227.33342,349,346,"3/28/24, 12:00 AM",KHEDA,31,2024-12-31,7.2,3.492421,296,298,355,357,4.098567,2024-01-01,30.44194594594595,Vadadla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71974514358043,22.824978643843483]}"
16_0,0.65,0.22536455,0.86,0.62,3.46,0.24905443,150.4,12.66,305.4,0.32407215,0.8,27,0.2757481,11.93,0.33125824,0.29070634,-0.10503079497893755,1.12,90.0,225,252,"2/17/24, 12:00 AM",KHEDA,50,2024-12-31,7.7,3.3192976,463,443,312,305,1.005184,2024-01-01,30.519333333333332,Golaj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.1231785376785,22.688883878299375]}"
17_0,0.3,0.123516254,3.06,0.5,6.94,0.14242,493.6,4.64,144.2,0.2492225,0.23,33.8,0.1605825,11.38,0.26777,0.2282225,-1.9441607218465988,1.44,252.92393,295,302,"2/20/24, 12:00 AM",KHEDA,55,2024-12-31,7.2,3.2646298,349,351,356,347,3.1553931,2024-01-01,30.578787878787878,Vithalpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.05499640761383,22.846268716077116]}"
19_0,0.75,0.14426842,2.9,1.15,6.7,0.1718079,186.7,8.8,338.6,0.30370528,0.89,27,0.19186053,8.02,0.31027105,0.24402894,-2.0273186560597622,0.44,144.12772,267,287,"2/16/24, 12:00 AM",KHEDA,65,2024-12-31,7.4,3.237044,411,394,322,319,3.4296706,2024-01-01,30.403764705882356,Pipalvada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.2059133753459,22.794256261126595]}"
20_0,0.61,0.075225644,0.96,0.63,2.54,0.10130513,331.8,8.82,255.1,0.28065383,0.55,51.8,0.116966665,11.38,0.26216152,0.20169231,0.5014752500831184,0.88,47.339954,316,316,"2/29/24, 12:00 AM",KHEDA,71,2024-12-31,7.5,2.9800282,323,320,361,365,1.368433,2024-01-01,30.582470588235296,Padal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.3231435199235,22.85624001573084]}"
21_0,0.62,0.22719398,2.4,0.59,7.5,0.24718434,444.9,4.36,194.4,0.3292952,0.56,29.3,0.26396143,11.38,0.32248795,0.2753518,-2.0262922581719085,2.84,35.85122,353,369,"3/28/24, 12:00 AM",KHEDA,39,2024-12-31,7.3,3.5702927,312,304,334,327,3.4287617,2024-01-01,30.486235294117638,Mulaj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84263467444796,22.688344889128903]}"
23_0,0.14,0.10285057,0.42,0.66,4.88,0.12936552,303.8,8.44,339.9,0.30415404,0.88,47.3,0.1491908,9.32,0.31613678,0.23912989,-2.4151723607524644,0.36,156.52446,339,353,"4/1/24, 12:00 AM",KHEDA,44,2024-12-31,7.2,3.2654722,304,302,356,345,5.0428715,2024-01-01,30.65935294117647,Nayaka,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.54996355488183,22.925500124136455]}"
24_0,0.72,0.07995955,1.06,0.82,11.06,0.10212696,450.1,4.52,175.9,0.25107527,0.25,31.5,0.115530334,8.13,0.22557303,0.15881124,-1.5408779825996635,1,208.48172,344,349,"4/2/24, 12:00 AM",KHEDA,32,2024-12-31,7.4,3.5469706,297,297,359,354,2.109452,2024-01-01,30.388432432432428,Kathwada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.65425795936811,22.840878824372396]}"
25_0,0.41,0.077077106,1.18,0.32,4.66,0.095278315,354.7,6.98,167.9,0.27991927,0.34,42.8,0.111324094,17.13,0.26814818,0.17743494,-0.8988017551381543,1.66,114.714096,324,342,"3/22/24, 12:00 AM",KHEDA,74,2024-12-31,8.2,3.147266,341,333,336,325,2.2172894,2024-01-01,30.56605555555556,Sorna,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.08356283364883,23.001767091758204]}"
26_0,0.19,0.12593678,0.74,0.56,6.08,0.14657587,457.3,2.68,211.1,0.26481035,0.37,56.3,0.16546896,10.73,0.2922161,0.23908621,-1.7984012311289894,1.06,47.289196,310,321,"4/2/24, 12:00 AM",KHEDA,27,2024-12-31,8.3,3.6504502,322,320,368,359,2.7326846,2024-01-01,30.357888888888894,Varsang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.61868467411698,22.6131558998481]}"
28_0,0.92,0.07488588,2.88,0.84,6.78,0.097311765,186.7,7.58,301.7,0.27443412,0.74,36,0.10411529,18.76,0.24784,0.17917646,-2.212959787732601,1.56,282.97162,362,368,"3/27/24, 12:00 AM",KHEDA,47,2024-12-31,7.4,3.357292,313,312,325,321,4.1248074,2024-01-01,30.45241176470589,Karoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87739947594339,22.870523228748343]}"
29_0,0.41,0.14326552,0.22,0.95,4.78,0.16383792,216.7,12.4,215.6,0.24478851,0.39,54,0.19717586,18.76,0.31053448,0.28311265,2.067139240399275,0.22,-0.0,369,383,"3/27/24, 12:00 AM",KHEDA,27,2024-12-31,6.9,3.6872733,292,286,339,332,0.0,2024-01-01,30.287027027027012,Nandoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.67985994496551,22.617198318626638]}"
31_0,0.48,0.14081395,0.44,0.61,6.76,0.16115116,340.1,8.7,262.6,0.27281395,0.51,18,0.1777372,12.36,0.29593024,0.24970697,-1.1108933159235947,1.48,132.60515,343,350,"3/22/24, 12:00 AM",KHEDA,87,2024-12-31,7.5,3.0101516,314,312,343,338,1.3698574,2024-01-01,30.655705882352937,Shihora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.03181987328354,23.11576330131297]}"
32_0,0.68,0.06333947,0.72,0.4,7.32,0.08764737,168,2.86,209.2,0.29536054,0.21,38.3,0.094223686,26.56,0.25250527,0.18457106,-0.23828401419791562,0.6,324.07202,220,238,"2/29/24, 12:00 AM",KHEDA,95,2024-12-31,6.7,3.1201262,385,377,394,385,3.4320798,2024-01-01,30.429555555555552,Mahi Itadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.47082655263276,23.071296694749055]}"
33_0,1.06,0.0762875,1.04,0.41,5.02,0.110055,305.9,11.24,283,0.308885,0.68,49.5,0.1274125,15.29,0.292675,0.2216975,-0.8054370659473323,1.18,270.0,289,293,"2/20/24, 12:00 AM",KHEDA,143,2024-12-31,7.6,2.8465261,348,349,363,358,1.0088712,2024-01-01,30.499277777777777,Salun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.39509857418147,23.18475391513335]}"
35_0,0.72,0.10345443,3.56,0.48,6.54,0.12483797,360.9,4.82,260.8,0.31845063,0.63,38.3,0.12570126,4.66,0.2465595,0.18615316,-1.36410031544045,0.98,238.40578,233,258,"2/17/24, 12:00 AM",KHEDA,52,2024-12-31,7.8,3.3192976,457,438,310,304,3.5362196,2024-01-01,30.519333333333332,Vajewal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.1185971297295,22.69103983498126]}"
37_0,0.56,0.14661686,2.5,0.24,4.86,0.17266741,470.8,4.92,265.7,0.25168538,0.64,27,0.20121573,16.81,0.33112586,0.2977281,-0.7262077447711082,1.16,-0.0,196,207,"3/26/24, 12:00 AM",KHEDA,206,2024-12-31,7.6,3.0993135,410,407,395,386,0.92740995,2024-01-01,30.585135135135133,Alindra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09676806832539,23.85202250817733]}"
38_0,0.81,0.09250526,0.66,0.79,5.06,0.109007895,368.1,2.26,167.2,0.19020526,0.19,24.8,0.11777895,6.51,0.21511053,0.17688684,-1.5901194333435709,1.04,294.7361,324,319,"2/29/24, 12:00 AM",KHEDA,81,2024-12-31,6.7,2.9800282,321,325,355,357,2.2154422,2024-01-01,30.5534705882353,Menpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.33823521669672,22.86459434787315]}"
39_0,0.78,0.09621059,0.28,0.63,5.68,0.11365177,291.4,14.54,254.6,0.25528353,0.59,67.5,0.115234114,18.11,0.22364353,0.17049412,1.3506925385354607,0.34,331.54224,341,357,"3/20/24, 12:00 AM",KHEDA,35,2024-12-31,8.1,3.415009,309,302,350,342,4.2122498,2024-01-01,30.511333333333337,Vina,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8375142773285,22.704784058828288]}"
40_0,0.64,0.14049295,0.32,0.85,10.26,0.15816706,422.1,8.7,245.1,0.23205176,0.87,58.5,0.18309882,14.64,0.27772942,0.24812235,-1.798540486294769,1.5,47.29185,338,350,"3/26/24, 12:00 AM",KHEDA,35,2024-12-31,7.9,3.5462465,333,325,329,325,2.7328215,2024-01-01,30.413333333333334,Akhdol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8391312448399,22.625822145354185]}"
41_0,0.75,0.19469886,2.45,0.7,5.14,0.21335748,238.5,6.68,207,0.2670529,0.6,22.5,0.2388816,14.2,0.2929862,0.26271608,0.6682153605010865,1.26,180.0,320,330,"3/20/24, 12:00 AM",KHEDA,33,2024-12-31,8,3.2640903,361,356,320,315,0.92740995,2024-01-01,30.591454545454543,Aljada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84155669610703,22.7522151058298]}"
42_0,0.12,0.09744197,0.68,0.95,5.58,0.118867904,463.5,9.56,205.3,0.27719137,0.53,29.25,0.12571111,4.55,0.24083333,0.17674074,-0.7170676852266763,0.5,180.0,355,360,"3/19/24, 12:00 AM",KHEDA,30,2024-12-31,7.5,3.5709615,323,318,322,321,0.92740995,2024-01-01,30.38383333333334,Petli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.76232528804769,22.61046095399574]}"
43_0,0.09,0.22045764,0.54,0.6,3.5,0.24371412,363,2.22,194.1,0.30450588,0.53,31.5,0.26212823,17.24,0.3109153,0.2788141,-1.7992530944965726,1.16,132.6948,353,369,"3/28/24, 12:00 AM",KHEDA,34,2024-12-31,7.4,3.5702927,312,304,334,327,2.7335105,2024-01-01,30.486235294117638,Hajatiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84398214737415,22.689961856640316]}"
44_0,0.85,0.20421538,2.42,0.6,5.8,0.23289487,312.1,6.3,223,0.31696412,0.76,63,0.26340255,11.6,0.29404873,0.25042307,9.402207704701047,1.3,340.12726,217,238,"3/28/24, 12:00 AM",KHEDA,51,2024-12-31,7.3,3.372554,424,407,358,355,2.9560359,2024-01-01,30.46325714285714,Toraniya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.15956030668534,22.751137127488857]}"
45_0,0.65,0.09292809,0.44,0.17,9.14,0.13200673,319.4,7.94,282.3,0.27354157,0.66,42.8,0.14291236,10.63,0.21638651,0.16537416,-2.4136692672925304,2.34,203.44807,351,367,"4/3/24, 12:00 AM",KHEDA,19,2024-12-31,7.1,3.7245712,278,276,371,357,5.041827,2024-01-01,30.439055555555562,Matar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.68039893413598,22.746825214125085]}"
46_0,0.08,0.06858421,3.52,0.3,5.16,0.09224474,331.8,4.8,206.1,0.26771316,0.35,33.8,0.09221579,16.15,0.22758421,0.15513422,1.2562444230573224,2.5,19.892113,312,314,"2/27/24, 12:00 AM",KHEDA,74,2024-12-31,7.8,2.9800282,328,328,360,358,2.9563966,2024-01-01,30.36335294117648,Wanghroli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.30481788812746,22.895047236004803]}"
47_0,0.95,0.08371025,0.58,0.13,11.28,0.1003,427.2,2.76,319.6,0.23417436,0.79,45,0.10516154,6.18,0.20987949,0.1535641,-0.8984515157906902,0.9,65.281784,286,289,"3/22/24, 12:00 AM",KHEDA,83,2024-12-31,6.7,2.8525922,324,328,390,384,2.2169437,2024-01-01,30.657500000000002,Mal Itadi Baraiya Bhag,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.22585597465336,22.976165106160796]}"
48_0,0.5,0.08535977,0.68,0.57,3.52,0.1093908,572.4,12.4,250,0.2762115,0.52,22.5,0.11293908,12.03,0.24735172,0.17667241,-1.940951685583896,0.6,252.8967,308,322,"4/3/24, 12:00 AM",KHEDA,21,2024-12-31,7.9,3.6504502,323,313,369,364,3.1505291,2024-01-01,30.358432432432426,Rasikpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.61679821202033,22.61504236194475]}"
49_0,1,0.09146951,0.28,0.43,10.46,0.12133659,376.4,4.44,248.9,0.3164549,0.91,51.8,0.12392805,9.32,0.28110367,0.2122195,0.6549100605172499,2.88,208.51028,348,364,"1/17/24, 12:00 AM",KHEDA,66,2024-12-31,7.6,3.2941551,324,314,328,322,2.1100225,2024-01-01,30.4712,Manorni Muvadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.95797835692892,23.00203658634344]}"
51_0,0.64,0.10936236,0.6,0.43,4.52,0.13040353,164.9,10.36,288.1,0.27848354,0.66,38.3,0.13526589,3.9,0.2430847,0.19281293,1.7057955573150025,1.74,340.13345,341,357,"3/29/24, 12:00 AM",KHEDA,33,2024-12-31,6.9,3.415009,309,302,350,342,2.9559202,2024-01-01,30.511333333333337,Mahelaj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83724478274326,22.704784058828288]}"
54_0,0.78,0.1341878,0.6,0.62,5.2,0.15822805,337,8.82,239.4,0.30389145,0.5,42.8,0.1735878,10.41,0.28649145,0.23562805,-1.109654111589958,1.82,227.37175,333,349,"2/27/24, 12:00 AM",KHEDA,79,2024-12-31,7.2,3.147266,344,337,323,314,1.3692576,2024-01-01,30.56605555555556,Anghadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.08356283364883,23.006887488877684]}"
