system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.77,0.06222619,2.76,0.82,9.98,0.0789381,404,6.52,235.4,0.20153333,0.47,40,0.07825476,12,0.16388096,0.11399524,-1.8189215448958154,1.44,10.108441,389,389,"3/2/24, 12:00 AM",NAVSARI,71,2024-12-31,7.9,5.6366925,367,369,243,242,5.6344566,2024-01-01,30.5070303030303,Lakhawadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.2555003790293,20.79379795492083]}"
1_0,0.89,0.07219048,1.76,0.95,7.3,0.09559524,317,4.9,252.1,0.20659047,0.53,40,0.10964762,15,0.2083381,0.16659285,-0.13730268582375332,1.42,151.86055,390,390,"3/2/24, 12:00 AM",NAVSARI,66,2024-12-31,7.2,5.6366925,366,367,244,242,2.102681,2024-01-01,30.494303030303037,Lakhawadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.25307492776219,20.79325896575036]}"
2_0,0.83,0.060634483,3.5,0.57,7.98,0.08454598,349,9.12,246.6,0.25168735,0.51,29,0.083608046,12,0.19482644,0.1318908,-0.7718714923210632,2.34,270.0,389,386,"3/2/24, 12:00 AM",NAVSARI,76,2024-12-31,7.1,5.6366925,377,379,234,235,0.9919397,2024-01-01,30.5400625,Limbarpada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.25199694942124,20.782479182340925]}"
3_0,0.746,0.06317471,4.26,0.54,9.12,0.08618621,295,9.26,246.6,0.25025058,0.51,64,0.090093106,13,0.1988046,0.13533218,3.11098768883485,1.02,280.59128,389,386,"3/2/24, 12:00 AM",NAVSARI,75,2024-12-31,6.9,5.6366925,377,379,234,235,5.033159,2024-01-01,30.5400625,Limbarpada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.251727454836,20.781940193170453]}"
4_0,0.866,0.049226508,1.12,0.64,6.52,0.06558795,371,8.48,246.6,0.20986627,0.51,59,0.05943253,12,0.17279278,0.10812891,-1.0859602748039046,1,46.926376,375,375,"3/5/24, 12:00 AM",NAVSARI,76,2024-12-31,7.2,6.049658,384,384,241,241,1.3578361,2024-01-01,30.51066666666667,Kamboya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.2487630143984,20.78463513902281]}"
5_0,0.89,0.07135056,0.5,0.57,6.44,0.09041124,328,7.94,235.4,0.23382023,0.47,48,0.09211011,14,0.19161573,0.13870113,-1.3976676006702553,1.58,180.0,367,361,"3/5/24, 12:00 AM",NAVSARI,73,2024-12-31,7.6,6.049658,379,385,254,255,1.8543341,2024-01-01,30.515875,Kamboya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.23798323098897,20.771429904346256]}"
6_0,0.698,0.08272414,2.9,0.53,5.58,0.0964115,360,8.76,235.4,0.17260575,0.47,51,0.10027586,19,0.16875517,0.12475632,2.3635301701054394,1,90.0,367,367,"3/5/24, 12:00 AM",NAVSARI,67,2024-12-31,6.7,6.049658,370,373,263,260,2.9735918,2024-01-01,30.49127272727273,Kamboya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.24202564976751,20.79002503072753]}"
7_0,0.686,0.056382354,2.46,0.66,8.52,0.07381529,344,8.52,235.4,0.21935059,0.47,29,0.06762941,17,0.16553648,0.10557529,6.977482400799823,2.46,-0.0,372,375,"3/2/24, 12:00 AM",NAVSARI,52,2024-12-31,7.2,6.049658,375,379,253,245,0.0,2024-01-01,30.478787878787884,Doldha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.22801193133525,20.78786907404564]}"
8_0,0.902,0.098793335,1.52,0.7,8.78,0.11381333,333,9.26,224.3,0.24580888,0.42,56,0.11435778,13,0.22071111,0.16814445,2.079604673736409,1.7,-0.0,369,368,"3/2/24, 12:00 AM",NAVSARI,61,2024-12-31,7.4,6.049658,369,373,262,259,0.0,2024-01-01,30.48490909090909,Doldha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.23852222015944,20.79191149282418]}"
9_0,0.83,0.054811627,1.18,0.61,8.12,0.071911626,393,5.12,218.8,0.25995815,0.4,53,0.057939533,14,0.18078604,0.10363721,-0.2536709740855376,0.9,340.37598,373,376,"3/2/24, 12:00 AM",NAVSARI,57,2024-12-31,7.3,6.049658,366,372,261,253,2.9514403,2024-01-01,30.481636363636362,Doldha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.23582727430708,20.792989471165125]}"
