system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,0.22,0.0971,0.42,0.19,4.95,0.12297556,386,15.42,539,0.25801554,0.77,34,0.14820889,19,0.26309556,0.20938222,-1.9465917376197381,0.84,107.055466,201,220,"1/19/24, 12:00 AM",SURENDRANAGAR,50,2024-12-31,8.5,2.1496422,457,442,342,338,3.1590846,2024-01-01,30.55378378378379,Pipala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.3291530837634,23.020092723554242]}"
2_0,0.22,0.06533191,0.24,0.76,5.78,0.0965383,443,9.76,554,0.3033383,0.79,27,0.12315957,25,0.3026532,0.22532766,0.8366576719428888,1.08,227.364,266,273,"1/19/24, 12:00 AM",SURENDRANAGAR,64,2024-12-31,7.6,2.0608058,393,382,341,345,1.3690565,2024-01-01,30.51452631578947,Jiva,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.32726662166675,22.970236225285607]}"
3_0,0.39,0.13071667,0.58,0.5,4.6,0.16299888,163,8.6,539,0.25844,0.77,14,0.20244777,16,0.3154911,0.28521556,-1.1073432190332742,1.12,312.67163,306,314,"2/29/24, 12:00 AM",SURENDRANAGAR,69,2024-12-31,7.4,2.0268092,385,380,308,307,1.3681326,2024-01-01,30.748702702702708,karangadh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.66117041277397,22.800724131172256]}"
4_0,0.219,0.046516668,0.48,1.03,4.93,0.07116042,186.63,10.84,515.9,0.22615,0.737,16.4,0.08455833,17.6,0.2389375,0.17797083,1.4780931257336278,1.24,-0.0,267,265,"2/16/24, 12:00 AM",SURENDRANAGAR,82,2024-12-31,7.5,2.058934,372,368,361,368,0.92740995,2024-01-01,30.478000000000005,Dholi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.46470886013704,22.89989813853905]}"
5_0,0.44,0.053911764,0.2,0.3,7.05,0.076609805,274,9.44,289,0.23909412,0.59,24,0.08639804,14,0.18215883,0.12842157,-0.715360192966153,0.88,180.0,270,279,"1/31/24, 12:00 AM",SURENDRANAGAR,173,2024-12-31,7.5,2.2563114,477,465,253,256,0.92740995,2024-01-01,30.8918947368421,Navagam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.36769080945213,22.370071783965358]}"
6_0,0.44,0.07412584,0.44,0.8,2.4,0.10765618,233,8.96,631,0.2777056,0.9,21,0.13655281,19,0.28842023,0.23586516,-0.7996407301894132,0.94,270.0,256,273,"2/29/24, 12:00 AM",SURENDRANAGAR,87,2024-12-31,6.5,1.9390633,403,387,341,340,1.0059255,2024-01-01,30.673833333333334,Nagara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.55283358950916,22.789674853177583]}"
7_0,0.26,0.059625532,0.38,0.79,6.8,0.08992766,385,6.72,283,0.2725532,0.61,22,0.11010638,20,0.2816,0.20151064,2.067228335826193,1.1,-0.0,338,340,"3/2/24, 12:00 AM",SURENDRANAGAR,150,2024-12-31,7.7,2.2707505,422,417,240,243,0.0,2024-01-01,30.65716666666667,Vagadiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.28818990680755,22.60480156770579]}"
8_0,0.18,0.05881875,0.34,1.1,6.2,0.090435416,327,11.42,470,0.27543333,0.67,29,0.114127085,19,0.26676458,0.20969374,2.824456604380992,1.64,47.329,322,321,"3/1/24, 12:00 AM",SURENDRANAGAR,102,2024-12-31,6.9,2.0852568,404,398,274,282,1.3681493,2024-01-01,30.718944444444446,Liya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.29870019563175,22.803958066195086]}"
9_0,0.31,0.08448125,0.48,0.7,3.73,0.11554792,257,15,693,0.23265417,0.99,23,0.17154166,16,0.29076457,0.26511458,-1.104981901457137,0.82,227.28412,338,345,"2/14/24, 12:00 AM",SURENDRANAGAR,146,2024-12-31,7.5,2.2043211,395,385,267,270,1.3669888,2024-01-01,30.63211111111112,Khakharavali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.33023106210435,22.588631892591636]}"
10_0,0.35,0.08448125,0.4,0.5,3.62,0.11554792,210,13.8,631,0.23265417,0.9,18,0.17154166,24,0.29076457,0.26511458,-1.104981901457137,1.58,227.28412,338,345,"2/14/24, 12:00 AM",SURENDRANAGAR,146,2024-12-31,6.9,2.2043211,395,385,267,270,1.3669888,2024-01-01,30.63211111111112,Jamvali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.33023106210435,22.588631892591636]}"
