system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.51,0.06503864,0.11,0.426,5.29,0.09459318,420,1.74,0,0.2814057,0.429,24.08,0.099945456,40.68,0.20793068,0.15437046,-1.8762688596968702,1.1,-0.0,236,231,"3/12/24, 12:00 AM",FATEHABAD,225,2024-12-31,7.85,1.3748928,480,481,285,287,2.7802885,2024-01-01,30.221219512195127,Badalgarh(152),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.65346319845796,29.771740567468154]}"
1_0,0.6,0.06316511,0.381,0.64,3.893,0.09130698,322.77,3.431,0,0.3102093,0.56,33.58,0.09496744,165.06,0.21018605,0.15476047,-1.7491805994178449,1.448,40.81951,229,229,"3/12/24, 12:00 AM",FATEHABAD,212,2024-12-31,7.45,1.3957431,486,489,285,282,4.890439,2024-01-01,30.252049999999997,Alikan(173),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.44083197070687,29.739940206410324]}"
2_0,0.447,0.08761739,1.092,0.74,17.963,0.1286913,231.96,7.12,0,0.30596521,0.75,45.07,0.16193044,33.75,0.29914132,0.24569565,-2.4408976195456145,0.847,139.20924,199,192,"3/13/24, 12:00 AM",FATEHABAD,218,2024-12-31,7.46,1.5344704,472,480,329,328,4.8883314,2024-01-01,30.34605,Haroli(104),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.44352691655922,29.638071253191168]}"
3_0,0.563,0.06936444,0.989,0.84,13.005,0.097615555,325.01,8.349,0,0.28616667,0.63,61.27,0.108957775,42.5,0.21400666,0.16119334,-1.1979986221165673,0.828,229.00517,215,200,"3/14/24, 12:00 AM",FATEHABAD,217,2024-12-31,7.63,1.5452421,466,473,320,326,1.4135908,2024-01-01,30.273149999999994,Chando Kalan(143),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.6327121153948,29.642383166554943]}"
4_0,0.139,0.06927059,1.252,0.534,4.696,0.09913647,368.48,0.555,0,0.2611647,0.443,16.83,0.10400588,35.47,0.20884942,0.15939647,-1.1997388898188495,0.5,49.03686,273,265,"3/28/24, 12:00 AM",FATEHABAD,215,2024-12-31,7.54,1.3450514,465,473,262,262,2.8272595,2024-01-01,30.201365853658533,Pilchhian(175),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.42196734974036,29.754762408598296]}"
5_0,0.287,0.07288941,0.292,0.847,5.505,0.10872235,322.11,0.232,0,0.29126588,0.432,25.49,0.12356117,19.72,0.24755059,0.19490705,-1.510909299650937,0.5,343.92917,246,241,"3/23/24, 12:00 AM",FATEHABAD,214,2024-12-31,8.52,1.3682108,463,469,291,291,7.675443,2024-01-01,30.281024390243907,Ladhuwas(178),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.47451879386135,29.79545609096891]}"
6_0,0,0.06270484,0.935,0.7,10.398,0.092625804,198.6,1.203,0,0.23325484,0.7,28.78,0.10191129,158.91,0.20159355,0.15802258,-2.3039615247316187,1.059,330.12216,230,225,"2/29/24, 12:00 AM",FATEHABAD,219,2024-12-31,8.07,1.583076,487,494,283,281,4.270713,2024-01-01,30.353999999999996,Nehla(59),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.6305561587129,29.505749411840362]}"
7_0,0.52,0.11039149,1.082,0.84,9.014,0.14352766,210.87,2.312,0,0.29951277,0.56,14.15,0.16495958,37.13,0.2984234,0.24740851,-1.6029172952284698,0.866,270.0,210,202,"3/11/24, 12:00 AM",FATEHABAD,208,2024-12-31,7.67,1.4450004,515,524,275,274,2.1259367,2024-01-01,30.48082051282051,Ramsara(4),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.31282204271983,29.290962227407388]}"
8_0,0.6,0.10365647,0.8,0.71,1.15,0.13760588,434.57,0.53,0,0.23019648,0.61,25.85,0.18036471,57.92,0.25120705,0.22298706,-1.1949558484019243,2.116,311.05032,155,162,"3/29/24, 12:00 AM",FATEHABAD,219,2024-12-31,7.11,1.7801183,491,489,354,349,1.4120182,2024-01-01,30.261897435897435,Nehla(59),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77177132137649,29.44484363557706]}"
9_0,0,0.0718913,1.089,0.82,4.865,0.10167826,374.67,1.433,0,0.2732087,0.75,21.1,0.11373913,144.19,0.22705434,0.17472173,2.009259868255296,0.978,-0.0,227,204,"3/2/24, 12:00 AM",FATEHABAD,216,2024-12-31,8.16,1.6040827,488,507,284,288,0.0,2024-01-01,30.292666666666673,Majra(138),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.53138215134611,29.50009002555041]}"
