system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.197603288,0.08025529,0.849593935,0.375,6.559591293,0.11293647,153.1503194,18.73971077,0,0.30092472,0.27,23.55251506,0.123487055,87.94173936,0.24101412,0.18351765,-2.7017576268619616,1.474504811,90.0,224,221,"2/28/24, 12:00 AM",HISAR,221,2024-12-31,7.5,1.9289755,465,474,311,305,6.355275,2024-01-01,30.38757894736842,Rajli(25),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.85423666445867,29.30255049457253]}"
1_0,0.055748855,0.09423976,1.167510936,0.929,3.067237244,0.12408313,206.4210088,12.72967586,0,0.28499037,0.29,16.65363195,0.13623735,123.6211485,0.26016384,0.21005301,-0.21428433063132873,1.591875996,90.0,206,203,"3/7/24, 12:00 AM",HISAR,214,2024-12-31,7.6,1.761631,474,478,320,320,3.1833613,2024-01-01,30.412399999999998,Mirzapur(63),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78901897483159,29.17103713697743]}"
2_0,0.03,0.08572891,0.3,0.745,2.74,0.11878795,34.59,3.61,0,0.29776144,0.15,7.63,0.12433373,19.15,0.24835421,0.19076386,8.09676393850569,0.17,-0.0,219,227,"4/13/24, 12:00 AM",HISAR,217,2024-12-31,7.6,1.9915088,440,436,341,336,0.0,2024-01-01,30.356594594594586,Sisai Bola(108),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.01162150223641,29.192057714625825]}"
3_0,0.028183942,0.08334878,0.186413753,0.28,0.676188116,0.12041464,274.0291823,0.134739001,0,0.32337806,0.28,20.05204671,0.13991219,24.01643662,0.2816988,0.2234122,-1.8725598377964798,0.794708864,180.0,196,193,"3/28/24, 12:00 AM",HISAR,225,2024-12-31,7.7,1.994942,486,491,318,316,2.7802885,2024-01-01,30.389189189189185,Madloda(74),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.0250962314982,29.391753202285596]}"
4_0,0.050312136,0.10000964,1.424546399,0.718,4.036260985,0.13914338,211.603189,14.74952883,0,0.3398012,0.17,21.68877937,0.16157109,165.8529721,0.2876771,0.23030241,-0.3292459253681887,1.353631687,339.10147,238,240,"3/11/24, 12:00 AM",HISAR,213,2024-12-31,8,1.761631,491,495,270,265,2.975733,2024-01-01,30.539179487179492,Mirzapur(63),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79009695317254,29.19313569296677]}"
5_0,0.004974907,0.08867412,0.205525281,0.291,1.679483021,0.12895647,204.6992565,0.849896252,0,0.30018824,0.21,22.64315456,0.15659294,24.93559941,0.28894824,0.24731413,-3.2620760447194037,0.782176745,354.54385,213,217,"3/28/24, 12:00 AM",HISAR,220,2024-12-31,7.9,1.8792337,494,500,294,283,11.041791,2024-01-01,30.428256410256406,Juglan(66),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7914444260987,29.25538894215625]}"
6_0,0.120438245,0.08796463,0.802018839,0.514,5.87760155,0.12038781,136.2463424,13.52851928,0,0.254189,0.15,22.29259918,0.13847806,70.41399277,0.24812683,0.19608903,-1.315299391084325,1.198779773,90.0,211,202,"2/28/24, 12:00 AM",HISAR,216,2024-12-31,7.7,1.9756737,467,479,322,319,3.1871905,2024-01-01,30.292000000000005,Rajli(25),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.88657601468697,29.29446565701545]}"
7_0,0.031528616,0.09263765,0.142520319,0.296,1.582885809,0.11409529,196.5400863,1.120067004,0,0.10626118,0.29,27.9399388,0.09892941,28.59597337,0.080722354,0.07193765,2.8870962938122418,0.46016855,163.98067,198,202,"3/28/24, 12:00 AM",HISAR,222,2024-12-31,7.6,2.0881355,485,485,317,312,7.6734834,2024-01-01,30.316222222222223,Hasangarh(118),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.97685670074098,29.454814935230786]}"
8_0,0.014690088,0.088136144,0.24530369,0.157,2.258632232,0.12333253,208.4086783,0.855865696,0,0.30366206,0.1,17.36297845,0.13900663,19.81343712,0.26844457,0.21436928,-2.199253252039682,0.904615778,343.99796,203,196,"3/29/24, 12:00 AM",HISAR,222,2024-12-31,7.8,1.9526575,458,467,339,337,3.8536909,2024-01-01,30.401736842105258,Panhari(13),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05204569002179,29.33893226357937]}"
9_0,0.02401,0.078465454,0.368,0.28,4.696,0.11018243,326,1.2418,0,0.31919575,0.28,18.427,0.12234182,25.382,0.24828848,0.18797213,-1.8878134678232563,0.7669,228.94446,205,204,"3/28/24, 12:00 AM",HISAR,220,2024-12-31,7.7,1.8992592,472,475,323,321,2.8220296,2024-01-01,30.273219512195126,Sandlana(8),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.06471193552787,29.426248509195787]}"
10_0,0.024902539,0.07445301,1.263901747,0.627,6.72314003,0.104798794,177.7413095,15.07419744,0,0.2870265,0.26,26.45235673,0.10947108,115.1287056,0.23463254,0.17540121,-0.7721215632287147,1.155152866,180.0,195,200,"3/12/24, 12:00 AM",HISAR,216,2024-12-31,7.8,1.936137,489,491,315,310,0.92740995,2024-01-01,30.403888888888886,Mirzapur(63),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83510254890692,29.20283749803526]}"
11_0,0.248,0.0869093,0.1255,0.421,0.8,0.116851166,162.71,1.32,0,0.26292676,0.24,10.88,0.1332093,129.45,0.24659419,0.19429883,-1.1966913688854512,0.425,131.01859,190,180,"4/18/24, 12:00 AM",HISAR,221,2024-12-31,7.6,1.6891237,474,482,336,338,4.231899,2024-01-01,30.324512820512826,Khara Barwala(33),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.76395597840465,29.55803136137612]}"
12_0,0.052,0.09487619,0.21,0.72,2.24,0.13197857,238.12,3.32,0,0.29482618,0.42,12.52,0.15788929,25.35,0.28340477,0.23532857,2.6621339335567233,0.75,282.28683,165,171,"4/25/24, 12:00 AM",HISAR,214,2024-12-31,7.2,1.8987516,476,479,358,350,4.3500133,2024-01-01,30.37142105263158,Isharheri(126),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84884677275394,29.404149953206446]}"
13_0,0.57514363,0.08070357,0.40494595,0.821,1.832550304,0.1105,380.8958937,4.121007158,0,0.28911668,0.23,19.29788776,0.12107262,42.86209711,0.23472619,0.18281905,-0.7731353239952466,9.85409E-4,180.0,206,204,"4/12/24, 12:00 AM",HISAR,220,2024-12-31,7.2,1.9917455,474,478,320,317,1.8543341,2024-01-01,30.231333333333332,Gurana(20),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.94667330719457,29.307131902521537]}"
