system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.10651905,0.65,0.57,4.98,0.14114761,240.23,2.86,0,0.21725,0.35,38.28,0.14842142,26.35,0.19252619,0.15630238,-0.8966120119005887,0.73,270.0,238,238,"4/18/24, 12:00 AM",JHAJJAR,217,2024-12-31,6.9,2.2865827,426,425,336,337,1.0563105,2024-01-01,30.285789473684215,Kheri Jat(89),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76890128674917,28.604290024226422]}"
1_0,0,0.11422619,0.6,0.81,4.46,0.14971666,212.37,2.25,0,0.3046881,0.29,33.67,0.16725715,16.35,0.27141428,0.22350714,2.4810680390679116,0.7,344.10532,248,251,"4/18/24, 12:00 AM",JHAJJAR,214,2024-12-31,7,2.2865827,415,412,336,337,3.851634,2024-01-01,30.355611111111116,Kheri Jat(89),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.77536915679482,28.60509850798213]}"
2_0,0,0.09757619,0.43,0.52,5.52,0.12683333,270.23,3.16,0,0.28872618,0.36,51.58,0.14091904,36.49,0.24123333,0.18795238,1.7620667655098603,0.66,48.71892,248,251,"4/18/24, 12:00 AM",JHAJJAR,218,2024-12-31,7,2.2865827,415,412,336,337,1.4055322,2024-01-01,30.355611111111116,Kheri Jat(89),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.77483016762436,28.605637497152603]}"
3_0,0,0.1039,0.64,0.46,6.16,0.13396905,241.38,2.38,0,0.28408095,0.32,36.37,0.15349762,22.57,0.26196668,0.2159619,-1.399581384723558,0.71,217.21167,246,249,"4/18/24, 12:00 AM",JHAJJAR,220,2024-12-31,7.1,2.2865827,420,417,334,335,3.4894629,2024-01-01,30.355611111111116,Kheri Jat(89),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.77456067303912,28.606445980908312]}"
4_0,0,0.13213,0.32,0.69,5.36,0.1733975,290.35,2.48,0,0.361135,0.34,26.48,0.189485,23.65,0.30379,0.2499675,-2.0941347951138733,0.73,142.75945,272,280,"4/23/24, 12:00 AM",JHAJJAR,221,2024-12-31,7.1,2.0493188,464,460,264,260,3.4907966,2024-01-01,30.491421052631583,Siwana(134),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4347280010567,28.716130277099303]}"
5_0,0,0.1238975,0.31,0.29,4.76,0.1466725,190.3,2.76,0,0.2582075,0.36,54.65,0.1544075,21.9,0.252505,0.2114875,2.0332822020193326,0.73,246.32777,247,233,"4/25/24, 12:00 AM",JHAJJAR,213,2024-12-31,7.2,2.3616655,419,418,334,349,2.3087916,2024-01-01,30.226171428571426,Asouda Todran(28),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86187691865554,28.743349230208125]}"
6_0,0,0.11617317,0.23,0.36,5.13,0.14403415,275.64,2.18,0,0.30778047,0.32,18.81,0.15724146,30.34,0.27000976,0.21454878,4.916353211551072,0.73,-0.0,266,263,"4/4/24, 12:00 AM",JHAJJAR,214,2024-12-31,7.5,2.0889986,390,390,344,346,0.92740995,2024-01-01,30.296486486486494,Dubaldhan Bidhan(130),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.51611536579793,28.693492731939493]}"
7_0,0,0.12024595,0.36,0.45,4.75,0.14351352,276.38,3.32,0,0.3008946,0.33,40.52,0.15317297,40.24,0.25940812,0.21446757,-1.8778791327960158,0.76,48.762623,262,246,"4/23/24, 12:00 AM",JHAJJAR,219,2024-12-31,7.5,1.9763211,383,386,356,368,2.8118145,2024-01-01,30.244685714285716,Gangtan(4),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.6557135609501,28.766795259123644]}"
8_0,0,0.098448835,0.48,0.64,6.14,0.13602325,278.52,4.54,0,0.2978907,0.42,40.6,0.16199303,62.42,0.30625582,0.26321164,-2.3687823329518105,0.68,293.72604,234,237,"4/23/24, 12:00 AM",JHAJJAR,218,2024-12-31,7.4,2.4459772,461,460,305,304,4.600299,2024-01-01,30.586756756756756,Yaqubpur(82),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.77995056474383,28.475202117898448]}"
10_0,0,0.123990245,0.45,0.34,4.58,0.14643659,221.56,4.23,0,0.31037316,0.41,18.43,0.14993414,33.83,0.2508634,0.20584147,-2.294042974458519,0.71,209.6789,263,260,"4/3/24, 12:00 AM",JHAJJAR,220,2024-12-31,7.8,2.0889986,397,396,340,344,4.2622676,2024-01-01,30.318315789473697,Dubaldhan Bidhan(130),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.52770363296307,28.676514573069632]}"
