system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.10057368,0.215,0.65,8.527,0.12936316,320,4.604,0,0.2740184,0.25,11.5,0.13841842,125,0.25596052,0.19394737,-1.8705278221601565,0.876,-0.0,241,242,"3/26/24, 12:00 AM",JIND,226,2024-12-31,7.8,2.047398,377,375,381,383,2.7802885,2024-01-01,30.223444444444436,Lajwana Khurd (41),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43257204437482,29.181008436631156]}"
1_0,0,0.11034615,0.57,0.58,6.79,0.1375564,470,2.6,0,0.26034102,0.27,15,0.15994103,104,0.2730718,0.23155898,0.4152728793861504,0.66,311.0647,265,262,"3/4/24, 12:00 AM",JIND,234,2024-12-31,7.2,2.1488917,368,369,367,369,1.4116123,2024-01-01,30.274162162162163,Jaipur (24),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5834890121069,29.393370169797013]}"
2_0,0,0.07588353,0.63,0.78,7.36,0.10871412,302,3.46,0,0.28143528,0.34,8.1,0.12358706,150,0.23774,0.18701647,-2.8682706167836582,1.2,262.9154,198,216,"4/3/24, 12:00 AM",JIND,229,2024-12-31,8.09,1.8704518,442,434,360,350,7.47737,2024-01-01,30.316000000000003,Danoda Khurd (90),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.98763648415041,29.542939664602912]}"
3_0,0,0.07942308,0.81,0.62,4.2,0.10698205,450,1.71,0,0.29947948,0.34,12.7,0.11380257,112,0.22782308,0.17287949,-0.9968874739787463,0.7,66.44005,227,217,"3/20/24, 12:00 AM",JIND,230,2024-12-31,7.3,2.0851529,389,390,384,392,2.3191512,2024-01-01,30.1621875,Gangoli (13),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49805922858712,29.294735151600687]}"
4_0,0,0.081993505,0.49,0.64,8.91,0.114220776,182,3.7,0,0.29865843,0.24,8.6,0.12420649,117,0.23021169,0.17452468,4.31116301393173,0.63,-0.0,224,218,"4/22/24, 12:00 AM",JIND,231,2024-12-31,7.76,1.9589331,424,425,353,357,0.0,2024-01-01,30.16482051282051,Sudkain Khurd (123),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.23395453505599,29.568002661029848]}"
5_0,0,0.07763636,0.62,0.58,7.99,0.10848909,362,2.44,0,0.31108,0.24,9.3,0.120337576,180,0.23525152,0.17269515,-1.7483328522510757,0.82,220.80258,233,235,"4/4/24, 12:00 AM",JIND,224,2024-12-31,7.64,1.981671,442,438,325,327,4.8891973,2024-01-01,30.27756097560976,Dhabi Teksingh (55),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04557781997613,29.680112408487965]}"
6_0,0,0.08251795,0.65,0.74,9.8,0.11065385,415,2.49,0,0.31645384,0.43,10.5,0.1182,128,0.23307692,0.17599487,-1.6917214294620664,0.71,113.54045,289,291,"3/4/24, 12:00 AM",JIND,235,2024-12-31,8.1,2.1561382,355,350,357,358,2.3209612,2024-01-01,30.236249999999995,Safidon (Rural) (54),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67323070899043,29.389327751018474]}"
7_0,0,0.08410256,0.82,0.62,9.71,0.110046156,565,3.44,0,0.25596154,0.28,16.7,0.12045385,112,0.21324871,0.15143333,8.17643218577387,0.74,270.0,269,268,"3/4/24, 12:00 AM",JIND,235,2024-12-31,7.8,2.262716,376,370,355,362,1.0648695,2024-01-01,30.226216216216226,Singhana (43),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61070796521571,29.43783677636093]}"
8_0,0,0.08974103,0.51,0.39,7.65,0.11664359,480,4.48,0,0.33721283,0.31,15.5,0.12151025,168,0.24610513,0.18234615,0.19307071972860773,0.924,48.917816,240,225,"3/26/24, 12:00 AM",JIND,229,2024-12-31,7.7,2.1213367,390,398,370,378,1.411118,2024-01-01,30.24088888888889,Sewaha (3),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45413161119369,29.330577931437055]}"
9_0,0,0.09301053,0.242,0.88,10.42,0.12709475,525,5.766,0,0.28317896,0.25,10,0.14527369,143,0.27343947,0.21678159,-1.6871248569756065,0.924,66.406624,200,196,"3/26/24, 12:00 AM",JIND,223,2024-12-31,7.9,1.9194298,407,405,393,399,2.3160565,2024-01-01,30.221705882352943,Jhamola (36),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34848973378122,29.131690927532993]}"
