system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.08700953,0,0.57,6.4,0.12633096,4.32,1.28,0,0.31690237,0.48,4.6704,0.15391904,29.5,0.30591905,0.25320953,-1.8701806684693976,1.8,131.3786,273,278,"7/5/24, 12:00 AM",MAHENDRAGARH,275,2024-12-31,8.7,2.2203405,414,412,313,310,2.8039517,2024-01-01,30.583789473684217,Bawania(28),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.24662078056207,28.242089301669434]}"
1_0,0,0.07948605,0,0.49,2.54,0.103144184,124,3.98,0,0.23747908,0.11,13.38,0.11549535,39.5,0.23127908,0.1871721,-1.6702332658024415,1.86,113.788734,251,236,"3/30/24, 12:00 AM",MAHENDRAGARH,289,2024-12-31,8.11,2.2316954,456,466,293,298,2.2981484,2024-01-01,30.5000487804878,Kuksi(113),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12373124969453,28.15962395858726]}"
2_0,0,0.09233333,0,0.61,4.82,0.14201666,224,3.98,0,0.30370715,0.25,13.44,0.1828381,58,0.32814762,0.28410476,-2.3980431540145632,1.06,167.20435,268,265,"7/5/24, 12:00 AM",MAHENDRAGARH,271,2024-12-31,7.91,2.153966,433,438,299,297,4.744678,2024-01-01,30.56345945945946,Akbarpur Nangal (69),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.21158648448142,28.283591467795755]}"
3_0,0,0.11539024,0,0.26,6.38,0.14613415,24,4.1,0,0.2705829,0.48,1.5096,0.16796342,19.5,0.30499756,0.25031707,-2.7877832561434603,0.42,311.3545,258,256,"3/24/24, 12:00 AM",MAHENDRAGARH,255,2024-12-31,8.6,2.2896993,446,442,296,302,6.984035,2024-01-01,30.475891891891898,Unhani(13),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.28623648459174,28.332369987723446]}"
4_0,0,0.08900244,0,0.24,4.78,0.13130488,5.76,4.32,0,0.29954877,0.42,3.4704,0.16518293,24,0.32130244,0.27282926,-1.595909324721651,0.18,209.57898,269,277,"7/5/24, 12:00 AM",MAHENDRAGARH,275,2024-12-31,8.87,2.2203405,423,417,308,307,2.1319728,2024-01-01,30.55686486486486,Bawania(28),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.23772745924929,28.24747919337415]}"
5_0,0,0.07698293,0,0.66,1.82,0.1169878,148,2.12,0,0.3198366,0.36,7.26,0.14297317,120,0.29454634,0.24527562,-0.7639408883059136,1.1,180.0,263,260,"7/23/24, 12:00 AM",MAHENDRAGARH,255,2024-12-31,8.11,2.1505249,439,442,298,298,1.8543341,2024-01-01,30.485538461538464,Lawan(58),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.15660958909329,28.334795438990568]}"
6_0,0,0.0754875,0,0.31,2.54,0.108895004,40.32,4.28,0,0.29786,0.41,4.6176,0.1225925,29.5,0.27656,0.2136,-0.06246554223650871,1.5,113.769325,274,276,"7/5/24, 12:00 AM",MAHENDRAGARH,267,2024-12-31,8.31,2.153966,424,422,301,302,2.2999136,2024-01-01,30.56889473684211,Bawania(28),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2415003834426,28.25771998761311]}"
7_0,0,0.091480955,0,0.4,6.36,0.13184285,64,1.56,0,0.31815,0.03,24.54,0.16015,47,0.30500475,0.25138095,-0.2848602955980109,2.02,246.22198,284,287,"7/2/24, 12:00 AM",MAHENDRAGARH,279,2024-12-31,8.33,2.2443063,428,425,288,288,2.2991223,2024-01-01,30.48297435897436,Bhandor Unchi(80),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17736067215645,28.213792370219668]}"
8_0,0.269,0.104920454,0.59,0.46,4.261,0.1456,387.838,10.616,158.1,0.3235659,0.62,21.411,0.17968182,62.125,0.31736135,0.27552727,-0.19477829341664504,1.422,270.0,263,255,"6/16/24, 12:00 AM",MAHENDRAGARH,295,2024-12-31,8.1,2.1582754,433,436,305,309,1.0517,2024-01-01,30.515589743589743,Sihma(101),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.15607059992283,28.13995085386504]}"
9_0,0,0.09461905,0,0.26,2.22,0.13411428,174,3.86,0,0.28501666,0.4,10.2,0.16693571,53,0.3016976,0.25486666,0.4517306608926909,1.36,253.66267,245,247,"7/8/24, 12:00 AM",MAHENDRAGARH,237,2024-12-31,8.31,2.191881,471,475,284,277,3.2936215,2024-01-01,30.414097560975605,Pota(8),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.22021031120896,28.431813489675477]}"
