system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.10011219,1.04,0.689,5.62,0.122419514,351.68,3.22,0,0.25272438,0.33,64.37808,0.12819512,40,0.21348049,0.16314635,-1.170313556259996,1.36,131.50212,234,227,"5/7/24, 12:00 AM",NUH,212,2024-12-31,8.45,2.9297028,491,494,274,279,1.3993958,2024-01-01,30.415428571428563,Bhond(85),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94568973466389,27.774246701699987]}"
1_0,0,0.111,0,1.234,6.554,0.14044598,318.08000000000004,3.53,0,0.25201723,0.21,57.001425,0.1601023,36.192,0.2660161,0.22222184,-2.3949162242609607,1.064,347.24173,239,232,"4/5/24, 12:00 AM",NUH,192,2024-12-31,8.37,3.003685,577,583,184,185,4.7439795,2024-01-01,30.53432432432433,Madhi(15),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00767348926813,27.959389481757018]}"
2_0,0,0.12311772,1.32,1.178,1.78,0.14698988,264.32000000000005,5.62,0,0.25462657,0.21,55.660215,0.1595848,41.28,0.2545253,0.20442025,-1.925305925022199,1.82,200.66945,235,245,"4/25/24, 12:00 AM",NUH,192,2024-12-31,8.35,2.8385582,473,467,292,288,2.971229,2024-01-01,30.2356,Gulalta(201),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18041951840432,27.924355185676358]}"
4_0,0,0.14840715,0,0.562,6.55,0.17877619,264.32000000000005,3.142,0,0.3492976,0.255,4.425993,0.20317619,71.136,0.31419525,0.25469285,1.9785598906964916,0.948,131.48306,235,226,"3/19/24, 12:00 AM",NUH,199,2024-12-31,7.69,2.850256,520,526,245,248,4.1930995,2024-01-01,30.42548717948718,Nasirbas(67),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95566103431761,27.84701023971367]}"
5_0,0,0.11847701,1.179423415832574,0.602,7.476742420976739,0.14444482,154.042720028227,3.255948370875222,0,0.22988851,0.317682317682318,28.276028295535674,0.15854253,10.655485347233256,0.2391138,0.19046551,0.07923971379467472,0.300546437278257,228.55682,222,211,"6/11/24, 12:00 AM",NUH,190,2024-12-31,8.02,2.7957153,535,547,243,242,2.800376,2024-01-01,30.347947368421053,Kotla (120),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95458305597667,27.998735691201453]}"
6_0,0,0.13193104,0.74,1.275,4.6,0.15212184,302.40000000000003,4.06,0,0.23121955,0.21,53.6484,0.17084023,41.92,0.2758747,0.24052759,-1.6668170560380269,1.5,113.82844,249,241,"5/1/24, 12:00 AM",NUH,193,2024-12-31,8.3,3.003685,571,579,179,180,2.294546,2024-01-01,30.556628571428575,Khoshpuri(24),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01279388638761,27.95804200883084]}"
7_0,0,0.11980238,1.54,0.381,8.54,0.14989285,257.6,3.96,0,0.29500237,0.255,58.744998,0.18371905,39.68,0.3216238,0.25692382,-1.5742763720668569,1.74,90.0,236,232,"4/25/24, 12:00 AM",NUH,230,2024-12-31,7.64,2.9750812,502,502,262,266,2.0955043,2024-01-01,30.500222222222224,Ghata Shamasabad(106),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00390056507483,27.76993478833621]}"
8_0,0,0.12182,0.58,0.48,6.02,0.158975,239.68000000000004,2.8,0,0.285265,0.315,55.660215,0.1916775,41.28,0.3121,0.27438,3.4603489466293635,1.06,330.54807,247,241,"5/3/24, 12:00 AM",NUH,213,2024-12-31,7.66,3.1590908,449,449,304,310,2.1293006,2024-01-01,30.547529411764707,Beriabas(97),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9570085072438,27.68935590735069]}"
9_0,0,0.12243647,0,1.13,4.736,0.14906235,342.72,3.952,0,0.3152447,0.21,4.627174500000001,0.16219412,20.592,0.28203177,0.22522117,6.570737093474062,0.906,270.0,259,267,"7/19/24, 12:00 AM",NUH,189,2024-12-31,8.31,2.9111042,469,464,272,269,1.0494019,2024-01-01,30.437371428571428,Pinagwan (127) (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11924424755578,27.904412586368906]}"
10_0,0,0.09369048,0.784042887430085,0.484,6.542144161447052,0.12875715,208.7140722857896,1.23086286800342,0,0.2704119,0.332667332667333,53.24208601590468,0.1603,41.090882145801416,0.28628808,0.24326429,-1.8695193688062575,1.485285638995757,228.6092,290,312,"5/17/24, 12:00 AM",NUH,282,2024-12-31,7.93,2.606517,452,430,259,259,2.8032753,2024-01-01,30.392000000000003,Buraka Taoru(66),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96778829065323,28.196275222179338]}"
