system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.09860227,1.630729875459538,0.19,18.027200638801844,0.13251819,384.7932709361155,22.9936498153632,0,0.31715,0.28,24.503482655922102,0.15505,26.190380362118905,0.3016773,0.23457727,-1.5958921295528545,3.524826634569318,29.578598,289,294,"3/21/24, 12:00 AM",REWARI,238,2024-12-31,8,2.4954615,449,443,262,263,2.1319647,2024-01-01,30.3976,Dabri (210),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.64978468007492,28.245862225862734]}"
1_0,0,0.06169773,1.743394178511548,0.19,17.69864369474485,0.08512727,390.2477514442075,24.805716292987466,0,0.2624909,0.22,25.332403370692955,0.08523182,20.253941387315315,0.22655682,0.149475,1.2208059779972125,3.36902500921985,131.37749,286,289,"3/21/24, 12:00 AM",REWARI,236,2024-12-31,7.6,2.4198978,460,454,254,257,1.4028466,2024-01-01,30.50689473684211,Dabri (210),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.65598305553534,28.246401215033206]}"
2_0,0,0.098581396,1.317950116310188,0.19,17.054730483507765,0.1398814,212.3282293578727,16.2017326757042,0,0.29486045,0.31,16.273631690591596,0.1747,29.68018529540732,0.3203372,0.27610466,-1.5960618875175854,2.331684463952909,150.41794,270,282,"3/30/24, 12:00 AM",REWARI,239,2024-12-31,7.5,2.3986542,480,469,250,249,2.1320376,2024-01-01,30.515666666666675,Gangaycha Ahir (222),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.60424009517006,28.26095392263594]}"
3_0,0,0.10112558,1.281861057816237,0.32,18.48472319543318,0.14570698,222.26721809912547,19.09720266416627,0,0.29505813,0.27,19.263804487190068,0.18219535,28.255636956354603,0.31694186,0.26639768,-1.177317084788923,2.425390330783815,131.37334,270,282,"3/30/24, 12:00 AM",REWARI,237,2024-12-31,7.9,2.3986542,480,469,250,249,1.4029619,2024-01-01,30.515666666666675,Gangaycha Ahir (222),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.605318073511,28.262031900976886]}"
4_0,0,0.08081163,1.269959761406085,0.24,16.635101262827682,0.1123907,219.28022674295167,16.680006612368366,0,0.3062442,0.24,14.739585190979255,0.112548836,30.407575614104186,0.24945116,0.18621628,-0.9788455541004267,2.397996198229429,293.76822,262,274,"3/30/24, 12:00 AM",REWARI,237,2024-12-31,7.5,2.3986542,483,473,254,253,2.300014,2024-01-01,30.515666666666675,Gangaycha Ahir (222),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.60558756809624,28.263379373903064]}"
6_0,0,0.10228095,1.077245586017776,0.24,16.596914841549104,0.14294048,157.46326312857016,14.52872004776557,0,0.31655714,0.22,39.01991243402025,0.16757143,15.450760994562533,0.3012857,0.2613595,4.432150234522233,1.442809566762531,311.37216,267,277,"3/30/24, 12:00 AM",REWARI,235,2024-12-31,7.6,2.3986542,478,469,255,254,1.4029948,2024-01-01,30.515666666666675,Gangaycha Ahir (222),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.60370110599959,28.26634381434066]}"
7_0,0,0.1049881,1.375761899074066,0.19,16.421570608830635,0.14607143,161.37467764920805,15.81651946933228,0,0.31210238,0.27,54.57986762696238,0.17040952,15.659337243295113,0.30062142,0.26241428,-0.8902786141170858,1.488173337207767,270.0,267,277,"3/30/24, 12:00 AM",REWARI,237,2024-12-31,8.1,2.3986542,478,469,255,254,1.0529445,2024-01-01,30.515666666666675,Gangaycha Ahir (222),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.60424009517006,28.26634381434066]}"
8_0,0,0.10176191,1.160099567768935,0.22,16.461215235171824,0.13931428,147.37436699702596,12.78211692362195,0,0.27004287,0.21,43.48481998364975,0.17221905,15.213152860208387,0.31385,0.27584285,2.3742076608739837,1.46132217904154,150.41653,266,276,"3/30/24, 12:00 AM",REWARI,235,2024-12-31,7.9,2.3986542,481,472,252,252,2.1320674,2024-01-01,30.61764705882353,Gangaycha Ahir (222),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61070796521571,28.26688280351113]}"
9_0,0,0.10176191,1.289933571402464,0.24,17.72241304683347,0.13931428,147.27627371289532,14.57604834070273,0,0.27004287,0.24,51.721958082760416,0.17221905,16.163446866468256,0.31385,0.27584285,2.3742076608739837,1.84815815969704,150.41653,266,276,"3/30/24, 12:00 AM",REWARI,235,2024-12-31,8,2.3986542,481,472,252,252,2.1320674,2024-01-01,30.61764705882353,Gangaycha Ahir (222),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61070796521571,28.26688280351113]}"
10_0,0,0.08615953,1.10882050202641,0.21,16.672484105176828,0.11618571,136.8501638022356,13.205045140649746,0,0.27845952,0.27,45.13283406001186,0.124709524,14.295077929393372,0.24802619,0.19963571,-1.1773965348480027,1.436734682419724,48.628212,281,290,"3/30/24, 12:00 AM",REWARI,237,2024-12-31,7.9,2.3986542,469,460,251,250,2.8043296,2024-01-01,30.572628571428577,Gangaycha Ahir (222),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61232493272713,28.26769128726684]}"
