system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.115846515,1.224281027938753,0.39,33.14385081833014,0.14352094,88.18529776852499,1.321577213841054,0,0.3523442,0.28,30.2892006728259,0.13835116,19.240137253749463,0.26541394,0.19827674,-2.1145516990789743,1.349329330902502,142.34265,232,255,"3/29/24, 12:00 AM",YAMUNANAGAR,292,2024-12-31,6.7,3.7346451,395,379,372,366,3.5102515,2024-01-01,30.15123529411764,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29441572795909,30.243356091630904]}"
1_0,0,0.1251907,1.383463706646176,0.41,34.80686282945817,0.14807674,95.65172520168508,1.691688586130425,0,0.30349302,0.4,52.14425315891986,0.15026511,18.349267016751217,0.26116046,0.19961628,5.996151594010603,2.052158094817436,-0.0,227,246,"3/29/24, 12:00 AM",YAMUNANAGAR,289,2024-12-31,7,3.7346451,400,384,374,369,1.8543341,2024-01-01,30.15123529411764,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29252926586243,30.24416457538661]}"
2_0,0,0.113469765,1.320192395801178,0.31,34.28842377017647,0.13701628,97.8785971059524,1.419262313119757,0,0.30948606,0.36,35.747030184338534,0.1334279,20.392137892255136,0.24344186,0.18120465,-0.10880796097010631,1.406336862866788,310.8234,227,246,"3/29/24, 12:00 AM",YAMUNANAGAR,291,2024-12-31,7.2,3.7346451,400,384,374,369,2.835221,2024-01-01,30.15123529411764,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29360724420337,30.243895080801373]}"
3_0,0,0.11864651,1.452199421428519,0.21,27.279088018012327,0.13789302,90.834207748605,1.559006854660126,0,0.28518605,0.36,37.87043260073528,0.13921395,16.348166753174503,0.2384372,0.18603256,-0.782343350349971,1.421538410556271,180.0,232,255,"3/29/24, 12:00 AM",YAMUNANAGAR,290,2024-12-31,6.9,3.7346451,395,379,372,366,0.92740995,2024-01-01,30.15123529411764,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29441572795909,30.244434069971845]}"
4_0,0,0.113469765,1.08592315203765,0.34,33.71849868168792,0.13701628,70.30081812730936,1.279728136469152,0,0.30948606,0.28,43.6408875722229,0.1334279,17.450000056788408,0.24344186,0.18120465,-0.10880796097010631,1.252884417299408,310.8234,227,246,"3/29/24, 12:00 AM",YAMUNANAGAR,291,2024-12-31,7.6,3.7346451,400,384,374,369,2.835221,2024-01-01,30.15123529411764,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29360724420337,30.243895080801373]}"
5_0,0,0.113365114,1.288543472693747,0.31,33.31017892675061,0.13019535,79.66617269035095,1.343974783018333,0,0.2570628,0.33,47.23593701346364,0.12842791,18.42577019346933,0.23562093,0.17957442,-1.6218182940150851,1.351496872676074,270.0,232,255,"3/29/24, 12:00 AM",YAMUNANAGAR,293,2024-12-31,7.7,3.7346451,395,379,372,366,2.1462648,2024-01-01,30.15123529411764,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29468522254432,30.244973059142318]}"
6_0,0,0.12904419,1.199181347575024,0.44,37.87478484585017,0.15280232,80.1271365719137,1.279517700995896,0,0.2800186,0.39,31.797974847053588,0.16281627,19.30588293763176,0.25876513,0.21222559,-1.6200050030550974,1.231675181451744,329.9375,240,261,"3/29/24, 12:00 AM",YAMUNANAGAR,293,2024-12-31,7.3,3.7346451,389,375,371,364,2.1423008,2024-01-01,30.15123529411764,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2952242117148,30.248476488750384]}"
7_0,0,0.10546977,1.283467054851318,0.33,38.30990930653514,0.12324419,84.75022067395639,1.244434879650383,0,0.27821395,0.3,31.3771070139262,0.11755814,19.82506810789677,0.2245465,0.16318604,-0.7823861861517633,1.332097200195228,180.0,240,261,"3/29/24, 12:00 AM",YAMUNANAGAR,292,2024-12-31,7.1,3.7346451,389,375,371,364,0.92740995,2024-01-01,30.15123529411764,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29414623337385,30.247937499579912]}"
8_0,0,0.11996977,1.129009548709055,0.21,24.538438954311136,0.1426465,95.06397968587908,1.614581000276558,0,0.28753722,0.33,32.54769277186869,0.14758837,17.715061584409852,0.24963255,0.19791164,1.017221258506749,1.154756445559152,90.0,227,246,"3/29/24, 12:00 AM",YAMUNANAGAR,291,2024-12-31,7.1,3.7346451,400,384,374,369,1.073509,2024-01-01,30.15123529411764,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2930682550329,30.244973059142318]}"
9_0,0,0.12035349,1.287335166955815,0.34,34.22721632172728,0.14330232,89.65161833655047,1.438186012736954,0,0.26535118,0.42,41.56101367710738,0.14880465,17.130967988900874,0.25229302,0.20016745,-1.9005920449667655,1.54100891918663,130.82266,231,254,"3/29/24, 12:00 AM",YAMUNANAGAR,292,2024-12-31,6.6,3.8770802,394,379,375,367,2.8352623,2024-01-01,30.164529411764708,Mahmudpur (325),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30088359800475,30.2463205320685]}"
