system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.07558068,0.91,0.663,5.35,0.083576135,129,3.83,405,0.15357046,0.77,10,0.086254545,18,0.16841364,0.12726137,-3.5994891717383433,0.86,266.52167,283,275,"4/6/24, 12:00 AM",HAMIRPUR,995,2024-12-31,6.8,3.7123606,373,379,344,346,14.939213,2024-01-01,29.826044444444445,Dungi (44/37),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.62741662950035,31.68353515513132]}"
1_0,0,0.06740819,1.37,0.223,5.53,0.08944971,294,4.27,394,0.23656784,0.86,21,0.094167255,11,0.22027075,0.16430761,-2.3655049255263076,2.05,102.019104,285,287,"3/7/24, 12:00 AM",HAMIRPUR,819,2024-12-31,6.7,3.7775292,411,410,303,303,8.837246,2024-01-01,29.809911111111113,Bhabel (42/104),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.66730182811524,31.611580100873347]}"
2_0,0,0.104952276,0.41,0.665,5.07,0.122090906,273,3.86,548,0.25665453,0.98,23,0.13004318,12,0.23965569,0.19175,-3.5572010571073545,1.26,255.33116,267,260,"4/6/24, 12:00 AM",HAMIRPUR,1058,2024-12-31,6.8,3.7623277,375,380,358,360,14.343147,2024-01-01,29.782533333333333,Bharin (46/10),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61070796521571,31.708598151558256]}"
3_0,0,0.095214605,0.68,0.521,7.7,0.104195505,215,3.09,395,0.24589776,0.92,34,0.14378764,14,0.23987752,0.1986618,-3.1640627210774412,2.6,297.9864,253,249,"3/23/24, 12:00 AM",HAMIRPUR,871,2024-12-31,6.8,3.889403,404,406,343,345,9.7861595,2024-01-01,29.779913043478267,Panoh (61/11),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55303612397525,31.761419090264482]}"
4_0,0,0.051610228,0.44,0.546,6.74,0.06838523,102,4.65,366,0.2429,0.82,24,0.06582386,19,0.19675568,0.1298216,-0.5898237797549,1.85,240.46912,243,245,"3/22/24, 12:00 AM",HAMIRPUR,548,2024-12-31,6.8,4.4816566,431,428,326,327,3.7580626,2024-01-01,29.751422222222224,Chaunki (55/7),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4767691563535,31.81801295316401]}"
6_0,0,0.061564367,0.66,0.484,9.46,0.08231954,206,1.76,476,0.26624942,0.72,15,0.079235636,12,0.21112184,0.1305954,-1.5324313474956939,3.02,16.382278,252,263,"3/23/24, 12:00 AM",HAMIRPUR,753,2024-12-31,6.8,4.124778,404,399,344,338,7.6874504,2024-01-01,29.76373333333333,Swahal (53/5),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.50183215278044,31.744979920565097]}"
7_0,0,0.07346512,1.02,0.518,4.73,0.093390696,168,2.71,536,0.25120348,0.8,19,0.101330236,16,0.20272093,0.1495128,-1.856494918558046,1.36,54.67597,255,265,"3/23/24, 12:00 AM",HAMIRPUR,773,2024-12-31,6.8,4.124778,408,404,337,330,7.968723,2024-01-01,29.76373333333333,Swahal (53/5),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.50075417443949,31.744440931394625]}"
8_0,0,0.053552326,0.52,0.193,4.12,0.07234302,256,3,438,0.23755814,0.4,27,0.07248023,20,0.20227093,0.13965581,-3.428511398501945,2.45,291.1224,240,253,"3/22/24, 12:00 AM",HAMIRPUR,799,2024-12-31,6.8,3.889403,405,395,355,352,12.658816,2024-01-01,29.75721739130435,Bhatiana Rajputtan (58/9),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55276662939,31.799417826782737]}"
9_0,0,0.059607953,0.46,0.246,4.99,0.081620455,170,3.12,418,0.23491478,0.66,18,0.08973864,25,0.21587159,0.16595228,-4.2212160849368425,1.36,113.03323,269,267,"3/22/24, 12:00 AM",HAMIRPUR,897,2024-12-31,6.6,3.889403,391,391,340,341,26.403246,2024-01-01,29.826488888888893,Sapahal Khas (61/8),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5662413586518,31.753603747292644]}"
10_0,0,0.11428652,0.4,0.51,5.12,0.13685282,268,2.61,326,0.26177642,0.45,12,0.14809325,12,0.23854719,0.1834955,-2.7248559923816975,1.96,223.26276,228,243,"3/22/24, 12:00 AM",HAMIRPUR,752,2024-12-31,6.4,4.3209915,429,422,344,335,6.3421884,2024-01-01,29.74108695652174,Jiar (61/7),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.52608666545166,31.783248151668587]}"
11_0,0,0.118366666,0.68,0.224,8.18,0.13712333,175,2.51,251,0.23467444,0.88,19,0.14731888,15,0.22848111,0.18867777,-1.5056830448947374,0.77,60.46336,244,247,"3/23/24, 12:00 AM",HAMIRPUR,610,2024-12-31,6.6,4.249964,434,430,322,323,3.7573974,2024-01-01,29.76671111111111,Karot Khas ( 54/10),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.47218774840448,31.796453386345142]}"
12_0,0,0.118366666,0.42,0.225,8.4,0.13712333,148,1.74,442,0.23467444,0.78,22,0.14731888,21,0.22848111,0.18867777,-1.5056830448947374,2.12,60.46336,244,247,"3/23/24, 12:00 AM",HAMIRPUR,610,2024-12-31,6.8,4.249964,434,430,322,323,3.7573974,2024-01-01,29.76671111111111,Karot Khas ( 54/10),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.47218774840448,31.796453386345142]}"
13_0,0,0.07153778,0.38,0.412,6.2,0.09414889,164,2.6,354,0.26552778,0.87,29,0.09724444,12,0.23640333,0.17672,-2.1367623221097563,1.5,38.110085,244,247,"3/22/24, 12:00 AM",HAMIRPUR,609,2024-12-31,6.8,4.249964,434,430,322,323,3.5318434,2024-01-01,29.76671111111111,Karot Khas ( 54/10),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.47191825381925,31.79672288093038]}"
14_0,0,0.10005333,0.6,0.291,6.21,0.114033334,219,2.82,291,0.099474445,0.71,15,0.10097667,23,0.09587333,0.07145444,-2.6288118406227348,1.5,331.86386,225,232,"3/16/24, 12:00 AM",HAMIRPUR,458,2024-12-31,6.8,4.421984,447,442,328,326,11.416072,2024-01-01,29.919822222222212,Bela (19/38),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.3460642825141,31.788638043373304]}"
15_0,0,0.08868539,0.29,0.195,5.19,0.10568539,312,2.15,412,0.23160562,0.74,19,0.11030225,18,0.21313371,0.16548203,-2.237089477680938,1.44,146.09737,260,254,"3/15/24, 12:00 AM",HAMIRPUR,554,2024-12-31,6.8,4.453654,445,447,295,300,7.7742743,2024-01-01,29.873244444444435,Man (19/45)),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.38029009483905,31.756568187730238]}"
16_0,0,0.04901059,0.51,0.289,9.85,0.06326588,216,3.52,293,0.22729176,0.65,20,0.05021647,11,0.14384824,0.083518825,-2.4069537756271675,2.12,-0.0,249,248,"3/18/24, 12:00 AM",HAMIRPUR,571,2024-12-31,6.9,4.1907983,431,435,320,317,4.6273675,2024-01-01,29.80568888888889,Jhalan (17/42),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32854713447378,31.713718548677736]}"
17_0,0,0.04901059,1.23,0.474,3.17,0.06326588,275,3.31,477,0.22729176,0.94,21,0.05021647,13,0.14384824,0.083518825,-2.4069537756271675,0.72,-0.0,249,248,"3/18/24, 12:00 AM",HAMIRPUR,571,2024-12-31,7.1,4.1907983,431,435,320,317,4.6273675,2024-01-01,29.80568888888889,Jhalan (17/42),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32854713447378,31.713718548677736]}"
