system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.106942855,0.9,0.384,3.3,0.12739524,254.2,4.8,289.5,0.30765954,1,23.8,0.12371428,10.6,0.25175357,0.1723131,-1.461688039300823,0.6,58.12999,292,308,"1/24/24, 12:00 AM",BUDGAM,1826,2024-12-31,7.3,1.9386431,271,263,436,430,5.2551103,2024-01-01,29.057511111111104,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.54664893689429,34.00792595279058]}"
1_0,0,0.10977619,1.3,0.524,4.9,0.12661548,191.5,4.7,277.4,0.23440237,0.96,31.3,0.12749524,10.2,0.19796667,0.14707024,-0.5789773403796216,0.4,50.342663,292,308,"1/24/24, 12:00 AM",BUDGAM,1824,2024-12-31,6.9,1.9386431,271,263,436,430,2.9041183,2024-01-01,29.057511111111104,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.54718792606477,34.00792595279058]}"
2_0,0,0.115208335,1.5,0.282,2.7,0.13514881,34.5,2.9,214.6,0.26283452,0.69,38.3,0.13761191,9.3,0.21756905,0.16090357,-1.0724260335765712,0.5,38.80699,292,308,"1/24/24, 12:00 AM",BUDGAM,1825,2024-12-31,7.4,1.9386431,271,263,436,430,3.5660417,2024-01-01,29.057511111111104,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.54691843147953,34.00792595279058]}"
3_0,0,0.10977619,1.4,0.326,3.2,0.12661548,231.5,4.6,167,0.23440237,0.58,24.2,0.12749524,13.2,0.19796667,0.14707024,-0.5789773403796216,0.5,50.342663,292,308,"1/24/24, 12:00 AM",BUDGAM,1824,2024-12-31,7,1.9386431,271,263,436,430,2.9041183,2024-01-01,29.057511111111104,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.54718792606477,34.00792595279058]}"
4_0,0,0.11540833,1.3,0.539,3.6,0.13463214,189.3,4.2,256.3,0.26150358,0.82,26.5,0.13618928,13.2,0.23028453,0.1718012,3.896186279382615,0.5,112.51274,284,294,"1/24/24, 12:00 AM",BUDGAM,1822,2024-12-31,7.2,1.9386431,269,260,447,446,7.2284555,2024-01-01,29.17148837209302,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.54368449645669,34.00927342571676]}"
5_0,0.597,0.13998434,0.779,0.355,12.23,0.14970723,237,5.05,371,0.22284096,0.4643,36.35,0.14634217,32.99,0.21270482,0.18218555,-2.8873035504086717,4.96,27.337568,271,272,"2/16/24, 12:00 AM",BUDGAM,1925,2024-12-31,6.99,1.9386431,272,269,457,459,7.2694397,2024-01-01,29.022044444444443,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.52832330509825,34.003075050256335]}"
6_0,0.551,0.13998434,0.549,0.323,10.69,0.14970723,191,4.9,347,0.22284096,0.4525,34.71,0.14634217,30.51,0.21270482,0.18218555,-2.8873035504086717,4.98,27.337568,271,272,"2/16/24, 12:00 AM",BUDGAM,1925,2024-12-31,6.97,1.9386431,272,269,457,459,7.2694397,2024-01-01,29.022044444444443,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.52832330509825,34.003075050256335]}"
7_0,0.556,0.13998434,1.23,0.337,15.72,0.14970723,194,4.92,348,0.22284096,0.4596,34.93,0.14634217,30.82,0.21270482,0.18218555,-2.8873035504086717,4.97,27.337568,271,272,"2/16/24, 12:00 AM",BUDGAM,1925,2024-12-31,7.01,1.9386431,272,269,457,459,7.2694397,2024-01-01,29.022044444444443,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.52832330509825,34.003075050256335]}"
8_0,0.563,0.13998434,1.031,0.298,12.93,0.14970723,176,4.23,304,0.22284096,0.4477,32.27,0.14634217,28.96,0.21270482,0.18218555,-2.8873035504086717,4.39,27.337568,271,272,"2/16/24, 12:00 AM",BUDGAM,1925,2024-12-31,6.91,1.9386431,272,269,457,459,7.2694397,2024-01-01,29.022044444444443,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.52832330509825,34.003075050256335]}"
9_0,0.571,0.13998434,0.914,0.296,13.63,0.14970723,183,4.3,317,0.22284096,0.4495,31.98,0.14634217,29.04,0.21270482,0.18218555,-2.8873035504086717,4.43,27.337568,271,272,"2/16/24, 12:00 AM",BUDGAM,1925,2024-12-31,6.98,1.9386431,272,269,457,459,7.2694397,2024-01-01,29.022044444444443,Ramdar Chakpora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.52832330509825,34.003075050256335]}"
