system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.3,0.050846342,1.6,0.254,3.6,0.06989756,214.6,6.5,486.5,0.25870243,0.7,58.37,0.058053657,19.26,0.16865367,0.09676342,-2.8526466357010447,0.5,49.82449,207,221,"1/16/24, 12:00 AM",KATHUA,298,2024-12-31,5.9,3.6467667,367,361,426,419,7.1510262,2024-01-01,30.23243902439024,Chhan Tanda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.26404352279214,32.39958226810299]}"
1_0,1.6,0.06942273,1.71,0.1234,4.7,0.09723409,156.4,4.81,417,0.29097727,0.6,57.58,0.106486365,24.13,0.2822068,0.19946818,-2.656203668989372,0.51,214.18164,313,333,"1/2/24, 12:00 AM",KATHUA,1647,2024-12-31,6.8,4.4817066,357,352,330,315,22.339052,2024-01-01,29.49850000000001,Bari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7793171697631,32.71057901946517]}"
2_0,0.8,0.08011591,0.6,0.1042,4.6,0.105068184,177.4,3.7,417,0.25002044,0.6,46.15,0.11260454,8.18,0.23668864,0.16792272,-2.940379609907232,1.6,237.74568,316,336,"1/2/24, 12:00 AM",KATHUA,1665,2024-12-31,6.8,4.4817066,356,351,328,313,28.63384,2024-01-01,29.49850000000001,Bari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78012565351881,32.71057901946517]}"
3_0,1.6,0.05945909,1.6,0.432,4.6,0.07775909,190.7,3.6,486.5,0.22182955,0.7,55.7,0.07925682,59.32,0.17194545,0.114786364,-2.62013920979532,1.6,139.0683,305,317,"2/22/24, 12:00 AM",KATHUA,1564,2024-12-31,6.6,4.1574373,402,392,292,291,38.40711,2024-01-01,29.32368181818181,Sandhi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.89493034682928,32.703033171078566]}"
4_0,0.6,0.046114285,0.6,0.242,5.5,0.06712381,167.5,5.4,542.1,0.29534525,0.78,46.41,0.05627381,25.41,0.19191667,0.10914048,1.0654309292331943,0.8,94.01338,276,288,"1/27/24, 12:00 AM",KATHUA,1074,2024-12-31,6.4,4.6427073,393,385,332,326,13.022882,2024-01-01,29.769909090909085,Baggan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.6725973140097,32.654793640321344]}"
5_0,1.7,0.06576191,0.7,0.1915,5.6,0.08521429,150.3,4.6,472.6,0.23809047,0.68,89.36,0.09233809,64.32,0.23937143,0.16652857,-2.100394507481651,1.8,131.81503,314,320,"1/27/24, 12:00 AM",KATHUA,1128,2024-12-31,6.8,4.6427073,369,367,317,313,22.428398,2024-01-01,29.732545454545455,Baggan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.66693792771974,32.653176672809934]}"
6_0,0.6,0.07677727,1.4,0.329,5.5,0.09567273,154.2,4.7,625.5,0.23744772,0.9,25.41,0.11121591,25.41,0.19385228,0.14213409,-3.255429039786967,0.8,174.10292,286,295,"1/29/24, 12:00 AM",KATHUA,1179,2024-12-31,6.6,4.6427073,398,393,316,312,20.52085,2024-01-01,29.73963636363636,Baggan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.67690922737347,32.66072252119653]}"
7_0,1.6,0.0667175,1.6,0.0724,4.7,0.089825,140.3,5.7,562.95,0.2616425,0.81,23.26,0.0941875,29.18,0.198925,0.136375,-4.482556361278498,1.8,311.21735,238,254,"5/18/24, 12:00 AM",KATHUA,1076,2024-12-31,6.4,4.805849,424,407,338,339,32.56833,2024-01-01,29.64204545454545,Baggan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.67071085191304,32.61868136589974]}"
8_0,1.6,0.045430955,1.3,0.0775,4.8,0.06460953,137.5,5.6,278,0.26102144,0.4,26.83,0.05273095,47.16,0.16467857,0.09471667,0.7164584365498646,1.5,128.16713,263,266,"5/18/24, 12:00 AM",KATHUA,915,2024-12-31,7.4,4.805849,411,401,326,333,20.139933,2024-01-01,29.751255813953502,Baggan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.66100904684455,32.63350356808771]}"
9_0,1.6,0.0940439,1.7,0.0382,3.6,0.10688293,176.2,4.4,514.3,0.15237316,0.74,45.32,0.1316122,40.13,0.12831707,0.12002683,3.8184030468665298,1.3,112.83886,265,269,"5/18/24, 12:00 AM",KATHUA,756,2024-12-31,6.6,4.743614,420,416,315,316,2.3881898,2024-01-01,29.715636363636364,Baggan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.63486807207669,32.614099957950735]}"
