system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.12215185,0,0.25,0,0.13819136,138,0,242,0.29376295,0.85,13,0.13550988,13.4,0.21045186,0.14449012,-1.7779618487526518,0.77,112.56889,314,327,"2/23/24, 12:00 AM",SHOPIAN,2153,2024-12-31,5.1,2.7210379,296,291,391,382,2.4152055,2024-01-01,28.915913043478263,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74526644621312,33.77292667446491]}"
1_0,0,0.106123075,0,0.19,0,0.117055126,143,0,165,0.23219743,0.59,23,0.11375257,13.2,0.21532692,0.16378333,-1.627170303347561,0.56,116.50598,300,317,"3/1/24, 12:00 AM",SHOPIAN,2122,2024-12-31,6.5,2.5286415,287,284,413,399,6.2102222,2024-01-01,28.938869565217395,Kellar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76520904552058,33.77912504992534]}"
2_0,0,0.06817403,0,0.38,0,0.08326753,132,0,274,0.24566235,0.9,16.1,0.0783,10,0.18897532,0.1261961,-1.8864440002280904,0.85,226.4708,288,311,"2/24/24, 12:00 AM",SHOPIAN,2125,2024-12-31,6.5,2.5286415,278,273,434,416,10.6490965,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76736500220245,33.77858606075487]}"
3_0,0,0.077679224,0,0.11,0,0.08906234,142,0,187,0.23101428,0.65,17.8,0.08514286,12,0.1904,0.13947533,-1.4978711780542013,0.63,207.27603,288,311,"2/24/24, 12:00 AM",SHOPIAN,2121,2024-12-31,7,2.5286415,278,273,434,416,7.2654533,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76736500220245,33.77831656616963]}"
4_0,0,0.077679224,0,0.11,0,0.08906234,142,0,187,0.23101428,0.65,17.8,0.08514286,12,0.1904,0.13947533,-1.4978711780542013,0.63,207.27603,288,311,"2/24/24, 12:00 AM",SHOPIAN,2121,2024-12-31,7,2.5286415,278,273,434,416,7.2654533,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76736500220245,33.77831656616963]}"
5_0,0,0.077679224,0,0.33,0,0.08906234,133,0,219,0.23101428,0.67,14,0.08514286,10.9,0.1904,0.13947533,-1.4978711780542013,0.51,207.27603,288,311,"2/24/24, 12:00 AM",SHOPIAN,2121,2024-12-31,6.4,2.5286415,278,273,434,416,7.2654533,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76736500220245,33.77831656616963]}"
6_0,0,0.077679224,0,0.33,0,0.08906234,133,0,219,0.23101428,0.76,14,0.08514286,10.9,0.1904,0.13947533,-1.4978711780542013,0.51,207.27603,288,311,"2/24/24, 12:00 AM",SHOPIAN,2121,2024-12-31,6.4,2.5286415,278,273,434,416,7.2654533,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76736500220245,33.77831656616963]}"
7_0,0,0.06827143,0,0.33,0,0.08318182,133,0,219,0.25715065,0.76,14,0.08098182,10.9,0.19467922,0.1299974,-1.8864440002280904,0.51,226.4708,288,311,"2/24/24, 12:00 AM",SHOPIAN,2125,2024-12-31,6.4,2.5286415,278,273,434,416,10.6490965,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7676344967877,33.77858606075487]}"
8_0,0,0.06827143,0,0.33,0,0.08318182,133,0,219,0.25715065,0.76,14,0.08098182,10.9,0.19467922,0.1299974,-1.8864440002280904,0.51,226.4708,288,311,"2/24/24, 12:00 AM",SHOPIAN,2125,2024-12-31,6.4,2.5286415,278,273,434,416,10.6490965,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7676344967877,33.77858606075487]}"
9_0,0,0.06827143,0,0.33,0,0.08318182,133,0,219,0.25715065,0.76,14,0.08098182,10.9,0.19467922,0.1299974,-1.8864440002280904,0.51,226.4708,288,311,"2/24/24, 12:00 AM",SHOPIAN,2125,2024-12-31,6.4,2.5286415,278,273,434,416,10.6490965,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7676344967877,33.77858606075487]}"
10_0,0,0.11655844,0,0.29,0,0.12436883,168,0,138,0.2160948,0.48,19.3,0.12044676,8.6,0.21088311,0.16225845,-0.3992743512220594,0.69,152.72382,300,317,"2/24/24, 12:00 AM",SHOPIAN,2118,2024-12-31,6.3,2.5286415,287,284,413,399,7.265463,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76601752927628,33.7788555553401]}"
11_0,0,0.12407308,0,0.52,0,0.13911538,152,0,277,0.23288846,0.96,19,0.14244872,14.4,0.22265257,0.18177308,-1.8938522264328845,0.66,155.71698,300,317,"3/8/24, 12:00 AM",SHOPIAN,2120,2024-12-31,6.6,2.5286415,287,284,413,399,8.08601,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76520904552058,33.7788555553401]}"
12_0,0,0.12407308,0,0.26,0,0.13911538,151,0,228,0.23288846,0.79,10.9,0.14244872,11.6,0.22265257,0.18177308,-1.8938522264328845,0.84,155.71698,300,317,"3/8/24, 12:00 AM",SHOPIAN,2120,2024-12-31,6.8,2.5286415,287,284,413,399,8.08601,2024-01-01,28.938869565217395,Mast Pora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76520904552058,33.7788555553401]}"
13_0,0,0.09050244,0,0.21,0,0.103860974,120,0,176,0.2982878,0.61,15.3,0.09860854,10.8,0.18329147,0.11389268,-2.249934412328818,0.69,16.739347,304,316,"2/23/24, 12:00 AM",SHOPIAN,2139,2024-12-31,6.1,2.7210379,293,289,402,395,3.8682423,2024-01-01,28.988347826086954,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74715290830977,33.77589111490251]}"
15_0,0,0.12215185,0,0.25,0,0.13819136,138,0,242,0.29376295,0.85,13,0.13550988,13.4,0.21045186,0.14449012,-1.7779618487526518,0.77,112.56889,314,327,"2/23/24, 12:00 AM",SHOPIAN,2153,2024-12-31,5.1,2.7210379,296,291,391,382,2.4152055,2024-01-01,28.915913043478263,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74526644621312,33.77292667446491]}"
16_0,0,0.12215185,0,0.25,0,0.13819136,138,0,242,0.29376295,0.85,13,0.13550988,13.4,0.21045186,0.14449012,-1.7779618487526518,0.77,112.56889,314,327,"2/23/24, 12:00 AM",SHOPIAN,2153,2024-12-31,5.1,2.7210379,296,291,391,382,2.4152055,2024-01-01,28.915913043478263,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74526644621312,33.77292667446491]}"
17_0,0,0.12215185,0,0.36,0,0.13819136,153,0,199,0.29376295,0.69,12,0.13550988,14,0.21045186,0.14449012,-1.7779618487526518,0.66,112.56889,314,327,"2/23/24, 12:00 AM",SHOPIAN,2153,2024-12-31,6.2,2.7210379,296,291,391,382,2.4152055,2024-01-01,28.915913043478263,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74526644621312,33.77292667446491]}"
18_0,0,0.12215185,0,0.36,0,0.13819136,153,0,199,0.29376295,0.69,12,0.13550988,14,0.21045186,0.14449012,-1.7779618487526518,0.66,112.56889,314,327,"2/23/24, 12:00 AM",SHOPIAN,2153,2024-12-31,6.2,2.7210379,296,291,391,382,2.4152055,2024-01-01,28.915913043478263,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74526644621312,33.77292667446491]}"
21_0,0,0.09050244,0,0.13,0,0.103860974,160,0,251,0.2982878,0.87,16.3,0.09860854,12,0.18329147,0.11389268,-2.249934412328818,0.7,16.739347,304,316,"2/24/24, 12:00 AM",SHOPIAN,2139,2024-12-31,6.8,2.7210379,293,289,402,395,3.8682423,2024-01-01,28.988347826086954,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74715290830977,33.77589111490251]}"
22_0,0,0.09050244,0,0.52,0,0.103860974,144,0,210,0.2982878,0.73,17,0.09860854,11,0.18329147,0.11389268,-2.249934412328818,0.67,16.739347,304,316,"2/24/24, 12:00 AM",SHOPIAN,2139,2024-12-31,6.7,2.7210379,293,289,402,395,3.8682423,2024-01-01,28.988347826086954,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74715290830977,33.77589111490251]}"
23_0,0,0.09050244,0,0.52,0,0.103860974,144,0,210,0.2982878,0.73,17,0.09860854,11.6,0.18329147,0.11389268,-2.249934412328818,0.67,16.739347,304,316,"2/24/24, 12:00 AM",SHOPIAN,2139,2024-12-31,6.7,2.7210379,293,289,402,395,3.8682423,2024-01-01,28.988347826086954,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74715290830977,33.77589111490251]}"
24_0,0,0.12074878,0,0.26,0,0.13092683,151,0,228,0.20414269,0.79,10.9,0.13224025,11.6,0.18527195,0.15888171,-0.2339320170994175,0.84,348.6616,308,326,"2/24/24, 12:00 AM",SHOPIAN,2104,2024-12-31,6.8,2.5286415,276,271,416,403,5.657262,2024-01-01,28.98065217391305,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.75658521879302,33.77939454451057]}"
25_0,0,0.12074878,0,0.45,0,0.13092683,146,0,197,0.20414269,0.73,13.4,0.13224025,13.6,0.18527195,0.15888171,-0.2339320170994175,0.72,348.6616,308,326,"2/24/24, 12:00 AM",SHOPIAN,2104,2024-12-31,6.9,2.5286415,276,271,416,403,5.657262,2024-01-01,28.98065217391305,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.75658521879302,33.77939454451057]}"
26_0,0,0.12074878,0,0.45,0,0.13092683,146,0,197,0.20414269,0.73,13.4,0.13224025,13.6,0.18527195,0.15888171,-0.2339320170994175,0.72,348.6616,308,326,"2/24/24, 12:00 AM",SHOPIAN,2104,2024-12-31,6.9,2.5286415,276,271,416,403,5.657262,2024-01-01,28.98065217391305,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.75658521879302,33.77939454451057]}"
27_0,0,0.12074878,0,0.45,0,0.13092683,146,0,197,0.20414269,0.73,13.4,0.13224025,13.6,0.18527195,0.15888171,-0.2339320170994175,0.72,348.6616,308,326,"2/24/24, 12:00 AM",SHOPIAN,2104,2024-12-31,6.9,2.5286415,276,271,416,403,5.657262,2024-01-01,28.98065217391305,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.75658521879302,33.77939454451057]}"
28_0,0,0.08709268,0,0.52,0,0.10054024,152,0,277,0.21487927,0.96,19,0.0988061,14.4,0.17532073,0.13566098,-1.4570714232074289,0.66,58.060497,303,322,"2/24/24, 12:00 AM",SHOPIAN,2133,2024-12-31,6.6,2.5286415,286,280,411,397,5.2449393,2024-01-01,28.98065217391305,Pehlipora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.75766319713397,33.777508082413924]}"
29_0,0,0.1360275,0,0.37,0,0.1501075,143,0,234,0.23125625,0.81,17.5,0.15756124,13,0.2118725,0.1807325,-3.128485672341894,0.72,314.11893,305,321,"2/22/24, 12:00 AM",SHOPIAN,2122,2024-12-31,5.6,2.5286415,282,277,414,401,9.245122,2024-01-01,28.98065217391305,Ringward,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76143612132726,33.779933533681046]}"
30_0,0,0.11606875,0,0.37,0,0.1237,143,0,234,0.2183525,0.81,17.5,0.11851625,13,0.19614,0.1524575,-3.123161622636942,0.72,318.57837,298,315,"2/22/24, 12:00 AM",SHOPIAN,2126,2024-12-31,5.6,2.5286415,288,285,413,401,17.942747,2024-01-01,28.98065217391305,Ringward,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76278359425345,33.78074201743676]}"
31_0,0,0.11606875,0,0.18,0,0.1237,137,0,196,0.2183525,0.68,19.1,0.11851625,10.9,0.19614,0.1524575,-3.123161622636942,0.64,318.57837,298,315,"2/22/24, 12:00 AM",SHOPIAN,2126,2024-12-31,6.3,2.5286415,288,285,413,401,17.942747,2024-01-01,28.98065217391305,Ringward,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76278359425345,33.78074201743676]}"
32_0,0,0.11606875,0,0.18,0,0.1237,137,0,196,0.2183525,0.68,19.1,0.11851625,10.9,0.19614,0.1524575,-3.123161622636942,0.64,318.57837,298,315,"2/22/24, 12:00 AM",SHOPIAN,2126,2024-12-31,6.3,2.5286415,288,285,413,401,17.942747,2024-01-01,28.98065217391305,Ringward,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76278359425345,33.78074201743676]}"
33_0,0,0.11606875,0,0.18,0,0.1237,137,0,196,0.2183525,0.68,19.1,0.11851625,10.9,0.19614,0.1524575,-3.123161622636942,0.64,318.57837,298,315,"2/22/24, 12:00 AM",SHOPIAN,2126,2024-12-31,6.3,2.5286415,288,285,413,401,17.942747,2024-01-01,28.98065217391305,Ringward,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76278359425345,33.78074201743676]}"
