system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.79,0.075068116,1.33,0.16,35.3,0.1038,149.6,15.3,280.1,0.2876884,0.4,28.84,0.118678264,16.02,0.32183912,0.22726376,-0.35885508839687413,1.29,65.52157,304,315,"6/11/24, 12:00 AM",GIRIDIH,358,2024-12-31,5.08,3.6001294,372,362,324,323,4.4677634,2024-01-01,30.29507692307693,Bhandaro,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.03897602969215,24.419578104684046]}"
1_0,0.64,0.06611014,1.29,0.18,31.2,0.09767536,160.5,21.4,269.7,0.27224782,0.41,23.12,0.10895217,11.33,0.26502174,0.19735941,0.26010203361764445,1.26,47.680653,285,299,"6/11/24, 12:00 AM",GIRIDIH,358,2024-12-31,5.62,3.6001294,374,367,341,334,1.3773419,2024-01-01,30.30071794871795,Bhandaro,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.03574209466933,24.418769620928337]}"
2_0,0.68,0.09053611,1.744,0.31,20.68,0.11906389,192.6,0,181.3,0.26660556,1,12.77,0.1359139,16.81,0.26510277,0.20449722,-1.6115064249993474,0.226,65.52029,282,293,"2/19/24, 12:00 AM",GIRIDIH,358,2024-12-31,5.62,3.5173228,415,406,303,301,2.2371726,2024-01-01,30.25091891891892,Tatkari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.2887975102058,24.41203225629744]}"
3_0,0.71,0.14073333,0.668,0.28,29.2,0.1752116,201.7,0,198.2,0.3074507,0.91,14.18,0.20486666,23.12,0.37684926,0.30917245,-0.8241106197933421,0.748,90.0,270,279,"2/19/24, 12:00 AM",GIRIDIH,354,2024-12-31,5.84,3.5173228,423,417,307,304,1.0184134,2024-01-01,30.27905555555555,Tatkari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.29661285317763,24.4079898375189]}"
4_0,0.59,0.13572028,3.12,0.22,25.1,0.1662739,138.4,8.17,276,0.3112942,0.35,11.84,0.19295363,12.5,0.37509567,0.30315217,-0.8241029606698205,1.78,90.0,270,279,"6/8/24, 12:00 AM",GIRIDIH,354,2024-12-31,6.28,3.5173228,423,417,307,304,1.0184112,2024-01-01,30.27905555555555,Tatkari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.29661285317763,24.40772034293367]}"
5_0,0.3,0.114179105,0.546,0.34,13.4,0.15086716,62.4,1.351,219.1,0.32371193,0.93,22.1,0.21181343,14.22,0.41447014,0.3383358,-2.0430999153620104,1,143.80412,261,268,"3/28/24, 12:00 AM",GIRIDIH,324,2024-12-31,5.76,3.4720082,412,405,328,327,3.443757,2024-01-01,30.2925,Kumhargarhia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.22896971228343,24.35301294213079]}"
6_0,0.87,0.07191905,1.62,0.16,28.4,0.14141876,160.1,22.16,307.2,0.3061281,0.71,17.81,0.14910156,27.42,0.2877,0.2020125,6.379084890580023,0.7,114.4922,284,289,"6/11/24, 12:00 AM",GIRIDIH,324,2024-12-31,5.36,3.5241852,399,392,317,318,2.2361033,2024-01-01,30.254052631578954,Kumhargarhia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.22735274477202,24.338999223698522]}"
7_0,0.41,0.07072214,1.66,0.2,25.1,0.08891374,182.4,24.6,279.1,0.2660832,0.61,12.86,0.084415264,16.41,0.20334122,0.1330939,-1.6105717827397432,1.27,294.49088,297,300,"6/11/24, 12:00 AM",GIRIDIH,351,2024-12-31,5.36,3.631615,377,375,326,325,2.236217,2024-01-01,30.210270270270268,Nawadih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.10419371931923,24.346545072085128]}"
8_0,0.45,0.09805441,1.21,0.23,32.6,0.11969706,190.2,24.5,272.8,0.24230735,0.56,13.92,0.14273088,16.58,0.31653088,0.24460295,-1.6111213365490362,0.67,114.48432,275,285,"6/11/24, 12:00 AM",GIRIDIH,363,2024-12-31,5.27,3.3857622,415,408,310,307,2.2367778,2024-01-01,30.296108108108104,Nawadih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.2640040083641,24.385082797773855]}"
9_0,0.66,0.08400294,1.47,0.2,31.5,0.10609118,218,25.1,247.7,0.2576206,0.61,16.16,0.11251765,13.08,0.28514266,0.21137059,-1.7562117647094582,1.06,280.32446,267,277,"6/11/24, 12:00 AM",GIRIDIH,351,2024-12-31,5.75,3.3857622,411,406,322,317,5.161081,2024-01-01,30.301405405405408,Nawadih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.2640040083641,24.3756504872906]}"
10_0,0.41,0.09531194,1.34,0.18,21.2,0.12981641,140.7,8.13,284.2,0.2882761,0.73,13.29,0.17764775,11.74,0.34866568,0.27703133,-2.2475095107234115,1.21,28.749744,276,281,"6/2/24, 12:00 AM",GIRIDIH,330,2024-12-31,6.21,3.5811229,376,372,348,346,4.2239285,2024-01-01,30.20914285714287,Ektara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.09691736551787,24.301808970935976]}"
11_0,0.7,0.108416416,3.12,0.2,21.81,0.13306865,143.5,9.19,287.3,0.3236597,0.56,26.78,0.14322686,17.42,0.30870897,0.21738358,-1.891030378944993,1.03,200.08934,297,292,"6/2/24, 12:00 AM",GIRIDIH,344,2024-12-31,5.44,3.631615,388,390,316,318,2.9600945,2024-01-01,30.20914285714287,Ektara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.10338523556352,24.30019200342456]}"
12_0,0.53,0.07552353,0.999,0.41,41.4,0.10062059,124.8,2.45,219.6,0.25036028,0.66,12.31,0.10865,16.86,0.24409853,0.17143089,-1.3491173911193595,0.491,143.82133,291,284,"3/28/24, 12:00 AM",GIRIDIH,333,2024-12-31,5.92,3.6200526,395,398,314,319,3.4430015,2024-01-01,30.25777142857142,Chachghara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.11093108395013,24.272973050315738]}"
13_0,0.79,0.097421624,1.46,0.18,31.5,0.12674865,264.1,21.8,254,0.28307566,0.78,33.04,0.13676487,9.38,0.29597026,0.22038108,0.8400879303728171,1.7,28.8186,298,301,"6/5/24, 12:00 AM",GIRIDIH,173,2024-12-31,5.37,3.4352252,271,271,430,428,2.1162333,2024-01-01,30.272864864864864,Jagdishpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.78834606542281,24.660236769299665]}"
14_0,0.83,0.13655142,0.694,0.28,2.35,0.19161715,211.2,0,219.6,0.32841998,0.55,24.36,0.25620857,21.17,0.46929428,0.42372286,-1.1143139437104461,1.552,90.0,284,309,"2/17/24, 12:00 AM",GIRIDIH,192,2024-12-31,6.4,3.5551138,318,303,398,388,4.072414,2024-01-01,30.28533333333333,Lakhikura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.93441213062064,24.568608610319473]}"
