system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,2.09,0.105087325,6,0.28,12.54,0.11649296,211.9,4.78,222.5,0.23030986,0.49,14.76,0.11219155,24,0.19043943,0.12944366,-0.0351325753898428,0.89,312.1784,242,259,"5/22/24, 12:00 AM",GODDA,95,2024-12-31,6.69,3.1939278,436,429,323,312,2.760549,2024-01-01,30.291090909090908,Paharpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.41501538190644,25.034025759021798]}"
2_0,1.46,0.052842256,1.16,0.54,67.1,0.06626056,146.2,66.2,267.2,0.2038817,0.39,39.11,0.07328028,89.2,0.22412536,0.16473943,-0.7333865959897444,2.12,180.0,222,226,"5/19/24, 12:00 AM",GODDA,275,2024-12-31,5.21,3.2238615,415,405,363,369,0.92740995,2024-01-01,30.11874285714285,Dumer(Palem),"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.4214832519521,24.777466913877262]}"
3_0,2.13,0.1093676,4.56,0.36,64.3,0.13252676,134.2,45.9,148.2,0.29234788,0.28,45.12,0.14131972,34.6,0.2936676,0.21335916,-0.73436749426109,4.11,-0.0,267,282,"5/27/24, 12:00 AM",GODDA,95,2024-12-31,5.11,2.9299057,366,364,367,354,0.92740995,2024-01-01,30.407000000000007,Boha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.28970039977176,24.900625939330048]}"
4_0,2.21,0.10277778,4.21,0.41,51.2,0.12437778,132.4,49.6,255.6,0.30025,0.67,65.21,0.12307222,52.3,0.25249028,0.18267916,0.7430512171258093,3.23,200.17313,280,292,"5/28/24, 12:00 AM",GODDA,78,2024-12-31,5.41,2.9636784,378,372,343,336,2.9616785,2024-01-01,30.360969696969693,Chapri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.22798613975276,24.866939116175566]}"
5_0,5.43,0.13839719,5.12,0.49,76.2,0.15929437,156.2,65.5,125.2,0.30432677,0.58,56.43,0.17498592,65.4,0.33352253,0.2729338,-0.925160999579438,6.54,294.39877,269,294,"7/5/24, 12:00 AM",GODDA,82,2024-12-31,5.67,2.9636784,369,369,362,337,2.2441301,2024-01-01,30.371696969696966,Pathriya Mal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.24927621198638,24.88041384543736]}"
6_0,1.14,0.083431944,2.01,0.12,17.5,0.106697224,162.9,15.4,319.8,0.26345557,0.55,21.96,0.12156389,23.5,0.31989583,0.24062778,-2.8459538079865845,1.07,111.26624,248,269,"7/5/24, 12:00 AM",GODDA,124,2024-12-31,5.82,3.1670718,442,436,310,296,7.6261516,2024-01-01,30.354342857142857,Nonbatta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.29832422649932,24.74970897159797]}"
7_0,2.56,0.066657335,8.98,0.35,16.89,0.08490667,178.54,2.78,189.2,0.24665067,0.28,33.87,0.086992,22,0.22543201,0.15874134,-1.9713986714911935,1.03,253.15335,213,236,"7/10/24, 12:00 AM",GODDA,171,2024-12-31,6.24,3.1670718,407,400,380,364,3.1970077,2024-01-01,30.357333333333326,Jhapnibandh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.26733234919719,24.712249224250186]}"
8_0,2.17,0.074988,2.58,0.21,24.14,0.09768267,134.12,2.45,184.2,0.284204,0.47,17.45,0.10404933,16,0.283412,0.19251333,-2.632107563075522,5.45,98.60898,231,241,"7/10/24, 12:00 AM",GODDA,166,2024-12-31,5.87,3.1670718,433,433,336,326,6.172081,2024-01-01,30.348971428571428,Jhapnibandh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.26032548998106,24.718178105125375]}"
9_0,0.99,0.13120705,8.9,0.26,27.97,0.15059437,110.67,3.76,327.5,0.29920846,0.73,12.78,0.1564817,42,0.27852958,0.2154338,-1.8976946718162244,2.43,339.79865,252,269,"7/10/24, 12:00 AM",GODDA,55,2024-12-31,6.76,3.0501916,353,342,395,390,2.962214,2024-01-01,30.3015,Sirinathpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.27245274631667,25.054237852914486]}"
10_0,1.45,0.10237222,2.45,0.21,18.9,0.1233,123.9,3.56,307.7,0.29543057,0.76,24.5,0.119963884,12,0.2485111,0.17569722,1.8076763960493232,2.98,270.0,280,292,"6/23/24, 12:00 AM",GODDA,76,2024-12-31,5.34,2.9636784,378,372,343,336,1.022158,2024-01-01,30.360969696969693,Ghat Gorsanda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.22798613975276,24.86666962159033]}"
11_0,0.64,0.08204507,0.73,0.17,32.6,0.10655493,274,28.6,294.8,0.2949972,0.2,24.67,0.10999718,14.7,0.30622536,0.20691127,-0.031792275631373365,0.78,312.24063,220,240,"4/17/24, 12:00 AM",GODDA,141,2024-12-31,4.6,3.1118927,415,405,365,355,2.7572503,2024-01-01,30.37527272727272,Tesuba Than,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.34359931681894,24.76453117378594]}"
12_0,5.13,0.13918732,8.34,0.57,49.43,0.15225352,129.12,65.12,145.23,0.2937338,0.78,67.21,0.15438028,76.54,0.24887747,0.18325071,2.3885223826342834,4.14,151.08472,262,279,"6/26/24, 12:00 AM",GODDA,54,2024-12-31,5.46,3.0324306,320,320,417,401,2.118201,2024-01-01,30.329812500000006,Dahua Pakaria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.43711393789577,25.15287287111081]}"
13_0,6.54,0.15703043,6.23,0.63,45.2,0.1716203,123.2,67.1,168.3,0.33313477,0.65,87.21,0.17437682,76.2,0.33573332,0.25224638,-1.2053940493575568,8.32,20.215603,275,293,"5/23/24, 12:00 AM",GODDA,51,2024-12-31,9.21,3.0293624,307,301,417,406,2.962485,2024-01-01,30.319062499999998,Dariapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.32446520126719,25.148021968576565]}"
14_0,1.32,0.20224246,5.21,0.54,56.2,0.22017671,167.1,65.2,178.2,0.35371643,0.69,65.21,0.23224932,59.2,0.3612685,0.2933219,-0.7366197252954476,5.21,-0.0,281,292,"5/28/24, 12:00 AM",GODDA,53,2024-12-31,8.32,3.0324306,295,292,424,416,0.92740995,2024-01-01,30.322838709677423,Mania Chak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.40935599561648,25.18143929714581]}"
15_0,3.15,0.09983857,5.32,0.39,49.21,0.115282856,167.2,67.2,245.2,0.24956857,0.67,49.12,0.115235716,27.2,0.21211715,0.15225,3.0260339865898422,4.32,227.80486,268,289,"5/17/24, 12:00 AM",GODDA,63,2024-12-31,6.12,2.8930793,361,349,372,362,1.3806306,2024-01-01,30.293151515151504,Jogidih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.26167296290724,24.96180121017859]}"
