system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.062475372,3.5,0.19,25,0.0849403,225.7,26.7,312.23400000000004,0.24722463,0.52,7.741,0.08938209,2.65,0.24267313,0.17238657,-1.7410747504921158,1.26,259.59686,361,368,"7/24/24, 12:00 AM",GUMLA,642,2024-12-31,5.78,3.6030915,256,254,383,378,5.122683,2024-01-01,30.135794871794868,Rehe,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.39371158682725,23.37124416811656]}"
1_0,0.55,0.062475372,1.2,0.16,49.1,0.0849403,133.7,13.4,234.17550000000003,0.24722463,0.39,8.628,0.08938209,3.47,0.24267313,0.17238657,-1.7410747504921158,1.08,259.59686,361,368,"7/24/24, 12:00 AM",GUMLA,642,2024-12-31,6.23,3.6030915,256,254,383,378,5.122683,2024-01-01,30.135794871794868,Rehe,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.39371158682725,23.37124416811656]}"
2_0,0.59,0.1280478,0.84,0.26,22.7,0.1457272,200,18,252.189,0.23210736,0.42,6.41,0.16037206,8.8,0.28020737,0.2322147,-1.8070037707959667,0.84,227.45026,342,348,"7/24/24, 12:00 AM",GUMLA,633,2024-12-31,5.13,3.6030915,271,269,386,382,2.7410293,2024-01-01,30.161846153846145,Rehe,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.38535725468493,23.374747597724628]}"
3_0,0.32,0.059320148,2.42,0.08,23.9,0.0801097,109.6,18,210.1575,0.25898582,0.35,16.306,0.077563435,2.24,0.23646268,0.16375971,-1.9068289014845794,1.18,270.0,361,368,"7/24/24, 12:00 AM",GUMLA,648,2024-12-31,5.63,3.6030915,256,254,383,378,3.0283487,2024-01-01,30.135794871794868,Rehe,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.39425057599772,23.371513662701798]}"
4_0,0.8,0.049452238,2.4,0.16,23,0.06862985,235.2,15.4,360.27000000000004,0.27443582,0.6,28.14,0.055958956,11.6,0.19011344,0.10770224,-1.806954883949781,1.8,312.5506,349,355,"7/24/24, 12:00 AM",GUMLA,652,2024-12-31,5.46,3.6030915,265,266,386,379,2.7409856,2024-01-01,30.135794871794868,Rehe,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.39532855433866,23.370705178946093]}"
5_0,1.28,0.09568725,2.42,0.14,18.2,0.1178698,164.08,18,228.171,0.24894162,0.38,32.19,0.13837449,20,0.2950369,0.23666309,-1.8222423693173757,2.1,-0.0,341,350,"7/24/24, 12:00 AM",GUMLA,573,2024-12-31,5.56,3.5946488,228,224,431,426,2.7802885,2024-01-01,30.029567567567575,Barkadoharaliasdomkom,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.35113144235999,23.50949489034256]}"
6_0,0.87,0.1084237,2.46,0.12,35.63,0.14411186,225.46,23.4,481.6,0.29730296,0.86,6.68,0.17408518,15,0.34202296,0.26575926,-1.1280028797754593,1.14,-0.0,333,345,"7/19/24, 12:00 AM",GUMLA,614,2024-12-31,5.02,3.6030915,277,274,390,381,2.7802885,2024-01-01,30.184461538461544,Chenri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.38104534132117,23.36288983597425]}"
7_0,0.18,0.10436449,0.8,0.03,38.39,0.13772537,163.18,14.1,128.8,0.26523188,0.23,7.25,0.16131377,9,0.3107652,0.24193624,-0.4982015228866603,0.3,245.34445,337,349,"7/19/24, 12:00 AM",GUMLA,611,2024-12-31,4.83,3.6030915,278,274,384,377,2.2222192,2024-01-01,30.184461538461544,Chenri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.37861989005404,23.362081352218542]}"
8_0,0.64,0.08737023,1.03,0.08,48.67,0.1131374,192.75,7.29,184.8,0.28147024,0.33,8.56,0.120812975,9,0.2732458,0.18995954,2.0250966424278256,0.32,270.0,358,371,"7/19/24, 12:00 AM",GUMLA,616,2024-12-31,5.06,3.6030915,266,261,376,368,3.0281777,2024-01-01,30.184461538461544,Chenri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.38266230883258,23.363967814315195]}"
9_0,0.9,0.10878162,4,0.25,26.5,0.13486324,184.33,25,486.3645000000001,0.29135293,0.81,12.62,0.14542058,35,0.31921324,0.2313125,0.24559372321014755,1.84,107.01292,343,349,"7/24/24, 12:00 AM",GUMLA,629,2024-12-31,5.37,3.6030915,272,270,385,381,3.1667347,2024-01-01,30.161846153846145,Chipri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.3872437167816,23.374478103139392]}"
