system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.85,0.11644556,1.21,0.56,56.18,0.15110889,165.1,45.12,324.1,0.32040668,0.48,6.25,0.17115112,26.15,0.3305289,0.24585778,-1.806646504437989,26.15,132.55632,383,402,"5/31/24, 12:00 AM",LOHARDAGA,625,2024-12-31,7.52,3.5410604,274,271,343,327,2.7406871,2024-01-01,30.155081081081082,Bhargaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.62520743554485,23.344294709592976]}"
1_0,0.53,0.09379626,0,0.52,63.1,0.11800561,63.1,23.1,145.1,0.27289906,0.36,36.1,0.12678038,25.1,0.32549253,0.23463364,-0.03030085663509744,41.5,180.0,350,362,"5/31/24, 12:00 AM",LOHARDAGA,648,2024-12-31,6.15,3.7105463,300,293,350,345,0.92740995,2024-01-01,30.211100000000005,Kolsimri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78798216502732,23.484431893915623]}"
2_0,0.42,0.13472535,2,0.85,31.04,0.1668183,185,36.1,225.1,0.31540564,0.75,66.1,0.187431,6.21,0.35208732,0.27407184,2.832156043505276,36.1,114.63361,346,362,"5/29/24, 12:00 AM",LOHARDAGA,654,2024-12-31,5.3,3.5964692,298,292,356,346,2.2240732,2024-01-01,30.25384615384615,Hirhi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72492043208211,23.495481171910292]}"
3_0,0.23,0.09469015,1.25,0.53,2.51,0.11814318,165.3,3.15,225.3,0.2747515,0.58,33.15,0.15019697,14,0.37999773,0.2750621,-1.3724846243457849,13.5,238.53099,391,398,"5/29/24, 12:00 AM",LOHARDAGA,653,2024-12-31,6.15,3.5370817,278,281,330,321,3.5488062,2024-01-01,30.212111111111117,Alaundi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58828667736753,23.352110052564818]}"
4_0,0.36,0.09645833,1.42,0.85,0.36,0.12435677,175.3,16.58,235.2,0.2642354,0.62,6.75,0.1481375,2.45,0.32608593,0.24755156,-1.8213621924188788,0.75,180.0,376,395,"5/27/24, 12:00 AM",LOHARDAGA,679,2024-12-31,7.15,3.5370817,293,285,331,320,2.7802885,2024-01-01,30.108999999999995,Danru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.57777638854334,23.39091727283878]}"
5_0,0.58,0.092269085,2.15,0.58,36.19,0.12742214,41.6,25.16,258.1,0.28262863,0.63,56.19,0.15030572,45.16,0.30910152,0.23385076,0.06326211471028904,22.15,208.58675,398,409,"6/1/24, 12:00 AM",LOHARDAGA,703,2024-12-31,5.16,3.4885638,283,276,319,315,2.111554,2024-01-01,30.102777777777778,Fatehpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.56699660513391,23.42676005267515]}"
6_0,0.56,0.088482104,0,0.53,23.1,0.115036845,235.1,32.1,255.1,0.29435158,0.32,36.1,0.11856,56.31,0.2645105,0.1861558,-0.02935317838164679,23.1,180.0,372,394,"5/31/24, 12:00 AM",LOHARDAGA,639,2024-12-31,6.25,3.5771406,283,278,344,329,0.92740995,2024-01-01,30.146947368421053,Jamira,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.6241294572039,23.35776943885477]}"
7_0,0.53,0.106261685,0,0.85,63.1,0.13644019,185.1,26.1,168.1,0.3129785,0.65,16.2,0.16128878,36.1,0.3779168,0.2684757,-1.5467030458808901,16.1,151.40262,350,362,"5/31/24, 12:00 AM",LOHARDAGA,649,2024-12-31,6.25,3.7105463,300,293,350,345,2.1117673,2024-01-01,30.211100000000005,Kolsimri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78771267044208,23.484970883086095]}"
8_0,0.85,0.14647609,0,0.56,23.1,0.20018768,145.1,25.1,165.1,0.38169566,0.85,23.1,0.27553043,35.1,0.47128117,0.40855798,-0.27471032766671466,53.61,121.456604,381,389,"5/31/24, 12:00 AM",LOHARDAGA,653,2024-12-31,7.51,3.5087023,296,292,323,319,3.550059,2024-01-01,30.19854054054054,Inta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.69150310351287,23.41678875302142]}"
9_0,1.36,0.077281676,0.25,0.56,33.1,0.09648168,36.15,51.4,185.1,0.26536793,0.475,23.1,0.09131374,13.58,0.22872901,0.16395344,-1.545456758730406,36.14,151.42728,382,388,"5/29/24, 12:00 AM",LOHARDAGA,662,2024-12-31,6.13,3.6824803,276,280,342,331,2.1112723,2024-01-01,30.201513513513518,Alaundi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.57508144269099,23.34941510671246]}"
10_0,0.56,0.0851203,0.86,0.84,69.86,0.111238346,28.1,31.52,369.1,0.27370828,0.59,56.15,0.11585263,63.15,0.29398796,0.19847594,4.727105024477618,52.15,227.44266,390,400,"5/31/24, 12:00 AM",LOHARDAGA,630,2024-12-31,5.15,3.6824803,276,275,334,326,2.7406344,2024-01-01,30.199513513513516,Mintgara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.59717999868032,23.339443807058732]}"
11_0,0.56,0.12101296,1,0.65,3.15,0.15289444,221.01,2.15,225.1,0.33618703,0.75,34.1,0.16881296,36.1,0.33397964,0.24903148,-0.7591819365145581,4.12,344.75427,356,362,"5/31/24, 12:00 AM",LOHARDAGA,646,2024-12-31,5.16,3.6626465,300,296,344,342,3.8395336,2024-01-01,30.154052631578942,Baridih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.80226537804481,23.4714961538243]}"
