system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.56,0.12060556,0.39,0.77,15.45,0.15733542,298.47,25.77,287.36,0.31727362,0.78,15.65,0.19869652,27.95,0.4116882,0.32371944,-1.2467720032657925,0.46,107.1121,387,391,"4/2/24, 12:00 AM",SIMDEGA,411,2024-12-31,5.65,3.7176015,260,259,354,350,3.1489606,2024-01-01,30.265833333333333,Kurpani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.46108523313622,22.53958387807871]}"
1_0,0.75,0.076218665,0.67,0.74,14.93,0.09878667,390.65,27.68,328.37,0.22984533,0.97,19.89,0.106979996,29.62,0.259064,0.18032266,-1.5373121162624972,0.35,151.58904,349,354,"1/24/24, 12:00 AM",SIMDEGA,269,2024-12-31,5.37,3.668769,293,293,359,352,4.210394,2024-01-01,30.294888888888888,Bansjor,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.64703649694896,22.435828462762906]}"
2_0,0.59,0.08222466,0.54,0.38,18.54,0.10696438,287.75,17.59,229.32,0.23901507,0.54,13.87,0.117831506,13.95,0.25437534,0.18605343,-0.8440800827650937,0.64,208.4092,373,389,"1/24/24, 12:00 AM",SIMDEGA,265,2024-12-31,5.35,3.5639086,315,310,313,300,4.2103233,2024-01-01,30.277828571428575,Bansjor,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70875075696797,22.425587668523942]}"
3_0,0.74,0.07968508,0.57,0.77,14.67,0.10402836,293.48,14.37,195.45,0.26665747,0.49,18.39,0.11183657,27.89,0.26099253,0.17657538,0.019998831941262785,0.75,304.71707,362,379,"1/7/24, 12:00 AM",SIMDEGA,518,2024-12-31,5.78,3.5316453,321,308,317,312,4.873819,2024-01-01,30.0140606060606,Lamdega,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78636519751589,22.507244527850407]}"
4_0,0.65,0.061904,0.64,0.93,13.35,0.08256,286.78,15.75,218.74,0.27540535,0.57,14.59,0.074518666,23.96,0.231248,0.139896,-2.707487989708951,1.15,17.17887,364,380,"1/9/24, 12:00 AM",SIMDEGA,317,2024-12-31,4.96,3.6057913,269,263,367,357,6.7640076,2024-01-01,30.236742857142858,Lamdega,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.61766158715825,22.451998137877055]}"
5_0,0.34,0.07971367,0.37,0.34,14.97,0.104934536,330.48,24.86,231.43,0.23341295,0.59,14.67,0.12251439,28.51,0.26982805,0.19447914,-1.586649321904699,0.36,65.22206,366,387,"2/3/24, 12:00 AM",SIMDEGA,415,2024-12-31,5.93,3.7888393,238,230,396,382,2.2119412,2024-01-01,30.29978947368421,Pakartanr,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.21692313891253,22.60210662185343]}"
6_0,0.59,0.07032371,0.73,0.77,10.35,0.09251031,274.36,24.79,287.48,0.262367,0.78,19.37,0.09972165,21.47,0.28851032,0.19470516,-1.9426225595366122,0.77,287.0891,381,399,"2/3/24, 12:00 AM",SIMDEGA,446,2024-12-31,5.77,3.8425326,271,264,348,338,3.1530612,2024-01-01,30.151099999999992,Pakartanr,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.4662056302557,22.735775936130413]}"
7_0,0.79,0.08343582,0.95,0.65,17.59,0.1052597,275.37,20.47,296.76,0.25037163,0.85,14.39,0.114177614,25.37,0.2822806,0.19417015,-1.9386282079393482,0.89,72.87697,342,356,"2/9/24, 12:00 AM",SIMDEGA,264,2024-12-31,5.38,3.6595492,264,269,394,376,3.1470134,2024-01-01,30.33324324324325,Koromiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.41473216447565,22.44579976241663]}"
8_0,0.95,0.088443056,0.51,0.45,13.97,0.115725,315.56,18.69,290.59,0.28905416,0.81,12.47,0.13274166,19.67,0.3518486,0.2524361,-0.9618584898189952,0.95,192.20943,362,376,"1/25/24, 12:00 AM",SIMDEGA,255,2024-12-31,5.77,3.6763825,288,283,350,340,4.7339745,2024-01-01,30.282555555555557,Targa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.68180129844438,22.436906441103847]}"
9_0,0.46,0.086768575,0.37,0.35,14.59,0.11244286,384.39,25.87,320.59,0.27712715,0.93,17.59,0.12609571,19.77,0.34123784,0.23971857,2.327564701017263,1.48,-0.0,380,405,"1/6/24, 12:00 AM",SIMDEGA,437,2024-12-31,5.59,3.794635,239,229,380,366,0.92740995,2024-01-01,30.276789473684218,Gorairjor,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.11694064779003,22.59563875180777]}"
