system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.2,0.07502857,1.8,0.01,0.62,0.09605714,246,15,98,0.20858286,0.19,30,0.11478,7.5,0.19507429,0.14810285,-1.837267984455253,0.66,340.80087,341,347,"3/4/24, 12:00 AM",BELAGAVI,598,2024-12-31,8.2,1.6795944,407,401,252,251,2.9437516,2024-01-01,30.888666666666666,Gundewadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.11609099549766,16.813901920157704]}"
1_0,0.24,0.071216665,3.3,0.02,0.03,0.09859444,258,24,62,0.28161946,0.12,4,0.11331944,10.1,0.27641666,0.18378611,0.19102329655866299,0.73,90.0,348,352,"6/4/24, 12:00 AM",BELAGAVI,590,2024-12-31,8.1,1.8520311,386,382,266,266,1.9372286,2024-01-01,30.856914285714293,Madabhavi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95439424435614,16.827915638589968]}"
2_0,0.18,0.060548,2.4,0.02,0.98,0.092764,875,5,124,0.20865867,0.24,16,0.12068533,6.7,0.20487067,0.15709333,-0.20262116523645934,1.18,302.5471,239,263,"6/3/24, 12:00 AM",BELAGAVI,686,2024-12-31,8.3,1.6781366,470,451,291,285,3.443817,2024-01-01,30.83605555555556,Telsang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3629480355737,16.796115277532138]}"
3_0,0.25,0.056554288,1.38,0.01,0.17,0.07819143,312,1.16,212,0.18975429,0.41,36,0.09533143,21,0.18902285,0.14608857,-0.3575777891277181,0.28,226.25903,273,282,"6/1/24, 12:00 AM",BELAGAVI,656,2024-12-31,7.8,1.7702928,453,445,274,273,2.680981,2024-01-01,30.95491428571428,Kakamari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.33087817993064,16.865375385937753]}"
4_0,0.35,0.069494665,1.68,0.01,0.15,0.102753334,95,1.43,144,0.248644,0.25,4,0.12749867,6.75,0.23968934,0.17942533,-1.4953056318078566,0.56,207.58159,263,278,"6/1/24, 12:00 AM",BELAGAVI,686,2024-12-31,7.2,1.7389259,472,457,266,265,2.0918965,2024-01-01,30.8764,Kannal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3200983965212,16.831419068198034]}"
5_0,0.2,0.06797568,2.4,0.01,0.62,0.0901446,96,7,103,0.22597298,0.2,16,0.116354056,5.2,0.25320405,0.18600675,2.733776699613995,0.63,226.25256,255,271,"6/1/24, 12:00 AM",BELAGAVI,674,2024-12-31,8.3,1.7389259,469,457,276,271,1.3410665,2024-01-01,30.898470588235302,Kannal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.32521879364069,16.82252574688525]}"
6_0,0.23,0.056176316,4,0.01,1.3,0.07810526,51,16,108,0.18267895,0.21,40,0.10434868,4.1,0.19297764,0.13984737,3.267084147763378,0.33,313.74765,253,276,"5/21/24, 12:00 AM",BELAGAVI,655,2024-12-31,8.4,1.7389259,457,437,290,287,1.3410614,2024-01-01,30.89908571428571,Kannal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.30770164560035,16.82117827395907]}"
7_0,0.38,0.05497015,2.04,0.01,1.3,0.07552836,511,14,77,0.18391493,0.15,16,0.09235373,3.7,0.1755,0.13187164,-1.4951821692266418,0.76,152.42082,354,365,"6/5/24, 12:00 AM",BELAGAVI,575,2024-12-31,8.2,1.7152061,400,391,246,244,2.0918505,2024-01-01,30.840833333333332,Gundewadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.08213467775794,16.81201545806105]}"
8_0,0.24,0.06576232,1.32,0.01,0.16,0.08952754,308,0.94,170,0.23978841,0.33,36,0.09735218,2.47,0.22052173,0.14978985,2.1028011390971377,0.36,-0.0,375,377,"6/5/24, 12:00 AM",BELAGAVI,562,2024-12-31,7.9,1.7152061,386,386,239,237,0.0,2024-01-01,30.874333333333336,Gundewadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.06353955137666,16.81875282269195]}"
9_0,0.16,0.067054056,1.06,0.01,0.97,0.08742432,462,0.9,217,0.2094027,0.42,36,0.10921081,3.75,0.21716893,0.16480406,-1.5211850673158214,0.23,244.42043,270,292,"6/3/24, 12:00 AM",BELAGAVI,654,2024-12-31,7.9,1.6874254,447,430,282,278,2.1471364,2024-01-01,30.8561081081081,Telsang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.33087817993064,16.79126437499789]}"
10_0,0.39,0.057090413,0.87,0.03,2.5,0.0909589,538,1.55,263,0.33317396,0.51,16,0.088158906,13.1,0.24019314,0.14348494,4.2452705699668085,0.29,270.0,263,284,"6/3/24, 12:00 AM",BELAGAVI,599,2024-12-31,7.8,1.6615583,463,448,274,268,0.9685228,2024-01-01,30.909666666666663,Telsang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.2944964109238,16.755691089746758]}"
11_0,0.26,0.054871622,0.2,0.01,1.7,0.08665,114,1.04,103,0.30038244,0.2,8,0.0946,16.5,0.25021893,0.16152973,-1.5214395298831107,0.3,295.57645,247,265,"5/22/24, 12:00 AM",BELAGAVI,672,2024-12-31,7.7,1.7389259,464,447,289,288,2.1473818,2024-01-01,30.898470588235302,Kannal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.32656626656686,16.81794433893624]}"
12_0,0.19,0.07374697,0.92,0.03,2.9,0.097440906,365,0.48,165,0.21402425,0.32,40,0.13133486,4.1,0.24292576,0.18060455,0.04881047707374468,0.41,46.241264,293,316,"5/21/24, 12:00 AM",BELAGAVI,609,2024-12-31,8.5,1.6937256,461,439,245,245,1.3407903,2024-01-01,30.812058823529416,Athani (Rural) (Part),"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.0915669882412,16.747606252189684]}"
13_0,0.18,0.043792307,2.3,0.02,1.6,0.06344872,737,0.8,129,0.26661026,0.25,4,0.05592051,8.25,0.15961795,0.088748716,-1.8360927334683832,1.11,160.82002,324,328,"2/10/24, 12:00 AM",BELAGAVI,537,2024-12-31,8.25,2.2540705,388,399,288,273,2.9434097,2024-01-01,30.409783783783784,Kudachi (Rural),"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.81075363042544,16.608277551622745]}"
14_0,0.23,0.082558535,1.4,0.05,1.1,0.10418293,937,1.4,165,0.2839244,0.32,4,0.108585365,10.8,0.22290245,0.14809756,2.461989488130069,0.46,234.28941,350,364,"2/12/24, 12:00 AM",BELAGAVI,553,2024-12-31,8.4,2.0913105,434,423,216,213,4.756075,2024-01-01,30.492499999999993,Yelpratti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.94603991221383,16.57027881510449]}"
15_0,0.18,0.05809333,1.2,0.05,2.1,0.076096,303,2.38,82,0.21080667,0.16,16,0.075782664,7.34,0.177824,0.12811467,-1.4122176904773018,0.46,90.0,264,272,"6/1/24, 12:00 AM",BELAGAVI,568,2024-12-31,8.4,2.5125191,517,510,220,219,1.9311898,2024-01-01,30.587500000000002,Arabhavi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.82099442466439,16.224517262246884]}"
16_0,0.19,0.08465482,1.2,0.04,0.32,0.11064595,296,1.8,118,0.23215792,0.23,16,0.13711815,13.4,0.25032508,0.19147684,-0.8906084502628655,0.2,57.373497,325,339,"5/18/24, 12:00 AM",BELAGAVI,593,2024-12-31,8,2.0002286,379,370,296,291,3.4363744,2024-01-01,30.65481081081081,Bilakundi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.00721518306237,16.20538314669514]}"
17_0,0.19,0.08278889,1.8,0.02,2.8,0.10646389,421,2.8,98,0.20406389,0.19,4,0.13502222,12.8,0.20831388,0.16580278,0.8936736761359224,0.49,90.0,291,303,"4/10/24, 12:00 AM",BELAGAVI,753,2024-12-31,7.8,2.7595172,380,373,329,324,0.9642548,2024-01-01,30.850171428571432,Inchal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.8390505618752,15.891421954895366]}"
18_0,0.24,0.052050002,1.8,0.02,0.48,0.076175,712,1.2,113,0.236395,0.22,4,0.0803175,8.4,0.18016,0.1162,-1.976466963077642,0.34,325.17157,323,328,"2/8/24, 12:00 AM",BELAGAVI,535,2024-12-31,8.1,2.2540705,407,408,270,265,3.385734,2024-01-01,30.417081081081086,Kudachi (Rural),"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.81021464125496,16.62606419424831]}"
19_0,0.19,0.057805263,1.3,0.02,0.49,0.07772368,475,1.09,144,0.23983158,0.28,4,0.08005,12.1,0.18236579,0.12110526,-0.6805447302984681,0.33,-0.0,325,336,"2/12/24, 12:00 AM",BELAGAVI,534,2024-12-31,8.4,2.188632,386,385,289,279,0.92740995,2024-01-01,30.443875,Kudachi (Rural),"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.86869496625114,16.642772858532933]}"
20_0,0.2,0.052327026,0.7,0.01,0.9,0.07236757,396,1.14,93,0.23474595,0.18,8,0.08252703,4.9,0.19954865,0.1480027,-0.7174164375147988,0.18,270.0,309,334,"5/21/24, 12:00 AM",BELAGAVI,625,2024-12-31,8.4,2.5730517,428,405,263,261,1.9295794,2024-01-01,30.63028571428572,Makkalageri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.89941734896803,16.05904758691207]}"
21_0,0.33,0.050069444,1.6,0.01,0.31,0.06333889,243,1.3,108,0.13626389,0.21,4,0.07699444,6.34,0.16838056,0.13813333,-2.3088932420752264,0.17,348.23618,342,334,"1/2/24, 12:00 AM",BELAGAVI,626,2024-12-31,8.6,2.7671328,444,440,214,226,4.7261996,2024-01-01,30.3958125,Sultanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.66010615727859,16.1832845907058]}"
22_0,0.23,0.051944446,2.4,0.01,3.9,0.06958611,327,1,67,0.19011389,0.13,4,0.074602775,8.25,0.18854444,0.12879722,1.154317936214866,0.31,180.0,359,358,"1/2/24, 12:00 AM",BELAGAVI,616,2024-12-31,8.4,2.7671328,439,430,202,212,3.7047918,2024-01-01,30.38121212121212,Noginhal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.67762330531892,16.186249031143394]}"
23_0,0.39,0.13491176,1.16,0.04,0.65,0.15635294,495,1.08,212,0.25928822,0.41,20,0.19192941,10.8,0.33402646,0.27244118,0.9014778459908122,0.36,46.139038,265,287,"5/28/24, 12:00 AM",BELAGAVI,649,2024-12-31,7.3,1.68904,468,443,267,269,1.3382998,2024-01-01,30.907212121212126,Chennapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3818126565402,16.05231022228117]}"
24_0,0.18,0.058790665,1.6,0.03,1.43,0.07846667,396,4.1,103,0.21187466,0.2,40,0.07826933,5.32,0.16566133,0.10946533,7.271709217411996,0.31,180.0,311,325,"6/1/24, 12:00 AM",BELAGAVI,567,2024-12-31,8.2,2.5125191,477,463,212,212,0.92740995,2024-01-01,30.461142857142853,Arabhavi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.82045543549393,16.226673218928774]}"
25_0,0.29,0.098707244,0.48,0.03,0.28,0.118692026,538,2.11,186,0.2773819,0.36,36,0.1269326,9.29,0.2721203,0.20777391,6.535240571650737,0.32,207.47113,279,291,"1/29/24, 12:00 AM",BELAGAVI,657,2024-12-31,8,2.1502736,480,465,241,244,2.089798,2024-01-01,30.61660606060606,Tallur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03039171739266,15.914059500055178]}"
26_0,0.24,0.057122856,2.9,0.01,1.8,0.082574286,537,11,67,0.20769429,0.13,40,0.10694857,7.8,0.2087,0.15294285,-1.4460459507551342,0.6,283.4589,356,354,"3/4/24, 12:00 AM",BELAGAVI,595,2024-12-31,8.4,1.6795944,399,402,245,244,3.9785566,2024-01-01,30.81691428571429,Gundewadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.11366554423053,16.80770354469728]}"
27_0,0.28,0.056964863,0.98,0.01,1.9,0.07735405,198,1.42,160,0.19409594,0.31,12,0.10626216,1.08,0.22525,0.17377703,0.3358970803160261,0.61,133.74744,251,268,"6/1/24, 12:00 AM",BELAGAVI,673,2024-12-31,7.9,1.7389259,462,450,288,282,1.3410665,2024-01-01,30.882971428571427,Kannal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3200983965212,16.82252574688525]}"
28_0,0.26,0.09017567,1.13,0.02,0.19,0.11419594,262,1.22,196,0.22642568,0.38,16,0.14628379,9.36,0.23927163,0.18547432,-0.8020471620322265,0.28,207.57935,236,251,"5/21/24, 12:00 AM",BELAGAVI,666,2024-12-31,7.9,1.7389259,468,456,296,293,2.0918539,2024-01-01,30.833315789473684,Kannal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.30392872140705,16.813362930987232]}"
