system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.39,0.07891,0.33,0.14,4.36,0.118422,191,3.2,214,0.285028,0.58,19,0.188234,2,0.3971,0.298252,0.5840485909154792,0.96,225.77496,239,256,"5/31/24, 12:00 AM",BENGALURU RURAL,887,2024-12-31,5.2,2.7714221,574,553,187,191,1.3295388,2024-01-01,30.50770588235294,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80726392366292,13.267892167624304]}"
1_0,0.11,0.07719231,0.3,0.14,4.07,0.107219234,113,2.68,150,0.3262654,0.41,55,0.12413269,22,0.29206732,0.19031923,-1.7185205541770892,0.93,225.7747,249,258,"5/31/24, 12:00 AM",BENGALURU RURAL,882,2024-12-31,6.35,2.7714221,564,550,187,192,2.6576347,2024-01-01,30.497176470588236,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80537746156627,13.265466716357182]}"
2_0,0.29,0.078175,0.37,0.14,7.83,0.11559423,269,6.04,150,0.294175,0.41,31,0.16460192,8,0.36423078,0.26433846,4.127867985268118,0.48,134.22498,238,250,"5/31/24, 12:00 AM",BENGALURU RURAL,882,2024-12-31,5.56,2.7714221,569,552,193,198,2.6576505,2024-01-01,30.50770588235294,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80241302112867,13.268431156794776]}"
3_0,0.13,0.09205192,0.42,0.12,3.71,0.11797885,231,5.77,140,0.28289038,0.38,25,0.151675,8,0.33210963,0.22200577,1.747251522379036,0.28,314.22583,245,255,"5/31/24, 12:00 AM",BENGALURU RURAL,884,2024-12-31,6.29,2.7714221,572,557,183,188,1.3295201,2024-01-01,30.497176470588236,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80456897781056,13.261154802993408]}"
4_0,0.13,0.07572115,0.28,0.3,4.25,0.11141923,140,3.33,82,0.29599422,0.22,28,0.15569039,8,0.36779422,0.2648327,4.082687964409948,0.82,180.0,238,250,"5/31/24, 12:00 AM",BENGALURU RURAL,883,2024-12-31,5.3,2.7714221,569,552,193,198,2.7802885,2024-01-01,30.50770588235294,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80214352654343,13.268431156794776]}"
5_0,0.2,0.07105,0.38,0.13,3.56,0.10253077,205,3.99,104,0.298475,0.41,35,0.12981346,10,0.29732308,0.19815192,0.8198923748667627,0.86,18.904951,241,251,"5/31/24, 12:00 AM",BENGALURU RURAL,879,2024-12-31,5.39,2.7714221,564,549,195,200,2.9385457,2024-01-01,30.497176470588236,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80214352654343,13.266544694698124]}"
6_0,0.37,0.072282694,0.35,0.21,3.6,0.100267306,283,3.72,160,0.25043654,0.44,53,0.12797308,18,0.28957117,0.2002,-1.840806505375414,0.82,287.97498,241,251,"5/31/24, 12:00 AM",BENGALURU RURAL,888,2024-12-31,5.21,2.7714221,564,549,195,200,3.002713,2024-01-01,30.488588235294113,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80052655903202,13.267083683868597]}"
7_0,0.24,0.08913077,0.41,0.09,5.72,0.12600385,128,5.12,129,0.3038827,0.35,25,0.1735327,4,0.36316153,0.25551346,-2.123986245219418,0.36,225.77473,241,251,"5/31/24, 12:00 AM",BENGALURU RURAL,880,2024-12-31,5.87,2.7714221,564,549,195,200,3.982888,2024-01-01,30.497176470588236,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80160453737297,13.265736210942418]}"
8_0,0.22,0.083564,0.32,0.14,9.19,0.117844,190,5.71,127,0.273934,0.34,65,0.175042,8,0.35245,0.251066,2.279348100012943,0.68,-0.0,237,249,"5/31/24, 12:00 AM",BENGALURU RURAL,880,2024-12-31,5.45,2.7714221,576,560,186,191,0.92740995,2024-01-01,30.497176470588236,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80133504278773,13.262771770504823]}"
9_0,0.38,0.09640769,0.39,0.15,8.04,0.12621538,301,5.71,103,0.26154038,0.28,33,0.15608461,13,0.33468655,0.2507519,-0.568193619259006,0.67,82.084076,241,251,"5/31/24, 12:00 AM",BENGALURU RURAL,887,2024-12-31,6.51,2.7714221,564,549,195,200,6.703859,2024-01-01,30.49593939393939,Dharmapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80052655903202,13.266275200112888]}"
