system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.86,0.055715624,0.48,0.7,3.16,0.07823125,318,3.21,330,0.23546875,0.66,15,0.0987375,9.28,0.251675,0.17308438,4.176880639805542,0.39,-0.0,294,339,"1/3/24, 12:00 AM",BIDAR,668,2024-12-31,7.7,2.8496323,426,387,280,275,0.0,2024-01-01,30.68977777777779,Tadola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.98503594410832,17.821272679769336]}"
1_0,0.31,0.06429722,0.68,0.39,4.98,0.096022226,348,2.86,330,0.24125834,0.66,10,0.12534167,7.12,0.22161111,0.15606944,-1.022095673450109,0.84,270.0,278,305,"2/23/24, 12:00 AM",BIDAR,567,2024-12-31,7.2,2.8218653,430,408,292,287,3.887885,2024-01-01,30.77942857142858,Batgera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76054695460685,17.67924903335004]}"
2_0,0.42,0.058694117,0.34,0.38,4.34,0.07632059,345,3.12,345,0.18219411,0.69,12,0.09199118,9.5,0.18722352,0.13720882,-1.881089155303778,0.71,252.38081,307,326,"2/23/24, 12:00 AM",BIDAR,539,2024-12-31,6.9,2.7935007,415,402,278,272,3.061255,2024-01-01,30.781764705882352,Hattarga (Sarhad),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7015276404402,17.68113549544669]}"
3_0,0.36,0.07546842,0.98,0.59,4.2,0.098221056,347,1.9,280,0.21747105,0.56,19,0.10664737,9.88,0.18836842,0.13738684,0.004862163392739364,0.63,180.0,349,380,"2/7/24, 12:00 AM",BIDAR,576,2024-12-31,7.2,2.9032702,342,317,308,303,0.92740995,2024-01-01,30.738421052631583,Saigaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05187060124682,18.086994340811888]}"
4_0,0.37,0.053025804,0.71,0.45,3.79,0.07089355,308,2.06,280,0.18910323,0.56,17,0.078287095,7.73,0.17352903,0.11636452,1.802154054846298,0.39,302.39224,347,380,"2/26/24, 12:00 AM",BIDAR,576,2024-12-31,7.9,3.0474422,402,378,251,242,3.4584396,2024-01-01,30.349567567567572,Byalhalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31597529477796,17.890802282760184]}"
5_0,0.63,0.05566129,0.55,0.65,2.63,0.07184516,291,3.6,210,0.14777742,0.42,23,0.090890326,3.12,0.16841613,0.13143548,2.3085474282253453,0.65,180.0,358,399,"2/15/24, 12:00 AM",BIDAR,596,2024-12-31,7.2,3.0474422,378,352,263,249,0.92740995,2024-01-01,30.36436842105263,Byalhalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33645688325588,17.890263293589715]}"
6_0,0.21,0.06421111,0.22,0.64,4.8,0.09171111,317,4.69,265,0.22413056,0.53,16,0.12281389,8.58,0.266025,0.19650277,0.719969945944557,0.39,199.32507,355,370,"2/13/24, 12:00 AM",BIDAR,558,2024-12-31,7.6,3.0881064,346,339,299,291,2.9460094,2024-01-01,30.88664864864865,Alur(K),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52106067414243,18.099660586317974]}"
7_0,0.56,0.06569459,0.83,0.63,2.76,0.08825946,325,3.38,300,0.15534054,0.6,12,0.113627024,10.1,0.18356757,0.14576216,-1.061125371043315,0.49,46.45654,351,359,"2/13/24, 12:00 AM",BIDAR,570,2024-12-31,7.2,3.118261,347,344,302,296,1.3460793,2024-01-01,30.86,Wadgaon Deshmukh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53264894130758,18.119872680210662]}"
8_0,0.26,0.05623421,0.47,0.58,3.02,0.08144737,325,2.58,290,0.23565526,0.58,14,0.10053158,9.36,0.23144211,0.15401842,-2.7656590855153267,0.56,318.7496,347,363,"2/13/24, 12:00 AM",BIDAR,593,2024-12-31,7.2,3.1036358,360,348,293,289,7.3610454,2024-01-01,30.825405405405405,Wadgaon Deshmukh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5350743925747,18.154098492535617]}"
9_0,0.27,0.051224325,0.33,0.59,4.93,0.079354055,361,2.69,345,0.21402973,0.69,18,0.108843245,6.88,0.26254594,0.18707298,-1.3671643225646624,0.32,32.26772,371,378,"2/12/24, 12:00 AM",BIDAR,560,2024-12-31,7.1,3.118261,335,329,294,293,5.4678,2024-01-01,30.811243243243247,Wadgaon Deshmukh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53830832759753,18.14143224702953]}"
