system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.55,0.061375,1.65,0.32,3.26,0.08701944,540,6.56,212,0.18762778,0.66,35,0.11528889,20,0.198425,0.14929722,0.6977958695081157,0.35,332.33707,294,312,"6/24/24, 12:00 AM",KALABURAGI,552,2024-12-31,7.6,2.7130005,394,378,312,310,2.09345,2024-01-01,30.85994444444444,Keriambalga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.75300110622025,17.473085675644608]}"
1_0,0.52,0.054383785,1.53,0.26,3.62,0.07704595,545,6.4,328,0.205,0.85,45,0.092564866,17.1,0.19736756,0.14344594,0.11065270587149524,0.35,152.34982,364,368,"6/24/24, 12:00 AM",KALABURAGI,454,2024-12-31,7.2,2.4828703,310,307,326,325,2.093206,2024-01-01,30.95594117647059,Yelsangi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45817402997223,17.37418116286305]}"
2_0,0.88,0.046886485,1.54,0.33,3.69,0.06645946,528,6.32,212,0.19456217,0.55,45,0.0782946,20.5,0.17698108,0.12841621,-1.0577416799584902,0.44,46.39234,309,340,"6/24/24, 12:00 AM",KALABURAGI,579,2024-12-31,7,2.7215753,385,360,305,300,1.3444958,2024-01-01,30.821621621621617,Jawalga (J),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.59965868722105,17.722368166987774]}"
3_0,0.83,0.061622858,1.65,0.44,3.43,0.08908,513,6.8,316,0.24702285,0.82,35,0.11184,19.8,0.24001142,0.17084858,-0.6836340074775643,0.66,180.0,351,375,"6/24/24, 12:00 AM",KALABURAGI,434,2024-12-31,7.5,2.4725978,370,353,279,273,1.8543341,2024-01-01,30.9045,Mallabad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44254334402854,17.23431347312564]}"
4_0,0.98,0.052775677,1.47,0.25,3.58,0.07505406,540,6.32,231,0.27553514,0.6,35,0.08206216,20.5,0.19998378,0.12118378,0.8792133117537426,0.52,90.0,421,435,"6/24/24, 12:00 AM",KALABURAGI,422,2024-12-31,7.5,2.2062006,298,290,281,275,0.97132295,2024-01-01,30.90365853658537,Mannur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12453973345023,17.295758238559415]}"
5_0,0.65,0.0599125,1.55,0.32,3.78,0.08624375,511,5.28,308,0.21804687,0.8,45,0.099790625,20.5,0.20015,0.14340313,-0.7329978649023882,0.36,90.0,346,365,"6/21/24, 12:00 AM",KALABURAGI,489,2024-12-31,7.2,2.8857675,358,339,296,296,0.97267884,2024-01-01,30.76635294117647,Nagaidlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41676626965616,17.550430621607298]}"
6_0,0.63,0.08472564,1.86,0.42,3.73,0.10586154,528,6.84,212,0.25108975,0.55,50,0.12509488,22.7,0.28121537,0.21588717,-1.0522401462451758,0.43,226.28777,294,327,"6/20/24, 12:00 AM",KALABURAGI,471,2024-12-31,7.6,2.7894912,394,360,312,313,1.3419276,2024-01-01,30.82205714285714,Kadcharla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37930652230838,17.053752101017615]}"
7_0,0.62,0.054451354,1.65,0.26,3.12,0.077267565,550,5.06,308,0.21305946,0.8,47,0.09,16.3,0.21242973,0.15104054,-1.5222025836691495,0.52,295.567,362,383,"6/15/24, 12:00 AM",KALABURAGI,470,2024-12-31,7.3,2.0635023,377,367,260,251,2.1481206,2024-01-01,30.928571428571434,Mansivangi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45979099748364,16.89798423075129]}"
8_0,0.55,0.057008334,1.48,0.24,3.8,0.08126111,550,7,243,0.20540278,0.63,37,0.10220278,20.5,0.20785834,0.14724723,0.4456002150582136,0.45,152.32008,351,369,"6/24/24, 12:00 AM",KALABURAGI,495,2024-12-31,7.9,2.579956,334,319,316,313,2.0937748,2024-01-01,30.859542857142852,Hebli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.51180345243415,17.603521054898764]}"
9_0,0.55,0.0564,1.65,0.45,3.26,0.083935134,540,6.6,245,0.27814326,0.4,52,0.094997294,20,0.21694595,0.1450081,-0.3626630009893881,0.35,133.64442,311,335,"6/26/24, 12:00 AM",KALABURAGI,558,2024-12-31,7.6,2.7407982,389,366,300,299,1.3435915,2024-01-01,30.858705882352947,Rikkenalur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.74464677407794,17.490602823684938]}"
