system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.04,0.042203847,0.72,0.46,13.2,0.056588463,90,4.59,452,0.26936153,0.79,34,0.04878846,29,0.17060384,0.094615385,-2.441794777765459,0.59,300.37866,325,335,"6/1/24, 12:00 AM",KODAGU,926,2024-12-31,6,10.26096,426,420,249,246,5.485266,2024-01-01,29.91696551724138,Sodluru Kattemadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79979875824102,12.314150830474608]}"
1_0,2.96,0.0258625,0.7,0.4,14.7,0.0390625,164,5.96,401,0.24611667,0.7,22,0.025275,35,0.13559583,0.06256667,0.7567229435943635,0.61,325.688,326,331,"6/3/24, 12:00 AM",KODAGU,933,2024-12-31,6.1,10.522979,416,415,258,255,3.364818,2024-01-01,29.89428571428571,Hakathoor,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77608323474027,12.350532599481449]}"
2_0,0.72,0.029625926,1.03,0.51,6.85,0.04449259,90,2.53,561,0.3254926,0.98,39,0.027825925,19,0.17127037,0.07875556,-3.273886517004945,1.04,48.67962,342,341,"6/4/24, 12:00 AM",KODAGU,963,2024-12-31,5.9,10.551549,411,412,247,247,12.44307,2024-01-01,29.8814,Karugunda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.67502276527682,12.356461480356637]}"
3_0,2.55,0.066574074,0.64,0.22,5.22,0.08907037,118,6.02,275,0.24816667,0.48,28,0.11402593,20,0.24452592,0.17648518,-2.406196417700086,0.72,45.66984,334,333,"6/5/24, 12:00 AM",KODAGU,926,2024-12-31,5.5,11.960466,407,411,259,255,10.499107,2024-01-01,29.951419354838706,Ballamavati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.59390489512083,12.342447761924372]}"
4_0,1.16,0.02632963,0.72,0.26,11,0.040603705,309,3.96,303,0.25665927,0.53,21,0.028951852,7,0.1575926,0.07638889,-2.3484467418358896,1.25,22.267473,334,331,"6/5/24, 12:00 AM",KODAGU,914,2024-12-31,5.6,11.960466,403,411,262,258,4.998443,2024-01-01,29.94212903225807,Ballamavati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.58851500341612,12.344334224021024]}"
5_0,1.32,0.074422225,1.02,0.72,15.2,0.08584444,170,9.15,406,0.30257037,0.71,17,0.073355556,13,0.18944444,0.10824074,-3.17209785343402,1.39,113.95087,338,333,"6/5/24, 12:00 AM",KODAGU,921,2024-12-31,6,9.874803,410,418,252,248,11.275761,2024-01-01,29.910214285714286,Konanjageri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.70439767506753,12.246777184165644]}"
6_0,0.99,0.08819131,0.5,0.31,6.25,0.095469564,201,3.94,395,0.25988042,0.69,24,0.08402174,25,0.19037391,0.11102174,-2.2924508894126463,1.06,348.4188,284,296,"5/30/24, 12:00 AM",KODAGU,976,2024-12-31,6,5.28035,391,377,325,327,4.7231026,2024-01-01,29.936666666666667,Gonimarur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.91110002194344,12.591460758682304]}"
7_0,2.94,0.045718182,0.97,0.41,7.38,0.061109092,196,2.17,395,0.26788637,0.69,26,0.050763637,45,0.16165455,0.08577272,-2.443409563217435,0.72,120.35525,285,279,"5/29/24, 12:00 AM",KODAGU,1114,2024-12-31,6,6.4774475,387,388,327,333,5.4890685,2024-01-01,29.8501935483871,Belur Basavanalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.85989605074862,12.557504440942585]}"
8_0,2.69,0.1004375,0.52,0.18,9.06,0.11906667,496,1.69,521,0.28555,0.91,29,0.14706667,23,0.28865418,0.22533333,-2.44338210467476,0.88,120.35565,281,276,"5/29/24, 12:00 AM",KODAGU,1105,2024-12-31,6.2,6.4774475,386,390,333,334,5.4890027,2024-01-01,29.8501935483871,Belur Basavanalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86312998577145,12.553462022164048]}"
9_0,1.44,0.06296111,0.64,0.34,5.45,0.07655556,191,2.07,458,0.27222037,0.8,37,0.06668333,28,0.20627037,0.119392596,-1.036723234121864,0.97,34.346786,327,335,"5/31/24, 12:00 AM",KODAGU,939,2024-12-31,6.2,5.0870905,378,370,295,295,6.709341,2024-01-01,29.96115151515151,Mullur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.9221492999381,12.686861841855798]}"
