system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.18,0.08258471,0.84,0.34,2.24,0.10628471,320,4.5,244,0.24803177,0.65,18.9,0.1134,18,0.21285412,0.15138824,1.6168215695719699,0.18,270.0,372,380,"4/18/24, 12:00 AM",BURHANPUR,283,2024-12-31,7.3,2.6956933,247,244,382,375,0.9965486,2024-01-01,30.61316666666666,Haidarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.53363251383826,21.469959869277595]}"
1_0,0.46,0.06816818,0.18,0.55,4.03,0.0878625,380,3.15,143,0.18378523,0.3,11.7,0.1099125,6,0.19973068,0.1592534,-1.0932380670202373,0.74,47.06353,392,409,"4/18/24, 12:00 AM",BURHANPUR,294,2024-12-31,7.3,2.5599768,300,290,307,301,1.3613243,2024-01-01,30.767542857142853,Mandwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.38541049195854,21.49583134946024]}"
2_0,0.76,0.08369546,0.84,0.21,4.14,0.10941477,210,4.05,287,0.21831137,0.82,15.2,0.14793295,12,0.27648976,0.21923523,-2.0427370308912094,0.55,58.188,373,377,"4/18/24, 12:00 AM",BURHANPUR,293,2024-12-31,7.5,2.5599768,288,287,338,336,3.5145814,2024-01-01,30.745941176470584,Mandwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.38675796488472,21.49098044692599]}"
3_0,0.64,0.04780241,0.28,0.36,5.26,0.07444096,380,2.7,95,0.33471325,0.2,14.35,0.05709277,7,0.17681687,0.10280964,-1.4002819084299802,0.65,-0.0,474,480,"4/15/24, 12:00 AM",BURHANPUR,290,2024-12-31,7.8,2.527492,300,302,226,218,1.8543341,2024-01-01,30.565200000000004,Mohad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2792296253756,21.16920391215438]}"
4_0,0.64,0.05470465,0.68,0.49,7.25,0.07333954,350,2.25,119,0.18857093,0.25,11.7,0.080256976,11,0.15293372,0.113256976,-0.3970529971798691,0.56,47.006348,368,392,"4/22/24, 12:00 AM",BURHANPUR,243,2024-12-31,7.3,2.6535137,255,246,377,361,1.3598669,2024-01-01,30.5496875,Chapora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.18248106927594,21.202621240723627]}"
5_0,0.27,0.051474575,0.84,0.5,3.69,0.06601356,370,4.94,280,0.2136339,0.8,17.1,0.0637356,7,0.17335932,0.11046949,-1.7850330301838802,0.55,312.96185,386,406,"4/22/24, 12:00 AM",BURHANPUR,304,2024-12-31,7.2,2.6771736,244,244,370,349,2.71982,2024-01-01,30.61542857142857,Khakana Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5624684344585,21.366204453961792]}"
6_0,0.27,0.073495746,0.18,0.63,3.58,0.0970617,260,4.05,143,0.23086596,0.3,16.8,0.10811702,10,0.22567022,0.17175958,-2.014491821687306,0.55,215.60912,398,424,"6/11/24, 12:00 AM",BURHANPUR,288,2024-12-31,6.7,2.634385,283,268,319,308,3.41838,2024-01-01,30.48822857142857,Bhauraghat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.65328810968298,21.428188208566038]}"
7_0,0.64,0.09360441,0.74,0.53,4.59,0.114933826,180,3.15,186,0.23014411,0.43,19.3,0.13737795,5,0.26948676,0.21608382,-2.478156466591463,0.37,312.96246,399,417,"4/23/24, 12:00 AM",BURHANPUR,312,2024-12-31,7.8,2.6771736,249,250,352,333,5.4273767,2024-01-01,30.684342857142862,Khaknar Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55600056441284,21.362970518938962]}"
8_0,0.18,0.06412373,0.65,0.23,2.35,0.08241525,250,4.5,195,0.20147288,0.2,18.5,0.079928815,10,0.17124407,0.11958136,-1.0918847864001975,0.76,312.9619,386,406,"4/23/24, 12:00 AM",BURHANPUR,305,2024-12-31,6.9,2.6771736,244,244,370,349,1.3606751,2024-01-01,30.61542857142857,Nagjhiri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5624684344585,21.365934959376556]}"
9_0,0.55,0.08606184,0.74,0.24,5.15,0.11246447,210,4.5,225,0.22892237,0.6,17.8,0.15732764,6,0.30167896,0.22726579,2.0758502547989677,0.37,-0.0,402,415,"4/22/24, 12:00 AM",BURHANPUR,314,2024-12-31,6.4,2.6771736,254,259,344,327,0.0,2024-01-01,30.684342857142862,Khaknar Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55222764021954,21.35973658391613]}"
