system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
3_0,1,0.07664102,1,0.3,13,0.1077641,520,6,200,0.24815641,0.49,18,0.08549744,9,0.18515897,0.12955128,-0.4427842145636605,1,28.492176,408,430,"2/27/24, 12:00 AM",INDORE,516,2024-12-31,7.6,3.4411392,165,165,426,405,2.1096609,2024-01-01,30.49627027027026,Barlai Jagir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95233269348452,22.89989813853905]}"
7_0,0.91,0.06258,0.25,0.67,9.2,0.0828225,317,6.8,125,0.2060025,0.26,9.55,0.09333,17,0.1894525,0.139985,-1.4933692846417301,0.95,90.0,385,404,"4/16/24, 12:00 AM",INDORE,533,2024-12-31,7.29,3.102395,190,189,426,408,2.0118215,2024-01-01,30.51177777777779,Piploda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.58743702507518,22.829829546377727]}"
8_0,0.39,0.075135894,0.51,0.47,5.9,0.105674356,389,6.5,199,0.25811794,0.49,14.36,0.1272436,14,0.2187923,0.16719744,-0.8454329089583217,0.69,252.92294,474,490,"5/19/24, 12:00 AM",INDORE,501,2024-12-31,7.55,3.1828182,168,168,358,342,3.1552167,2024-01-01,30.465771428571426,Karki,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.47829171805465,22.838183878520038]}"
11_0,0.56,0.08848889,0.8,0.6,11,0.12709445,500,8,235,0.21171944,0.55,18,0.15276945,15,0.20477778,0.17679723,-0.7175314953447394,1,-0.0,472,506,"4/1/24, 12:00 AM",INDORE,574,2024-12-31,7.1,3.354369,115,113,414,380,1.8543341,2024-01-01,30.548303030303025,Bisanawada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95583612309258,22.675948138208053]}"
15_0,0.75,0.075135894,0.29,0.41,7.4,0.105674356,449,5.9,219.2,0.25811794,0.55,14.28,0.1272436,16,0.2187923,0.16719744,-0.8454329089583217,0.39,252.92294,474,490,"5/19/24, 12:00 AM",INDORE,501,2024-12-31,6.5,3.1828182,168,168,358,342,3.1552167,2024-01-01,30.465771428571426,Karki,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.47829171805465,22.838183878520038]}"
17_0,0.67,0.049221054,0.4,0.4,6,0.06414737,470,7,235,0.1944158,0.63,16,0.0596,7,0.13290264,0.08850526,-1.4907206179309076,0.5,270.0,504,544,"3/13/24, 12:00 AM",INDORE,567,2024-12-31,7.1,3.0642495,107,106,389,350,2.009144,2024-01-01,30.48205555555556,Rangwasa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78093413727451,22.647381712173054]}"
22_0,1.12,0.075135894,0.55,0.55,4.1,0.105674356,534,2.9,191,0.25811794,0.45,16.24,0.1272436,21,0.2187923,0.16719744,-0.8454329089583217,0.74,252.92294,474,490,"5/19/24, 12:00 AM",INDORE,501,2024-12-31,7.41,3.1828182,168,168,358,342,3.1552167,2024-01-01,30.465771428571426,Karki,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.47829171805465,22.838183878520038]}"
23_0,0.8,0.07520541,1,0.6,6,0.09585946,450,2,180,0.19565946,0.45,20,0.10896486,14,0.19951622,0.15747838,1.4573297775011789,0.8,312.66617,476,507,"5/17/24, 12:00 AM",INDORE,535,2024-12-31,7,3.1635637,132,129,392,365,1.3682745,2024-01-01,30.51894444444445,Puwarda Junarda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78255110478592,22.826865105940133]}"
24_0,0.39,0.063594736,1,0.4,8,0.08585526,400,6,143,0.20776317,0.27,12,0.100721054,15,0.20371053,0.15466842,-0.7187317832086868,1,-0.0,443,489,"2/27/24, 12:00 AM",INDORE,528,2024-12-31,7.1,3.4262977,148,141,409,370,1.8543341,2024-01-01,30.43866666666667,Rampipalya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.91056103277296,22.842495791883813]}"
25_0,0.6,0.05831892,0.7,0.2,10,0.08113919,380,5,200,0.2318973,0.5,14,0.08159054,7,0.18285947,0.14097433,-1.4106858681495582,1,-0.0,442,458,"3/11/24, 12:00 AM",INDORE,559,2024-12-31,7.1,3.3427794,135,137,423,405,1.8543341,2024-01-01,30.55445714285715,Sindhi Baroda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.00650110511693,22.677026116548998]}"
27_0,1,0.06834383,0.5,0.4,6,0.095256165,520,4,143,0.24335343,0.29,18,0.09699315,13,0.20478767,0.13925342,-1.8481904173668586,0.9,298.96646,412,430,"4/3/24, 12:00 AM",INDORE,549,2024-12-31,7.4,3.3427794,165,167,423,404,5.726236,2024-01-01,30.525200000000016,Ramu Khedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03587601490763,22.694812759174564]}"
31_0,0.82,0.057471797,0.4,0.53,7.5,0.07921026,339,6.2,177,0.2627718,0.39,18.49,0.08732564,11,0.19278719,0.14054103,-1.4116924823133625,0.75,180.0,399,421,"5/19/24, 12:00 AM",INDORE,526,2024-12-31,6.41,3.1197534,185,183,416,395,3.7047918,2024-01-01,30.554499999999994,Giroda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54431789143743,22.815815827945464]}"
32_0,0.3,0.056615386,0.76,0.76,3.7,0.077269234,569,6.2,198,0.20571283,0.49,9.89,0.09038974,9,0.17891794,0.13545129,2.6536178046583676,0.41,227.33232,394,409,"5/19/24, 12:00 AM",INDORE,531,2024-12-31,6.98,3.1197534,185,185,421,405,1.3682351,2024-01-01,30.573771428571433,Giroda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54970778314215,22.819858246724]}"
33_0,0.42,0.052338462,0.71,0.56,5.1,0.0714,313,2.9,218,0.20362563,0.55,18.23,0.07793077,13,0.1718718,0.12084103,-1.107530361445981,0.95,47.33179,399,421,"5/19/24, 12:00 AM",INDORE,530,2024-12-31,7.57,3.1197534,185,183,416,395,1.3682216,2024-01-01,30.573771428571433,Giroda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54512637519314,22.81716330087164]}"
39_0,0.81,0.057471797,0.56,0.38,5.5,0.07921026,317,5.6,181,0.2627718,0.4,19.72,0.08732564,19,0.19278719,0.14054103,-1.4116924823133625,0.78,180.0,399,421,"5/19/24, 12:00 AM",INDORE,526,2024-12-31,7.31,3.1197534,185,183,416,395,3.7047918,2024-01-01,30.554499999999994,Giroda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54431789143743,22.815815827945464]}"
40_0,1,0.17065527,0.3,0.2,6,0.18598947,340,3,180,0.25855,0.42,14,0.19516842,13,0.24047105,0.21093158,-0.0241642493117141,0.9,-0.0,461,491,"7/23/24, 12:00 AM",INDORE,579,2024-12-31,7.2,3.280799,141,136,397,374,0.92740995,2024-01-01,30.330971428571438,Mundla Nayata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.88064713381178,22.644686766320692]}"
45_0,1,0.07664102,2,0.3,12,0.1077641,360,13,235,0.24815641,0.56,18,0.08549744,15,0.18515897,0.12955128,-0.4427842145636605,1,28.492176,408,430,"2/27/24, 12:00 AM",INDORE,516,2024-12-31,7.1,3.4411392,165,165,426,405,2.1096609,2024-01-01,30.49627027027026,Barlai Jagir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95233269348452,22.89989813853905]}"
47_0,0.69,0.0824375,0.69,0.58,6.2,0.106105,519,8.9,201.7,0.263245,0.5,8.68,0.1134425,11,0.229415,0.1743575,-1.8173650921827003,0.92,180.0,388,403,"5/19/24, 12:00 AM",INDORE,530,2024-12-31,6.65,3.1197534,184,185,428,412,2.7802885,2024-01-01,30.58594285714285,Giroda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.53246012968705,22.84519073773617]}"
